design,load,delivered_throughput,avg_packet_latency_ns,p95_latency_ns,pass_fail,near_lossless,case
PROP_temp256,5,0.841522,11.260089,17.145,PASS,True,sdf_TOPO-UR_n256_s202701_m5_PROP_temp256_top0.csv
PROP_temp256,20,3.005077,21.313844,55.995,PASS,True,sdf_TOPO-UR_n256_s202701_m20_PROP_temp256_top0.csv
PROP_temp256,40,5.275053,37.154955,109.388,PASS,True,sdf_TOPO-UR_n256_s202701_m40_PROP_temp256_top0.csv
PROP_temp256,50,7.174134,45.013545,144.149,FAIL,False,sdf_TOPO-UR_n256_s202701_m50_PROP_temp256_top0.csv
PROP_temp256,60,8.107248,52.060597,169.55,FAIL,False,sdf_TOPO-UR_n256_s202701_m60_PROP_temp256_top0.csv
PROP_temp256,70,8.508277,56.315434,173.061,FAIL,False,sdf_TOPO-UR_n256_s202701_m70_PROP_temp256_top0.csv
PROP_temp256,80,9.966685,62.227279,206.767,FAIL,False,sdf_TOPO-UR_n256_s202701_m80_PROP_temp256_top0.csv
PROP_temp256,90,11.074394,65.230167,212.381,FAIL,False,sdf_TOPO-UR_n256_s202701_m90_PROP_temp256_top0.csv
PROP_temp256,100,12.439698,71.380958,225.9,FAIL,False,sdf_TOPO-UR_n256_s202701_m100_PROP_temp256_top0.csv
PROP_temp256,110,13.611318,72.154458,227.114,FAIL,False,sdf_TOPO-UR_n256_s202701_m110_PROP_temp256_top0.csv
PROP_temp256,120,11.019846,76.505864,237.847,FAIL,False,sdf_TOPO-UR_n256_s202701_m120_PROP_temp256_top0.csv
PROP_temp256,140,15.890435,79.67687,249.819,FAIL,False,sdf_TOPO-UR_n256_s202701_m140_PROP_temp256_top0.csv
PROP_temp256,160,16.534239,84.132953,258.189,FAIL,False,sdf_TOPO-UR_n256_s202701_m160_PROP_temp256_top0.csv
PROP_temp256,180,16.540729,86.255603,263.995,FAIL,False,sdf_TOPO-UR_n256_s202701_m180_PROP_temp256_top0.csv
PROP_temp256,200,17.052045,88.010853,266.745,FAIL,False,sdf_TOPO-UR_n256_s202701_m200_PROP_temp256_top0.csv
PROP_temp256,240,17.176587,90.698001,278.339,PASS,False,sdf_TOPO-UR_n256_s202701_m240_PROP_temp256_top0.csv
PROP_temp256,280,17.011715,93.24473,279.499,FAIL,False,sdf_TOPO-UR_n256_s202701_m280_PROP_temp256_top0.csv
PROP_temp256,320,17.212086,92.11989,290.791,FAIL,False,sdf_TOPO-UR_n256_s202701_m320_PROP_temp256_top0.csv
PROP_temp256,400,17.323565,93.990136,293.303,FAIL,False,sdf_TOPO-UR_n256_s202701_m400_PROP_temp256_top0.csv
PROP_temp256,600,17.522075,95.489248,292.648,FAIL,False,sdf_TOPO-UR_n256_s202701_m600_PROP_temp256_top0.csv
PFAT_temp256,5,0.841526,13.874355,20.714,PASS,True,sdf_TOPO-UR_n256_s202701_m5_PFAT_temp256_top0.csv
PFAT_temp256,20,3.004569,18.080968,36.926,PASS,True,sdf_TOPO-UR_n256_s202701_m20_PFAT_temp256_top0.csv
PFAT_temp256,40,5.273458,24.180096,54.791,PASS,True,sdf_TOPO-UR_n256_s202701_m40_PFAT_temp256_top0.csv
PFAT_temp256,50,7.164704,29.877064,69.538,PASS,True,sdf_TOPO-UR_n256_s202701_m50_PFAT_temp256_top0.csv
PFAT_temp256,60,8.100615,75.825055,184.808,PASS,False,sdf_TOPO-UR_n256_s202701_m60_PFAT_temp256_top0.csv
PFAT_temp256,70,8.50855,121.300965,246.269,FAIL,False,sdf_TOPO-UR_n256_s202701_m70_PFAT_temp256_top0.csv
PFAT_temp256,80,9.950485,133.395438,257.37,PASS,False,sdf_TOPO-UR_n256_s202701_m80_PFAT_temp256_top0.csv
PFAT_temp256,90,10.827501,138.119955,256.762,PASS,False,sdf_TOPO-UR_n256_s202701_m90_PFAT_temp256_top0.csv
PFAT_temp256,100,10.79952,139.864441,263.35,PASS,False,sdf_TOPO-UR_n256_s202701_m100_PFAT_temp256_top0.csv
PFAT_temp256,110,10.780904,140.81565,262.924,PASS,False,sdf_TOPO-UR_n256_s202701_m110_PFAT_temp256_top0.csv
PFAT_temp256,120,10.816785,141.2277,258.609,PASS,False,sdf_TOPO-UR_n256_s202701_m120_PFAT_temp256_top0.csv
PFAT_temp256,140,10.644887,144.300685,264.727,PASS,False,sdf_TOPO-UR_n256_s202701_m140_PFAT_temp256_top0.csv
PFAT_temp256,160,10.731515,145.224608,266.811,PASS,False,sdf_TOPO-UR_n256_s202701_m160_PFAT_temp256_top0.csv
