kind,port,pkt_seq,flit,offer_ps,req_ps,ack_ps,egress_req_ps,capture_ps,matched
TX,0,41,8b1040c,150001,150051,150385,-1,-1,1
TX,0,41,0029360,150001,150635,151032,-1,-1,1
TX,0,41,0029560,150001,151282,151685,-1,-1,1
TX,0,41,0029760,150001,151935,152332,-1,-1,1
TX,0,41,4029960,150001,152582,156736,-1,-1,1
TX,1,235,891860d,1183001,1183051,1183385,-1,-1,1
TX,1,235,00eb361,1183001,1183635,1184032,-1,-1,1
TX,1,235,00eb561,1183001,1184282,1184685,-1,-1,1
TX,1,235,00eb761,1183001,1184935,1185332,-1,-1,1
TX,1,235,40eb961,1183001,1185582,1189812,-1,-1,1
TX,2,55,890c602,3687001,3687051,3687385,-1,-1,1
TX,2,55,0037362,3687001,3687635,3688032,-1,-1,1
TX,2,55,0037562,3687001,3688282,3688685,-1,-1,1
TX,2,55,0037762,3687001,3688935,3689332,-1,-1,1
TX,2,55,4037962,3687001,3689582,3693743,-1,-1,1
TX,2,219,881c702,4969001,4969051,4969377,-1,-1,1
TX,2,219,00db362,4969001,4969627,4970018,-1,-1,1
TX,2,219,00db562,4969001,4970268,4970673,-1,-1,1
TX,2,219,00db762,4969001,4970923,4971328,-1,-1,1
TX,2,219,40db962,4969001,4971578,4975729,-1,-1,1
TX,2,323,8b04402,10294001,10294051,10294385,-1,-1,1
TX,2,323,0143362,10294001,10294635,10295032,-1,-1,1
TX,2,323,0143562,10294001,10295282,10295685,-1,-1,1
TX,2,323,0143762,10294001,10295935,10296332,-1,-1,1
TX,2,323,4143962,10294001,10296582,10300743,-1,-1,1
TX,4,10,8324018,1993001,1993051,1993385,-1,-1,1
TX,4,10,000a360,1993001,1993635,1994032,-1,-1,1
TX,4,10,000a560,1993001,1994282,1994685,-1,-1,1
TX,4,10,000a760,1993001,1994935,1995332,-1,-1,1
TX,4,10,400a960,1993001,1995582,1999736,-1,-1,1
TX,4,192,881c700,3695001,3695051,3695377,-1,-1,1
TX,4,192,00c0360,3695001,3695627,3696018,-1,-1,1
TX,4,192,00c0560,3695001,3696268,3696673,-1,-1,1
TX,4,192,00c0760,3695001,3696923,3697328,-1,-1,1
TX,4,192,40c0960,3695001,3697578,3701721,-1,-1,1
TX,4,336,872001c,3903001,3903051,3903385,-1,-1,1
TX,4,336,0150360,3903001,3903635,3904032,-1,-1,1
TX,4,336,0150560,3903001,3904282,3904685,-1,-1,1
TX,4,336,0150760,3903001,3904935,3905332,-1,-1,1
TX,4,336,4150960,3903001,3905582,3909736,-1,-1,1
TX,6,47,8b08406,147001,147051,147385,-1,-1,1
TX,6,47,002f362,147001,147635,148032,-1,-1,1
TX,6,47,002f562,147001,148282,148685,-1,-1,1
TX,6,47,002f762,147001,148935,149332,-1,-1,1
TX,6,47,402f962,147001,149582,153736,-1,-1,1
TX,6,74,8b08406,266001,266051,266377,-1,-1,1
TX,6,74,004a362,266001,266627,267018,-1,-1,1
TX,6,74,004a562,266001,267268,267673,-1,-1,1
TX,6,74,004a762,266001,267923,268328,-1,-1,1
TX,6,74,404a962,266001,268578,272721,-1,-1,1
TX,6,99,872001e,379001,379051,379385,-1,-1,1
TX,6,99,0063362,379001,379635,380032,-1,-1,1
TX,6,99,0063562,379001,380282,380685,-1,-1,1
TX,6,99,0063762,379001,380935,381332,-1,-1,1
TX,6,99,4063962,379001,381582,385736,-1,-1,1
TX,6,294,872001e,730001,730051,730377,-1,-1,1
TX,6,294,0126362,730001,730627,731018,-1,-1,1
TX,6,294,0126562,730001,731268,731673,-1,-1,1
TX,6,294,0126762,730001,731923,732328,-1,-1,1
TX,6,294,4126962,730001,732578,739185,-1,-1,1
TX,7,166,891460b,571001,571051,571385,-1,-1,1
TX,7,166,00a6363,571001,571635,572032,-1,-1,1
TX,7,166,00a6563,571001,572282,572685,-1,-1,1
TX,7,166,00a6763,571001,572935,573332,-1,-1,1
TX,7,166,40a6963,571001,573582,577773,-1,-1,1
TX,9,133,8724419,218001,218051,218385,-1,-1,1
TX,9,133,0085361,218001,218635,219032,-1,-1,1
TX,9,133,0085561,218001,219282,219685,-1,-1,1
TX,9,133,0085761,218001,219935,220332,-1,-1,1
TX,9,133,4085961,218001,220582,224764,-1,-1,1
TX,9,135,883c721,1431001,1431051,1431377,-1,-1,1
TX,9,135,0087361,1431001,1431627,1432018,-1,-1,1
TX,9,135,0087561,1431001,1432268,1432673,-1,-1,1
TX,9,135,0087761,1431001,1432923,1433328,-1,-1,1
TX,9,135,4087961,1431001,1433578,1437742,-1,-1,1
TX,10,33,883c722,1537001,1537051,1537385,-1,-1,1
TX,10,33,0021362,1537001,1537635,1538032,-1,-1,1
TX,10,33,0021562,1537001,1538282,1538685,-1,-1,1
TX,10,33,0021762,1537001,1538935,1539332,-1,-1,1
TX,10,33,4021962,1537001,1539582,1543743,-1,-1,1
TX,10,78,883c722,1999001,1999051,1999377,-1,-1,1
TX,10,78,004e362,1999001,1999627,2000018,-1,-1,1
TX,10,78,004e562,1999001,2000268,2000673,-1,-1,1
TX,10,78,004e762,1999001,2000923,2001328,-1,-1,1
TX,10,78,404e962,1999001,2001578,2005729,-1,-1,1
TX,10,264,883c722,4556001,4556051,4556385,-1,-1,1
TX,10,264,0108362,4556001,4556635,4557032,-1,-1,1
TX,10,264,0108562,4556001,4557282,4557685,-1,-1,1
TX,10,264,0108762,4556001,4557935,4558332,-1,-1,1
TX,10,264,4108962,4556001,4558582,4562743,-1,-1,1
TX,10,322,832401a,5155001,5155051,5155377,-1,-1,1
TX,10,322,0142362,5155001,5155627,5156018,-1,-1,1
TX,10,322,0142562,5155001,5156268,5156673,-1,-1,1
TX,10,322,0142762,5155001,5156923,5157328,-1,-1,1
TX,10,322,4142962,5155001,5157578,5161729,-1,-1,1
TX,11,212,862c513,468001,468051,468385,-1,-1,1
TX,11,212,00d4363,468001,468635,469032,-1,-1,1
TX,11,212,00d4563,468001,469282,469685,-1,-1,1
TX,11,212,00d4763,468001,469935,470332,-1,-1,1
TX,11,212,40d4963,468001,470582,474764,-1,-1,1
TX,11,259,862431b,581001,581051,581377,-1,-1,1
TX,11,259,0103363,581001,581627,582018,-1,-1,1
TX,11,259,0103563,581001,582268,582673,-1,-1,1
TX,11,259,0103763,581001,582923,583328,-1,-1,1
TX,11,259,4103963,581001,583578,587742,-1,-1,1
TX,12,158,8b28424,551001,551051,551385,-1,-1,1
TX,12,158,009e360,551001,551635,552032,-1,-1,1
TX,12,158,009e560,551001,552282,552685,-1,-1,1
TX,12,158,009e760,551001,552935,553332,-1,-1,1
TX,12,158,409e960,551001,553582,557715,-1,-1,1
TX,12,396,883c720,608001,608051,608377,-1,-1,1
TX,12,396,018c360,608001,608627,609018,-1,-1,1
TX,12,396,018c560,608001,609268,609673,-1,-1,1
TX,12,396,018c760,608001,609923,610328,-1,-1,1
TX,12,396,418c960,608001,610578,614707,-1,-1,1
TX,13,97,8934629,379001,379051,379385,-1,-1,1
TX,13,97,0061361,379001,379635,380032,-1,-1,1
TX,13,97,0061561,379001,380282,380685,-1,-1,1
TX,13,97,0061761,379001,380935,381332,-1,-1,1
TX,13,97,4061961,379001,381582,385794,-1,-1,1
TX,13,146,832c211,381001,386044,386370,-1,-1,1
TX,13,146,0092361,381001,386620,387011,-1,-1,1
TX,13,146,0092561,381001,387261,387666,-1,-1,1
TX,13,146,0092761,381001,387916,388321,-1,-1,1
TX,13,146,4092961,381001,388571,392775,-1,-1,1
TX,13,204,883c721,1322001,1322051,1322385,-1,-1,1
TX,13,204,00cc361,1322001,1322635,1323032,-1,-1,1
TX,13,204,00cc561,1322001,1323282,1323685,-1,-1,1
TX,13,204,00cc761,1322001,1323935,1324332,-1,-1,1
TX,13,204,40cc961,1322001,1324582,1328812,-1,-1,1
TX,13,243,872001d,1495001,1495051,1495377,-1,-1,1
TX,13,243,00f3361,1495001,1495627,1496018,-1,-1,1
TX,13,243,00f3561,1495001,1496268,1496673,-1,-1,1
TX,13,243,00f3761,1495001,1496923,1497328,-1,-1,1
TX,13,243,40f3961,1495001,1497578,1501794,-1,-1,1
TX,13,297,883c721,2173001,2173051,2173385,-1,-1,1
TX,13,297,0129361,2173001,2173635,2174032,-1,-1,1
TX,13,297,0129561,2173001,2174282,2174685,-1,-1,1
TX,13,297,0129761,2173001,2174935,2175332,-1,-1,1
TX,13,297,4129961,2173001,2175582,2179812,-1,-1,1
TX,14,51,872001e,3423001,3423051,3423385,-1,-1,1
TX,14,51,0033362,3423001,3423635,3424032,-1,-1,1
TX,14,51,0033562,3423001,3424282,3424685,-1,-1,1
TX,14,51,0033762,3423001,3424935,3425332,-1,-1,1
TX,14,51,4033962,3423001,3425582,3429746,-1,-1,1
TX,14,59,8b24422,3738001,3738051,3738377,-1,-1,1
TX,14,59,003b362,3738001,3738627,3739018,-1,-1,1
TX,14,59,003b562,3738001,3739268,3739673,-1,-1,1
TX,14,59,003b762,3738001,3739923,3740328,-1,-1,1
TX,14,59,403b962,3738001,3740578,3744731,-1,-1,1
TX,14,252,883c722,4546001,4546051,4546385,-1,-1,1
TX,14,252,00fc362,4546001,4546635,4547032,-1,-1,1
TX,14,252,00fc562,4546001,4547282,4547685,-1,-1,1
TX,14,252,00fc762,4546001,4547935,4548332,-1,-1,1
TX,14,252,40fc962,4546001,4548582,4552746,-1,-1,1
TX,14,364,892c622,5853001,5853051,5853377,-1,-1,1
TX,14,364,016c362,5853001,5853627,5854018,-1,-1,1
TX,14,364,016c562,5853001,5854268,5854673,-1,-1,1
TX,14,364,016c762,5853001,5854923,5855328,-1,-1,1
TX,14,364,416c962,5853001,5855578,5859731,-1,-1,1
TX,15,358,8930627,371001,371051,371385,-1,-1,1
TX,15,358,0166363,371001,371635,372032,-1,-1,1
TX,15,358,0166563,371001,372282,372685,-1,-1,1
TX,15,358,0166763,371001,372935,373332,-1,-1,1
TX,15,358,4166963,371001,373582,377764,-1,-1,1
TX,16,100,8524218,1398001,1398051,1398385,-1,-1,1
TX,16,100,0064360,1398001,1398635,1399032,-1,-1,1
TX,16,100,0064560,1398001,1399282,1399685,-1,-1,1
TX,16,100,0064760,1398001,1399935,1400332,-1,-1,1
TX,16,100,4064960,1398001,1400582,1404793,-1,-1,1
TX,17,53,822c111,1012001,1012051,1012385,-1,-1,1
TX,17,53,0035361,1012001,1012635,1013032,-1,-1,1
TX,17,53,0035561,1012001,1013282,1013685,-1,-1,1
TX,17,53,0035761,1012001,1013935,1014332,-1,-1,1
TX,17,53,4035961,1012001,1014582,1018735,-1,-1,1
TX,17,115,8914609,2514001,2514051,2514377,-1,-1,1
TX,17,115,0073361,2514001,2514627,2515018,-1,-1,1
TX,17,115,0073561,2514001,2515268,2515673,-1,-1,1
TX,17,115,0073761,2514001,2515923,2516328,-1,-1,1
TX,17,115,4073961,2514001,2516578,2520736,-1,-1,1
TX,17,282,872001d,2598001,2598051,2598385,-1,-1,1
TX,17,282,011a361,2598001,2598635,2599032,-1,-1,1
TX,17,282,011a561,2598001,2599282,2599685,-1,-1,1
TX,17,282,011a761,2598001,2599935,2600332,-1,-1,1
TX,17,282,411a961,2598001,2600582,2604742,-1,-1,1
TX,18,118,891460a,653001,653051,653385,-1,-1,1
TX,18,118,0076362,653001,653635,654032,-1,-1,1
TX,18,118,0076562,653001,654282,654685,-1,-1,1
TX,18,118,0076762,653001,654935,655332,-1,-1,1
TX,18,118,4076962,653001,655582,659744,-1,-1,1
TX,19,88,852421b,601001,601051,601385,-1,-1,1
TX,19,88,0058363,601001,601635,602032,-1,-1,1
TX,19,88,0058563,601001,602282,602685,-1,-1,1
TX,19,88,0058763,601001,602935,603332,-1,-1,1
TX,19,88,4058963,601001,603582,607726,-1,-1,1
TX,20,7,8724418,150001,150051,150385,-1,-1,1
TX,20,7,0007360,150001,150635,151032,-1,-1,1
TX,20,7,0007560,150001,151282,151685,-1,-1,1
TX,20,7,0007760,150001,151935,152332,-1,-1,1
TX,20,7,4007960,150001,152582,156765,-1,-1,1
TX,20,8,8b18414,314001,314051,314377,-1,-1,1
TX,20,8,0008360,314001,314627,315018,-1,-1,1
TX,20,8,0008560,314001,315268,315673,-1,-1,1
TX,20,8,0008760,314001,315923,316328,-1,-1,1
TX,20,8,4008960,314001,316578,320747,-1,-1,1
TX,20,142,8724418,709001,709051,709385,-1,-1,1
TX,20,142,008e360,709001,709635,710032,-1,-1,1
TX,20,142,008e560,709001,710282,710685,-1,-1,1
TX,20,142,008e760,709001,710935,711332,-1,-1,1
TX,20,142,408e960,709001,711582,715765,-1,-1,1
TX,20,256,890c600,1136001,1136051,1136377,-1,-1,1
TX,20,256,0100360,1136001,1136627,1137018,-1,-1,1
TX,20,256,0100560,1136001,1137268,1137673,-1,-1,1
TX,20,256,0100760,1136001,1137923,1138328,-1,-1,1
TX,20,256,4100960,1136001,1138578,1142733,-1,-1,1
TX,21,81,872001d,1067001,1067051,1067385,-1,-1,1
TX,21,81,0051361,1067001,1067635,1068032,-1,-1,1
TX,21,81,0051561,1067001,1068282,1068685,-1,-1,1
TX,21,81,0051761,1067001,1068935,1069332,-1,-1,1
