kind,port,pkt_seq,flit,offer_ps,req_ps,ack_ps,egress_req_ps,capture_ps,matched
TX,0,656,840c40c,150001,150051,150385,-1,-1,1
TX,0,656,0290340,150001,150635,151032,-1,-1,1
TX,0,656,0290540,150001,151282,151685,-1,-1,1
TX,0,656,0290740,150001,151935,152332,-1,-1,1
TX,0,656,4290940,150001,152582,156736,-1,-1,1
TX,0,657,8410410,151001,156986,157312,-1,-1,1
TX,0,657,0291340,151001,157562,157953,-1,-1,1
TX,0,657,0291540,151001,158203,158608,-1,-1,1
TX,0,657,0291740,151001,158858,159263,-1,-1,1
TX,0,657,4291940,151001,159513,163764,-1,-1,1
TX,0,658,850c50c,152001,164014,164348,-1,-1,1
TX,0,658,0292340,152001,164598,164995,-1,-1,1
TX,0,658,0292540,152001,165245,165648,-1,-1,1
TX,0,658,0292740,152001,165898,166295,-1,-1,1
TX,0,658,4292940,152001,166545,170784,-1,-1,1
TX,0,659,8510510,153001,171034,171360,-1,-1,1
TX,0,659,0293340,153001,171610,172001,-1,-1,1
TX,0,659,0293540,153001,172251,172656,-1,-1,1
TX,0,659,0293740,153001,172906,173311,-1,-1,1
TX,0,659,4293940,153001,173561,177812,-1,-1,1
TX,0,660,860c60c,154001,178062,178396,-1,-1,1
TX,0,660,0294340,154001,178646,179043,-1,-1,1
TX,0,660,0294540,154001,179293,179696,-1,-1,1
TX,0,660,0294740,154001,179946,180343,-1,-1,1
TX,0,660,4294940,154001,180593,184832,-1,-1,1
TX,0,661,8610610,155001,185082,185408,-1,-1,1
TX,0,661,0295340,155001,185658,186049,-1,-1,1
TX,0,661,0295540,155001,186299,186704,-1,-1,1
TX,0,661,0295740,155001,186954,187359,-1,-1,1
TX,0,661,4295940,155001,187609,191860,-1,-1,1
TX,0,662,870c70c,156001,192110,192444,-1,-1,1
TX,0,662,0296340,156001,192694,193091,-1,-1,1
TX,0,662,0296540,156001,193341,193744,-1,-1,1
TX,0,662,0296740,156001,193994,194391,-1,-1,1
TX,0,662,4296940,156001,194641,200352,-1,-1,1
TX,0,663,8710710,157001,200602,200928,-1,-1,1
TX,0,663,0297340,157001,201178,201569,-1,-1,1
TX,0,663,0297540,157001,201819,202224,-1,-1,1
TX,0,663,0297740,157001,202474,202879,-1,-1,1
TX,0,663,4297940,157001,203129,207380,-1,-1,1
TX,0,664,880c80c,158001,207630,207964,-1,-1,1
TX,0,664,0298340,158001,208214,208611,-1,-1,1
TX,0,664,0298540,158001,208861,209264,-1,-1,1
TX,0,664,0298740,158001,209514,209911,-1,-1,1
TX,0,664,4298940,158001,210161,214400,-1,-1,1
TX,0,665,8810810,159001,214650,214976,-1,-1,1
TX,0,665,0299340,159001,215226,215617,-1,-1,1
TX,0,665,0299540,159001,215867,216272,-1,-1,1
TX,0,665,0299740,159001,216522,216927,-1,-1,1
TX,0,665,4299940,159001,217177,221428,-1,-1,1
TX,0,666,890c90c,160001,221678,222012,-1,-1,1
TX,0,666,029a340,160001,222262,222659,-1,-1,1
TX,0,666,029a540,160001,222909,223312,-1,-1,1
TX,0,666,029a740,160001,223562,223959,-1,-1,1
TX,0,666,429a940,160001,224209,228448,-1,-1,1
TX,0,667,8910910,161001,228698,229024,-1,-1,1
TX,0,667,029b340,161001,229274,229665,-1,-1,1
TX,0,667,029b540,161001,229915,230320,-1,-1,1
TX,0,667,029b740,161001,230570,230975,-1,-1,1
TX,0,667,429b940,161001,231225,235476,-1,-1,1
TX,0,668,8a0ca0c,162001,235726,236060,-1,-1,1
TX,0,668,029c340,162001,236310,236707,-1,-1,1
TX,0,668,029c540,162001,236957,237360,-1,-1,1
TX,0,668,029c740,162001,237610,238007,-1,-1,1
TX,0,668,429c940,162001,238257,242496,-1,-1,1
TX,0,669,8a10a10,163001,242746,243072,-1,-1,1
TX,0,669,029d340,163001,243322,243713,-1,-1,1
TX,0,669,029d540,163001,243963,244368,-1,-1,1
TX,0,669,029d740,163001,244618,245023,-1,-1,1
TX,0,669,429d940,163001,245273,249524,-1,-1,1
TX,0,670,8b0cb0c,164001,249774,250108,-1,-1,1
TX,0,670,029e340,164001,250358,250755,-1,-1,1
TX,0,670,029e540,164001,251005,251408,-1,-1,1
TX,0,670,029e740,164001,251658,252055,-1,-1,1
TX,0,670,429e940,164001,252305,256544,-1,-1,1
TX,0,671,8b10b10,165001,256794,257120,-1,-1,1
TX,0,671,029f340,165001,257370,257761,-1,-1,1
TX,0,671,029f540,165001,258011,258416,-1,-1,1
TX,0,671,029f740,165001,258666,259071,-1,-1,1
TX,0,671,429f940,165001,259321,263572,-1,-1,1
TX,1,3760,860c60d,1183001,1183051,1183385,-1,-1,1
TX,1,3760,0eb0341,1183001,1183635,1184032,-1,-1,1
TX,1,3760,0eb0541,1183001,1184282,1184685,-1,-1,1
TX,1,3760,0eb0741,1183001,1184935,1185332,-1,-1,1
TX,1,3760,4eb0941,1183001,1185582,1189764,-1,-1,1
TX,1,3761,8610611,1184001,1190014,1190340,-1,-1,1
TX,1,3761,0eb1341,1184001,1190590,1190981,-1,-1,1
TX,1,3761,0eb1541,1184001,1191231,1191636,-1,-1,1
TX,1,3761,0eb1741,1184001,1191886,1192291,-1,-1,1
TX,1,3761,4eb1941,1184001,1192541,1196760,-1,-1,1
TX,1,3762,8614615,1185001,1197010,1197344,-1,-1,1
TX,1,3762,0eb2341,1185001,1197594,1197991,-1,-1,1
TX,1,3762,0eb2541,1185001,1198241,1198644,-1,-1,1
TX,1,3762,0eb2741,1185001,1198894,1199291,-1,-1,1
TX,1,3762,4eb2941,1185001,1199541,1203723,-1,-1,1
TX,1,3763,8618619,1186001,1203973,1204299,-1,-1,1
TX,1,3763,0eb3341,1186001,1204549,1204940,-1,-1,1
TX,1,3763,0eb3541,1186001,1205190,1205595,-1,-1,1
TX,1,3763,0eb3741,1186001,1205845,1206250,-1,-1,1
TX,1,3763,4eb3941,1186001,1206500,1211310,-1,-1,1
TX,1,3764,870c70d,1187001,1211560,1211894,-1,-1,1
TX,1,3764,0eb4341,1187001,1212144,1212541,-1,-1,1
TX,1,3764,0eb4541,1187001,1212791,1213194,-1,-1,1
TX,1,3764,0eb4741,1187001,1213444,1213841,-1,-1,1
TX,1,3764,4eb4941,1187001,1214091,1218273,-1,-1,1
TX,1,3765,8710711,1188001,1218523,1218849,-1,-1,1
TX,1,3765,0eb5341,1188001,1219099,1219490,-1,-1,1
TX,1,3765,0eb5541,1188001,1219740,1220145,-1,-1,1
TX,1,3765,0eb5741,1188001,1220395,1220800,-1,-1,1
TX,1,3765,4eb5941,1188001,1221050,1225269,-1,-1,1
TX,1,3766,8714715,1189001,1225519,1225853,-1,-1,1
TX,1,3766,0eb6341,1189001,1226103,1226500,-1,-1,1
TX,1,3766,0eb6541,1189001,1226750,1227153,-1,-1,1
TX,1,3766,0eb6741,1189001,1227403,1227800,-1,-1,1
TX,1,3766,4eb6941,1189001,1228050,1232232,-1,-1,1
TX,1,3767,8718719,1190001,1232482,1232808,-1,-1,1
TX,1,3767,0eb7341,1190001,1233058,1233449,-1,-1,1
TX,1,3767,0eb7541,1190001,1233699,1234104,-1,-1,1
TX,1,3767,0eb7741,1190001,1234354,1234759,-1,-1,1
TX,1,3767,4eb7941,1190001,1235009,1239228,-1,-1,1
TX,1,3768,880c80d,1191001,1239478,1239812,-1,-1,1
TX,1,3768,0eb8341,1191001,1240062,1240459,-1,-1,1
TX,1,3768,0eb8541,1191001,1240709,1241112,-1,-1,1
TX,1,3768,0eb8741,1191001,1241362,1241759,-1,-1,1
TX,1,3768,4eb8941,1191001,1242009,1249548,-1,-1,1
TX,1,3769,8810811,1192001,1249798,1250124,-1,-1,1
TX,1,3769,0eb9341,1192001,1250374,1250765,-1,-1,1
TX,1,3769,0eb9541,1192001,1251015,1251420,-1,-1,1
TX,1,3769,0eb9741,1192001,1251670,1252075,-1,-1,1
TX,1,3769,4eb9941,1192001,1252325,1261276,-1,-1,1
TX,1,3770,8814815,1193001,1261526,1261860,-1,-1,1
TX,1,3770,0eba341,1193001,1262110,1262507,-1,-1,1
TX,1,3770,0eba541,1193001,1262757,1263160,-1,-1,1
TX,1,3770,0eba741,1193001,1263410,1263807,-1,-1,1
TX,1,3770,4eba941,1193001,1264057,1268239,-1,-1,1
TX,1,3771,8818819,1194001,1268489,1268815,-1,-1,1
TX,1,3771,0ebb341,1194001,1269065,1269456,-1,-1,1
TX,1,3771,0ebb541,1194001,1269706,1270111,-1,-1,1
TX,1,3771,0ebb741,1194001,1270361,1270766,-1,-1,1
TX,1,3771,4ebb941,1194001,1271016,1275235,-1,-1,1
TX,1,3772,890c90d,1195001,1275485,1275819,-1,-1,1
TX,1,3772,0ebc341,1195001,1276069,1276466,-1,-1,1
TX,1,3772,0ebc541,1195001,1276716,1277119,-1,-1,1
TX,1,3772,0ebc741,1195001,1277369,1277766,-1,-1,1
TX,1,3772,4ebc941,1195001,1278016,1282198,-1,-1,1
TX,1,3773,8910911,1196001,1282448,1282774,-1,-1,1
TX,1,3773,0ebd341,1196001,1283024,1283415,-1,-1,1
TX,1,3773,0ebd541,1196001,1283665,1284070,-1,-1,1
TX,1,3773,0ebd741,1196001,1284320,1284725,-1,-1,1
TX,1,3773,4ebd941,1196001,1284975,1289252,-1,-1,1
TX,1,3774,8914915,1197001,1289502,1289836,-1,-1,1
TX,1,3774,0ebe341,1197001,1290086,1290483,-1,-1,1
TX,1,3774,0ebe541,1197001,1290733,1291136,-1,-1,1
TX,1,3774,0ebe741,1197001,1291386,1291783,-1,-1,1
TX,1,3774,4ebe941,1197001,1292033,1300784,-1,-1,1
TX,1,3775,8918919,1198001,1301034,1301360,-1,-1,1
TX,1,3775,0ebf341,1198001,1301610,1302001,-1,-1,1
TX,1,3775,0ebf541,1198001,1302251,1302656,-1,-1,1
TX,1,3775,0ebf741,1198001,1302906,1303311,-1,-1,1
TX,1,3775,4ebf941,1198001,1303561,1307780,-1,-1,1
TX,2,880,8600602,3687001,3687051,3687385,-1,-1,1
TX,2,880,0370342,3687001,3687635,3688032,-1,-1,1
TX,2,880,0370542,3687001,3688282,3688685,-1,-1,1
TX,2,880,0370742,3687001,3688935,3689332,-1,-1,1
TX,2,880,4370942,3687001,3689582,3693736,-1,-1,1
TX,2,881,8604606,3688001,3693986,3694312,-1,-1,1
TX,2,881,0371342,3688001,3694562,3694953,-1,-1,1
TX,2,881,0371542,3688001,3695203,3695608,-1,-1,1
TX,2,881,0371742,3688001,3695858,3696263,-1,-1,1
TX,2,881,4371942,3688001,3696513,3700783,-1,-1,1
TX,2,882,860860a,3689001,3701033,3701367,-1,-1,1
TX,2,882,0372342,3689001,3701617,3702014,-1,-1,1
TX,2,882,0372542,3689001,3702264,3702667,-1,-1,1
TX,2,882,0372742,3689001,3702917,3703314,-1,-1,1
TX,2,882,4372942,3689001,3703564,3707833,-1,-1,1
TX,2,883,860c60e,3690001,3708083,3708409,-1,-1,1
TX,2,883,0373342,3690001,3708659,3709050,-1,-1,1
TX,2,883,0373542,3690001,3709300,3709705,-1,-1,1
TX,2,883,0373742,3690001,3709955,3710360,-1,-1,1
TX,2,883,4373942,3690001,3710610,3714880,-1,-1,1
TX,2,884,8700702,3691001,3715130,3715464,-1,-1,1
TX,2,884,0374342,3691001,3715714,3716111,-1,-1,1
TX,2,884,0374542,3691001,3716361,3716764,-1,-1,1
TX,2,884,0374742,3691001,3717014,3717411,-1,-1,1
TX,2,884,4374942,3691001,3717661,3721930,-1,-1,1
TX,2,885,8704706,3692001,3722180,3722506,-1,-1,1
TX,2,885,0375342,3692001,3722756,3723147,-1,-1,1
TX,2,885,0375542,3692001,3723397,3723802,-1,-1,1
TX,2,885,0375742,3692001,3724052,3724457,-1,-1,1
TX,2,885,4375942,3692001,3724707,3728977,-1,-1,1
TX,2,886,870870a,3693001,3729227,3729561,-1,-1,1
TX,2,886,0376342,3693001,3729811,3730208,-1,-1,1
TX,2,886,0376542,3693001,3730458,3730861,-1,-1,1
TX,2,886,0376742,3693001,3731111,3731508,-1,-1,1
TX,2,886,4376942,3693001,3731758,3735971,-1,-1,1
TX,2,887,870c70e,3694001,3736221,3736547,-1,-1,1
TX,2,887,0377342,3694001,3736797,3737188,-1,-1,1
