port,pkt_seq,flit,offer_ps,egress_ps,lat_ns
0,1351,8000000,137001,146740,9.739000
0,1351,0547340,137001,147606,10.605000
0,1351,0547540,137001,148539,11.538000
0,1351,0547740,137001,149407,12.406000
0,1351,4547940,137001,150337,13.336000
0,115,8000003,136001,158209,22.208000
0,115,0073343,136001,159117,23.116000
0,115,0073543,136001,160021,24.020000
0,115,0073743,136001,160931,24.930000
0,115,4073943,136001,161832,25.831000
0,1137,8000003,190001,198856,8.855000
0,1137,0471343,190001,199722,9.721000
0,1137,0471543,190001,200655,10.654000
0,1137,0471743,190001,201523,11.522000
0,1137,4471943,190001,202453,12.452000
0,984,8000001,206001,216274,10.273000
0,984,03d8341,206001,217194,11.193000
0,984,03d8541,206001,218072,12.071000
0,984,03d8741,206001,219008,13.007000
0,984,43d8941,206001,219875,13.874000
0,1827,8000003,371001,384837,13.836000
0,1827,0723343,371001,385663,14.662000
0,1827,0723543,371001,386556,15.555000
0,1827,0723743,371001,387384,16.383000
0,1827,4723943,371001,388274,17.273000
0,2513,8000003,395001,452228,57.227000
0,2513,09d1343,395001,453109,58.108000
0,2513,09d1543,395001,454039,59.038000
0,2513,09d1743,395001,454922,59.921000
0,2513,49d1943,395001,455849,60.848000
0,3738,8000002,456001,461233,5.232000
0,3738,0e9a342,456001,462150,6.149000
0,3738,0e9a542,456001,463043,7.042000
0,3738,0e9a742,456001,463976,7.975000
0,3738,4e9a942,456001,464858,8.857000
0,6182,8000002,485001,500164,15.163000
0,6182,1826342,485001,501032,16.031000
0,6182,1826542,485001,501896,16.895000
0,6182,1826742,485001,502766,17.765000
0,6182,5826942,485001,503690,18.689000
0,5191,8000002,495001,504915,9.914000
0,5191,1447342,495001,505781,10.780000
0,5191,1447542,495001,506714,11.713000
0,5191,1447742,495001,507582,12.581000
0,5191,5447942,495001,508512,13.511000
0,1400,8000000,495001,516001,21.000000
0,1400,0578340,495001,516920,21.919000
0,1400,0578540,495001,517799,22.798000
0,1400,0578740,495001,518735,23.734000
0,1400,4578940,495001,519602,24.601000
0,3671,8000003,499001,539299,40.298000
0,3671,0e57343,499001,540190,41.189000
0,3671,0e57543,499001,541110,42.109000
0,3671,0e57743,499001,542017,43.016000
0,3671,4e57943,499001,542926,43.925000
0,3301,8000001,587001,596767,9.766000
0,3301,0ce5341,587001,597675,10.674000
0,3301,0ce5541,587001,598579,11.578000
0,3301,0ce5741,587001,599489,12.488000
0,3301,4ce5941,587001,600390,13.389000
0,2582,8000000,600001,605341,5.340000
0,2582,0a16340,600001,606243,6.242000
0,2582,0a16540,600001,607175,7.174000
0,2582,0a16740,600001,608093,8.092000
0,2582,4a16940,600001,609014,9.013000
0,3920,8000002,570001,610246,40.245000
0,3920,0f50342,570001,611126,41.125000
0,3920,0f50542,570001,612060,42.059000
0,3920,0f50742,570001,612942,42.941000
0,3920,4f50942,570001,613873,43.872000
0,5855,8000002,591001,616003,25.002000
0,5855,16df342,591001,616924,25.923000
0,5855,16df542,591001,617816,26.815000
0,5855,16df742,591001,618753,27.752000
0,5855,56df942,591001,619634,28.633000
0,4469,8000001,594001,621796,27.795000
0,4469,1175341,594001,622676,28.675000
0,4469,1175541,594001,623610,29.609000
0,4469,1175741,594001,624492,30.491000
0,4469,5175941,594001,625423,31.422000
0,2287,8000001,620001,634863,14.862000
0,2287,08ef341,620001,635784,15.783000
0,2287,08ef541,620001,636676,16.675000
0,2287,08ef741,620001,637613,17.612000
0,2287,48ef941,620001,638494,18.493000
0,3053,8000000,641001,706925,65.924000
0,3053,0bed340,641001,707805,66.804000
0,3053,0bed540,641001,708739,67.738000
0,3053,0bed740,641001,709621,68.620000
0,3053,4bed940,641001,710552,69.551000
0,1880,8000001,699001,711678,12.677000
0,1880,0758341,699001,712600,13.599000
0,1880,0758541,699001,713496,14.495000
0,1880,0758741,699001,714434,15.433000
0,1880,4758941,699001,715319,16.318000
0,2879,8000001,692001,724292,32.291000
0,2879,0b3f341,692001,725212,33.211000
0,2879,0b3f541,692001,726090,34.089000
0,2879,0b3f741,692001,727026,35.025000
0,2879,4b3f941,692001,727893,35.892000
0,5164,8000001,730001,753713,23.712000
0,5164,142c341,730001,754604,24.603000
0,5164,142c541,730001,755524,25.523000
0,5164,142c741,730001,756431,26.430000
0,5164,542c941,730001,757340,27.339000
0,4445,8000000,798001,809925,11.924000
0,4445,115d340,798001,810833,12.832000
0,4445,115d540,798001,811737,13.736000
0,4445,115d740,798001,812647,14.646000
0,4445,515d940,798001,813548,15.547000
0,7229,8000002,831001,851209,20.208000
0,7229,1c3d342,831001,852100,21.099000
0,7229,1c3d542,831001,853020,22.019000
0,7229,1c3d742,831001,853927,22.926000
0,7229,5c3d942,831001,854836,23.835000
0,2728,8000002,853001,866675,13.674000
0,2728,0aa8342,853001,867529,14.528000
0,2728,0aa8542,853001,868393,15.392000
0,2728,0aa8742,853001,869263,16.262000
0,2728,4aa8942,853001,870116,17.115000
0,3570,8000000,900001,923459,23.458000
0,3570,0df2340,900001,924376,24.375000
0,3570,0df2540,900001,925269,25.268000
0,3570,0df2740,900001,926202,26.201000
0,3570,4df2940,900001,927084,27.083000
0,4261,8000002,1048001,1062416,14.415000
0,4261,10a5342,1048001,1063297,15.296000
0,4261,10a5542,1048001,1064227,16.226000
0,4261,10a5742,1048001,1065110,17.109000
0,4261,50a5942,1048001,1066037,18.036000
0,6727,8000003,1071001,1092985,21.984000
0,6727,1a47343,1071001,1093890,22.889000
0,6727,1a47543,1071001,1094809,23.808000
0,6727,1a47743,1071001,1095716,24.715000
0,6727,5a47943,1071001,1096632,25.631000
0,8835,8000001,1084001,1136748,52.747000
0,8835,2283341,1084001,1137628,53.627000
0,8835,2283541,1084001,1138466,54.465000
0,8835,2283741,1084001,1139362,55.361000
0,8835,6283941,1084001,1140189,56.188000
0,6805,8000003,1126001,1152184,26.183000
0,6805,1a95343,1126001,1153075,27.074000
0,6805,1a95543,1126001,1153995,27.994000
0,6805,1a95743,1126001,1154902,28.901000
0,6805,5a95943,1126001,1155811,29.810000
0,6470,8000000,1166001,1174806,8.805000
0,6470,1946340,1166001,1175660,9.659000
0,6470,1946540,1166001,1176524,10.523000
0,6470,1946740,1166001,1177394,11.393000
0,6470,5946940,1166001,1178247,12.246000
0,5253,8000002,1171001,1181357,10.356000
0,5253,1485342,1171001,1182262,11.261000
0,5253,1485542,1171001,1183181,12.180000
0,5253,1485742,1171001,1184088,13.087000
0,5253,5485942,1171001,1185004,14.003000
0,4640,8000001,1158001,1187159,29.158000
0,4640,1220341,1158001,1188065,30.064000
0,4640,1220541,1158001,1188982,30.981000
0,4640,1220741,1158001,1189904,31.903000
0,4640,5220941,1158001,1190810,32.809000
0,7900,8000003,1206001,1209170,3.169000
0,7900,1edc343,1206001,1210087,4.086000
0,7900,1edc543,1206001,1210980,4.979000
0,7900,1edc743,1206001,1211913,5.912000
0,7900,5edc943,1206001,1212795,6.794000
0,9075,8000002,1223001,1248346,25.345000
0,9075,2373342,1223001,1249252,26.251000
0,9075,2373542,1223001,1250169,27.168000
0,9075,2373742,1223001,1251091,28.090000
0,9075,6373942,1223001,1251997,28.996000
0,7274,8000000,1237001,1279923,42.922000
0,7274,1c6a340,1237001,1280840,43.839000
0,7274,1c6a540,1237001,1281733,44.732000
0,7274,1c6a740,1237001,1282666,45.665000
0,7274,5c6a940,1237001,1283548,46.547000
0,9448,8000001,1328001,1333178,5.177000
0,9448,24e8341,1328001,1334058,6.057000
0,9448,24e8541,1328001,1334896,6.895000
0,9448,24e8741,1328001,1335792,7.791000
0,9448,64e8941,1328001,1336619,8.618000
0,4016,8000003,1390001,1409712,19.711000
0,4016,0fb0343,1390001,1410578,20.577000
0,4016,0fb0543,1390001,1411511,21.510000
0,4016,0fb0743,1390001,1412379,22.378000
0,4016,4fb0943,1390001,1413309,23.308000
0,9832,8000003,1596001,1601335,5.334000
0,9832,2668343,1596001,1602164,6.163000
0,9832,2668543,1596001,1603041,7.040000
0,9832,2668743,1596001,1603872,7.871000
0,9832,6668943,1596001,1604746,8.745000
0,6608,8000003,1651001,1677912,26.911000
0,6608,19d0343,1651001,1678817,27.816000
0,6608,19d0543,1651001,1679736,28.735000
0,6608,19d0743,1651001,1680643,29.642000
0,6608,59d0943,1651001,1681559,30.558000
0,7530,8000000,1705001,1708077,3.076000
0,7530,1d6a340,1705001,1708983,3.982000
0,7530,1d6a540,1705001,1709900,4.899000
0,7530,1d6a740,1705001,1710822,5.821000
0,7530,5d6a940,1705001,1711728,6.727000
0,9833,8000000,1729001,1734361,5.360000
0,9833,2669340,1729001,1735266,6.265000
