port,pkt_seq,flit,offer_ps,egress_ps,lat_ns
4,80,812c012,123001,156449,33.448000
4,80,0050362,123001,157340,34.339000
4,80,0050562,123001,158260,35.259000
4,80,0050762,123001,159167,36.166000
4,80,4050962,123001,160076,37.075000
4,254,812c012,251001,376475,125.474000
4,254,00fe362,251001,377304,126.303000
4,254,00fe562,251001,378181,127.180000
4,254,00fe762,251001,379012,128.011000
4,254,40fe962,251001,379886,128.885000
4,182,812c011,472001,497417,25.416000
4,182,00b6361,472001,498334,26.333000
4,182,00b6561,472001,499227,27.226000
4,182,00b6761,472001,500160,28.159000
4,182,40b6961,472001,501042,29.041000
4,188,812c011,529001,532094,3.093000
4,188,00bc361,529001,532975,3.974000
4,188,00bc561,529001,533905,4.904000
4,188,00bc761,529001,534788,5.787000
4,188,40bc961,529001,535715,6.714000
5,80,812c012,123001,156449,33.448000
5,80,0050362,123001,157340,34.339000
5,80,0050562,123001,158260,35.259000
5,80,0050762,123001,159167,36.166000
5,80,4050962,123001,160076,37.075000
5,254,812c012,251001,376475,125.474000
5,254,00fe362,251001,377304,126.303000
5,254,00fe562,251001,378181,127.180000
5,254,00fe762,251001,379012,128.011000
5,254,40fe962,251001,379886,128.885000
5,182,812c011,472001,497417,25.416000
5,182,00b6361,472001,498334,26.333000
5,182,00b6561,472001,499227,27.226000
5,182,00b6761,472001,500160,28.159000
5,182,40b6961,472001,501042,29.041000
5,188,812c011,529001,532094,3.093000
5,188,00bc361,529001,532975,3.974000
5,188,00bc561,529001,533905,4.904000
5,188,00bc761,529001,534788,5.787000
5,188,40bc961,529001,535715,6.714000
6,337,832401a,35001,53431,18.430000
6,337,0151362,35001,54297,19.296000
6,337,0151562,35001,55230,20.229000
6,337,0151762,35001,56098,21.097000
6,337,4151962,35001,57028,22.027000
6,202,8324018,30001,90963,60.962000
6,202,00ca360,30001,91871,61.870000
6,202,00ca560,30001,92775,62.774000
6,202,00ca760,30001,93685,63.684000
6,202,40ca960,30001,94586,64.585000
6,13,832401a,86001,95682,9.681000
6,13,000d362,86001,96508,10.507000
6,13,000d562,86001,97401,11.400000
6,13,000d762,86001,98229,12.228000
6,13,400d962,86001,99119,13.118000
6,80,812c012,123001,158188,35.187000
6,80,0050362,123001,159094,36.093000
6,80,0050562,123001,160011,37.010000
6,80,0050762,123001,160933,37.932000
6,80,4050962,123001,161839,38.838000
6,118,8324019,60001,181318,121.317000
6,118,0076361,60001,182223,122.222000
6,118,0076561,60001,183142,123.141000
6,118,0076761,60001,184049,124.048000
6,118,4076961,60001,184965,124.964000
6,262,832401b,279001,287085,8.084000
6,262,0106363,279001,287966,8.965000
6,262,0106563,279001,288896,9.895000
6,262,0106763,279001,289779,10.778000
6,262,4106963,279001,290706,11.705000
6,70,8324018,194001,316639,122.638000
6,70,0046360,194001,317544,123.543000
6,70,0046560,194001,318463,124.462000
6,70,0046760,194001,319370,125.369000
6,70,4046960,194001,320286,126.285000
6,205,8324019,187001,361129,174.128000
6,205,00cd361,187001,362009,175.008000
6,205,00cd561,187001,362847,175.846000
6,205,00cd761,187001,363743,176.742000
6,205,40cd961,187001,364570,177.569000
6,254,812c012,251001,376464,125.463000
6,254,00fe362,251001,377315,126.314000
6,254,00fe562,251001,378195,127.194000
6,254,00fe762,251001,379062,128.061000
6,254,40fe962,251001,379931,128.930000
6,61,8324019,422001,491437,69.436000
6,61,003d361,422001,492318,70.317000
6,61,003d561,422001,493248,71.247000
6,61,003d761,422001,494131,72.130000
6,61,403d961,422001,495058,73.057000
6,182,812c011,472001,497408,25.407000
6,182,00b6361,472001,498325,26.324000
6,182,00b6561,472001,499218,27.217000
6,182,00b6761,472001,500151,28.150000
6,182,40b6961,472001,501033,29.032000
6,188,812c011,529001,532062,3.061000
6,188,00bc361,529001,532968,3.967000
6,188,00bc561,529001,533885,4.884000
6,188,00bc761,529001,534807,5.806000
6,188,40bc961,529001,535713,6.712000
6,217,8324019,346001,543713,197.712000
6,217,00d9361,346001,544618,198.617000
6,217,00d9561,346001,545537,199.536000
6,217,00d9761,346001,546444,200.443000
6,217,40d9961,346001,547360,201.359000
7,225,872001e,29001,32190,3.189000
7,225,00e1362,29001,33056,4.055000
7,225,00e1562,29001,33989,4.988000
7,225,00e1762,29001,34857,5.856000
7,225,40e1962,29001,35787,6.786000
7,90,872001d,40001,45388,5.387000
7,90,005a361,40001,46308,6.307000
7,90,005a561,40001,47186,7.185000
7,90,005a761,40001,48122,8.121000
7,90,405a961,40001,48989,8.988000
7,337,832401a,35001,53431,18.430000
7,337,0151362,35001,54297,19.296000
7,337,0151562,35001,55230,20.229000
7,337,0151762,35001,56098,21.097000
7,337,4151962,35001,57028,22.027000
7,381,872001e,32001,67785,35.784000
7,381,017d362,32001,68693,36.692000
7,381,017d562,32001,69597,37.596000
7,381,017d762,32001,70507,38.506000
7,381,417d962,32001,71408,39.407000
7,219,872001c,50001,73542,23.541000
7,219,00db360,50001,74433,24.432000
7,219,00db560,50001,75353,25.352000
7,219,00db760,50001,76260,26.259000
7,219,40db960,50001,77169,27.168000
7,202,8324018,30001,90963,60.962000
7,202,00ca360,30001,91871,61.870000
7,202,00ca560,30001,92775,62.774000
7,202,00ca760,30001,93685,63.684000
7,202,40ca960,30001,94586,64.585000
7,13,832401a,86001,95683,9.682000
7,13,000d362,86001,96509,10.508000
7,13,000d562,86001,97402,11.401000
7,13,000d762,86001,98230,12.229000
7,13,400d962,86001,99120,13.119000
7,237,872001f,66001,100342,34.341000
7,237,00ed363,66001,101248,35.247000
7,237,00ed563,66001,102165,36.164000
7,237,00ed763,66001,103087,37.086000
7,237,40ed963,66001,103993,37.992000
7,327,872001c,82001,106131,24.130000
7,327,0147360,82001,107036,25.035000
7,327,0147560,82001,107955,25.954000
7,327,0147760,82001,108862,26.861000
7,327,4147960,82001,109778,27.777000
7,336,872001c,90001,111909,21.908000
7,336,0150360,90001,112815,22.814000
7,336,0150560,90001,113732,23.731000
7,336,0150760,90001,114654,24.653000
7,336,4150960,90001,115560,25.559000
7,147,872001f,118001,123259,5.258000
7,147,0093363,118001,124164,6.163000
7,147,0093563,118001,125083,7.082000
7,147,0093763,118001,125990,7.989000
7,147,4093963,118001,126906,8.905000
7,390,872001c,92001,152423,60.422000
7,390,0186360,92001,153304,61.303000
7,390,0186560,92001,154234,62.233000
7,390,0186760,92001,155117,63.116000
7,390,4186960,92001,156044,64.043000
7,80,812c012,123001,158175,35.174000
7,80,0050362,123001,159092,36.091000
7,80,0050562,123001,159985,36.984000
7,80,0050762,123001,160918,37.917000
7,80,4050962,123001,161800,38.799000
7,123,872001c,143001,163999,20.998000
7,123,007b360,143001,164880,21.879000
7,123,007b560,143001,165810,22.809000
7,123,007b760,143001,166693,23.692000
7,123,407b960,143001,167620,24.619000
7,99,872001d,85001,169751,84.750000
7,99,0063361,85001,170668,85.667000
7,99,0063561,85001,171561,86.560000
7,99,0063761,85001,172494,87.493000
7,99,4063961,85001,173376,88.375000
7,118,8324019,60001,181331,121.330000
7,118,0076361,60001,182212,122.211000
7,118,0076561,60001,183142,123.141000
7,118,0076761,60001,184025,124.024000
7,118,4076961,60001,184952,124.951000
7,0,872001f,147001,192918,45.917000
7,0,0000363,147001,193823,46.822000
7,0,0000563,147001,194742,47.741000
7,0,0000763,147001,195649,48.648000
7,0,4000963,147001,196565,49.564000
7,306,872001e,197001,207620,10.619000
7,306,0132362,197001,208526,11.525000
7,306,0132562,197001,209443,12.442000
7,306,0132762,197001,210365,13.364000
7,306,4132962,197001,211271,14.270000
7,162,872001d,93001,219307,126.306000
7,162,00a2361,93001,220171,127.170000
7,162,00a2561,93001,221012,128.011000
7,162,00a2761,93001,221892,128.891000
7,162,40a2961,93001,222722,129.721000
7,399,872001d,243001,251768,8.767000
7,399,018f361,243001,252688,9.687000
7,399,018f561,243001,253566,10.565000
7,399,018f761,243001,254502,11.501000
7,399,418f961,243001,255369,12.368000
7,262,832401b,279001,287085,8.084000
7,262,0106363,279001,287951,8.950000
7,262,0106563,279001,288884,9.883000
7,262,0106763,279001,289752,10.751000
7,262,4106963,279001,290682,11.681000
7,183,872001e,279001,311534,32.533000
7,183,00b7362,279001,312363,33.362000
7,183,00b7562,279001,313240,34.239000
7,183,00b7762,279001,314071,35.070000
7,183,40b7962,279001,314945,35.944000
7,70,8324018,194001,316639,122.638000
7,70,0046360,194001,317544,123.543000
7,70,0046560,194001,318463,124.462000
7,70,0046760,194001,319370,125.369000
7,70,4046960,194001,320286,126.285000
7,207,872001d,310001,321355,11.354000
7,207,00cf361,310001,322235,12.234000
7,207,00cf561,310001,323073,13.072000
7,207,00cf761,310001,323969,13.968000
7,207,40cf961,310001,324796,14.795000
7,105,872001c,318001,340026,22.025000
7,105,0069360,318001,340877,22.876000
7,105,0069560,318001,341757,23.756000
7,105,0069760,318001,342624,24.623000
7,105,4069960,318001,343493,25.492000
7,174,872001f,173001,345602,172.601000
7,174,00ae363,173001,346470,173.469000
7,174,00ae563,173001,347334,174.333000
7,174,00ae763,173001,348204,175.203000
7,174,40ae963,173001,349065,176.064000
7,81,872001d,166001,350290,184.289000
7,81,0051361,166001,351181,185.180000
7,81,0051561,166001,352101,186.100000
7,81,0051761,166001,353008,187.007000
7,81,4051961,166001,353917,187.916000
7,210,872001e,287001,356090,69.089000
7,210,00d2362,287001,356998,69.997000
7,210,00d2562,287001,357902,70.901000
7,210,00d2762,287001,358812,71.811000
7,210,40d2962,287001,359713,72.712000
7,205,8324019,187001,361154,174.153000
7,205,00cd361,187001,362005,175.004000
7,205,00cd561,187001,362885,175.884000
7,205,00cd761,187001,363752,176.751000
7,205,40cd961,187001,364621,177.620000
7,375,872001e,353001,365843,12.842000
7,375,0177362,353001,366749,13.748000
7,375,0177562,353001,367666,14.665000
7,375,0177762,353001,368588,15.587000
7,375,4177962,353001,369494,16.493000
7,87,872001f,176001,370566,194.565000
7,87,0057363,176001,371418,195.417000
7,87,0057563,176001,372285,196.284000
7,87,0057763,176001,373139,197.138000
7,87,4057963,176001,374003,198.002000
7,254,812c012,251001,376451,125.450000
7,254,00fe362,251001,377305,126.304000
7,254,00fe562,251001,378169,127.168000
7,254,00fe762,251001,379039,128.038000
7,254,40fe962,251001,379892,128.891000
7,63,872001d,292001,381104,89.103000
7,63,003f361,292001,382021,90.020000
7,63,003f561,292001,382914,90.913000
7,63,003f761,292001,383847,91.846000
7,63,403f961,292001,384729,92.728000
7,75,872001f,179001,477776,298.775000
7,75,004b363,179001,478657,299.656000
7,75,004b563,179001,479587,300.586000
7,75,004b763,179001,480470,301.469000
7,75,404b963,179001,481397,302.396000
7,270,872001e,477001,485650,8.649000
7,270,010e362,477001,486567,9.566000
7,270,010e562,477001,487460,10.459000
7,270,010e762,477001,488393,11.392000
7,270,410e962,477001,489275,12.274000
7,61,8324019,422001,491437,69.436000
7,61,003d361,422001,492318,70.317000
7,61,003d561,422001,493248,71.247000
7,61,003d761,422001,494131,72.130000
7,61,403d961,422001,495058,73.057000
7,182,812c011,472001,497408,25.407000
7,182,00b6361,472001,498325,26.324000
7,182,00b6561,472001,499218,27.217000
7,182,00b6761,472001,500151,28.150000
7,182,40b6961,472001,501033,29.032000
7,297,872001f,493001,522675,29.674000
7,297,0129363,493001,523557,30.556000
7,297,0129563,493001,524487,31.486000
