port,pkt_seq,flit,offer_ps,egress_ps,lat_ns
4,1280,8010012,123001,158928,35.927000
4,1280,0500342,123001,159754,36.753000
4,1280,0500542,123001,160647,37.646000
4,1280,0500742,123001,161475,38.474000
4,1280,4500942,123001,162365,39.364000
4,4064,8010012,251001,363148,112.147000
4,4064,0fe0342,251001,364016,113.015000
4,4064,0fe0542,251001,364880,113.879000
4,4064,0fe0742,251001,365750,114.749000
4,4064,4fe0942,251001,366611,115.610000
4,3008,8010011,529001,532094,3.093000
4,3008,0bc0341,529001,532985,3.984000
4,3008,0bc0541,529001,533905,4.904000
4,3008,0bc0741,529001,534812,5.811000
4,3008,4bc0941,529001,535721,6.720000
4,2912,8010011,472001,1457790,985.789000
4,2912,0b60341,472001,1458710,986.709000
4,2912,0b60541,472001,1459588,987.587000
4,2912,0b60741,472001,1460524,988.523000
4,2912,4b60941,472001,1461391,989.390000
5,4065,8014016,252001,370278,118.277000
5,4065,0fe1342,252001,371129,119.128000
5,4065,0fe1542,252001,372009,120.008000
5,4065,0fe1742,252001,372876,120.875000
5,4065,4fe1942,252001,373745,121.744000
5,1281,8014016,124001,388046,264.045000
5,1281,0501342,124001,388952,264.951000
5,1281,0501542,124001,389869,265.868000
5,1281,0501742,124001,390791,266.790000
5,1281,4501942,124001,391697,267.696000
5,3009,8014015,530001,538963,8.962000
5,3009,0bc1341,530001,539868,9.867000
5,3009,0bc1541,530001,540787,10.786000
5,3009,0bc1741,530001,541694,11.693000
5,3009,4bc1941,530001,542610,12.609000
5,2913,8014015,473001,1464796,991.795000
5,2913,0b61341,473001,1465677,992.676000
5,2913,0b61541,473001,1466607,993.606000
5,2913,0b61741,473001,1467490,994.489000
5,2913,4b61941,473001,1468417,995.416000
6,3232,8018018,30001,56842,26.841000
6,3232,0ca0340,30001,57733,27.732000
6,3232,0ca0540,30001,58653,28.652000
6,3232,0ca0740,30001,59560,29.559000
6,3232,4ca0940,30001,60469,30.468000
6,208,801801a,86001,91318,5.317000
6,208,00d0342,86001,92202,6.201000
6,208,00d0542,86001,93137,7.136000
6,208,00d0742,86001,94023,8.022000
6,208,40d0942,86001,94955,8.954000
6,1888,8018019,60001,133479,73.478000
6,1888,0760341,60001,134400,74.399000
6,1888,0760541,60001,135292,75.291000
6,1888,0760741,60001,136229,76.228000
6,1888,4760941,60001,137110,77.109000
6,1282,801801a,125001,232153,107.152000
6,1282,0502342,125001,233058,108.057000
6,1282,0502542,125001,233979,108.978000
6,1282,0502742,125001,234900,109.899000
6,1282,4502942,125001,235810,110.809000
6,5392,801801a,38001,280671,242.670000
6,5392,1510342,38001,281593,243.592000
6,5392,1510542,38001,282489,244.488000
6,5392,1510742,38001,283427,245.426000
6,5392,5510942,38001,284312,246.311000
6,3280,8018019,187001,356431,169.430000
6,3280,0cd0341,187001,357351,170.350000
6,3280,0cd0541,187001,358229,171.228000
6,3280,0cd0741,187001,359165,172.164000
6,3280,4cd0941,187001,360032,173.031000
6,4066,801801a,253001,470207,217.206000
6,4066,0fe2342,253001,471058,218.057000
6,4066,0fe2542,253001,471938,218.937000
6,4066,0fe2742,253001,472805,219.804000
6,4066,4fe2942,253001,473674,220.673000
6,3010,8018019,531001,545928,14.927000
6,3010,0bc2341,531001,546834,15.833000
6,3010,0bc2541,531001,547751,16.750000
6,3010,0bc2741,531001,548673,17.672000
6,3010,4bc2941,531001,549579,18.578000
6,1120,8018018,194001,709224,515.223000
6,1120,0460340,194001,710129,516.128000
6,1120,0460540,194001,711048,517.047000
6,1120,0460740,194001,711955,517.954000
6,1120,4460940,194001,712871,518.870000
6,4192,801801b,279001,798549,519.548000
6,4192,1060343,279001,799430,520.429000
6,4192,1060543,279001,800360,521.359000
6,4192,1060743,279001,801243,522.242000
6,4192,5060943,279001,802170,523.169000
6,3472,8018019,357001,854456,497.455000
6,3472,0d90341,357001,855373,498.372000
6,3472,0d90541,357001,856266,499.265000
6,3472,0d90741,357001,857199,500.198000
6,3472,4d90941,357001,858081,501.080000
6,976,8018019,422001,1347092,925.091000
6,976,03d0341,422001,1347998,925.997000
6,976,03d0541,422001,1348915,926.914000
6,976,03d0741,422001,1349837,927.836000
6,976,43d0941,422001,1350743,928.742000
6,2914,8018019,474001,1471776,997.775000
6,2914,0b62341,474001,1472681,998.680000
6,2914,0b62541,474001,1473600,999.599000
6,2914,0b62741,474001,1474507,1000.506000
6,2914,4b62941,474001,1475423,1001.422000
7,3600,801c01e,29001,32190,3.189000
7,3600,0e10342,29001,33056,4.055000
7,3600,0e10542,29001,33989,4.988000
7,3600,0e10742,29001,34857,5.856000
7,3600,4e10942,29001,35787,6.786000
7,1440,801c01d,40001,45364,5.363000
7,1440,05a0341,40001,46284,6.283000
7,1440,05a0541,40001,47162,7.161000
7,1440,05a0741,40001,48098,8.097000
7,1440,45a0941,40001,48965,8.964000
7,3233,801c01c,31001,51826,20.825000
7,3233,0ca1340,31001,52652,21.651000
7,3233,0ca1540,31001,53545,22.544000
7,3233,0ca1740,31001,54373,23.372000
7,3233,4ca1940,31001,55263,24.262000
7,6096,801c01e,32001,62613,30.612000
7,6096,17d0342,32001,63494,31.493000
7,6096,17d0542,32001,64424,32.423000
7,6096,17d0742,32001,65307,33.306000
7,6096,57d0942,32001,66234,34.233000
7,3792,801c01f,66001,84900,18.899000
7,3792,0ed0343,66001,85817,19.816000
7,3792,0ed0543,66001,86710,20.709000
7,3792,0ed0743,66001,87643,21.642000
7,3792,4ed0943,66001,88525,22.524000
7,209,801c01e,87001,98201,11.200000
7,209,00d1342,87001,99118,12.117000
7,209,00d1542,87001,100047,13.046000
7,209,00d1742,87001,100980,13.979000
7,209,40d1942,87001,101898,14.897000
7,1889,801c01d,61001,144736,83.735000
7,1889,0761341,61001,145613,84.612000
7,1889,0761541,61001,146562,85.561000
7,1889,0761741,61001,147441,86.440000
7,1889,4761941,61001,148387,87.386000
7,2592,801c01d,93001,164720,71.719000
7,2592,0a20341,93001,165600,72.599000
7,2592,0a20541,93001,166438,73.437000
7,2592,0a20741,93001,167334,74.333000
7,2592,4a20941,93001,168161,75.160000
7,1584,801c01d,85001,170679,85.678000
7,1584,0630341,85001,171505,86.504000
7,1584,0630541,85001,172398,87.397000
7,1584,0630741,85001,173226,88.225000
7,1584,4630941,85001,174116,89.115000
7,1296,801c01d,166001,175328,9.327000
7,1296,0510341,166001,176265,10.264000
7,1296,0510541,166001,177158,11.157000
7,1296,0510741,166001,178111,12.110000
7,1296,4510941,166001,178993,12.992000
7,5376,801c01c,90001,180211,90.210000
7,5376,1500340,90001,181128,91.127000
7,5376,1500540,90001,182021,92.020000
7,5376,1500740,90001,182954,92.953000
7,5376,5500940,90001,183836,93.835000
7,3504,801c01c,56001,212073,156.072000
7,3504,0db0340,56001,212941,156.940000
7,3504,0db0540,56001,213805,157.804000
7,3504,0db0740,56001,214675,158.674000
7,3504,4db0940,56001,215536,159.535000
7,4896,801c01e,197001,216761,19.760000
7,4896,1320342,197001,217627,20.626000
7,4896,1320542,197001,218560,21.559000
7,4896,1320742,197001,219428,22.427000
7,4896,5320942,197001,220358,23.357000
7,2784,801c01f,173001,252504,79.503000
7,2784,0ae0343,173001,253333,80.332000
7,2784,0ae0543,173001,254210,81.209000
7,2784,0ae0743,173001,255041,82.040000
7,2784,4ae0943,173001,255915,82.914000
7,1283,801c01e,126001,258273,132.272000
7,1283,0503342,126001,259137,133.136000
7,1283,0503542,126001,259977,133.976000
7,1283,0503742,126001,260858,134.857000
7,1283,4503942,126001,261688,135.687000
7,5393,801c01e,39001,287702,248.701000
7,5393,1511342,39001,288586,249.585000
7,5393,1511542,39001,289521,250.520000
7,5393,1511742,39001,290407,251.406000
7,5393,5511942,39001,291339,252.338000
7,1968,801c01c,143001,312157,169.156000
7,1968,07b0340,143001,313078,170.077000
7,1968,07b0540,143001,313970,170.969000
7,1968,07b0740,143001,314907,171.906000
7,1968,47b0940,143001,315788,172.787000
7,3312,801c01d,310001,316919,6.918000
7,3312,0cf0341,310001,317807,7.806000
7,3312,0cf0541,310001,318738,8.737000
7,3312,0cf0741,310001,319628,9.627000
7,3312,4cf0941,310001,320556,10.555000
7,2352,801c01f,118001,321683,203.682000
7,2352,0930343,118001,322509,204.508000
7,2352,0930543,118001,323402,205.401000
7,2352,0930743,118001,324230,206.229000
7,2352,4930943,118001,325120,207.119000
7,3281,801c01d,188001,376803,188.802000
7,3281,0cd1341,188001,377684,189.683000
7,3281,0cd1541,188001,378615,190.614000
7,3281,0cd1741,188001,379498,191.497000
7,3281,4cd1941,188001,380426,192.425000
7,5232,801c01c,82001,409088,327.087000
7,5232,1470340,82001,409994,327.993000
7,5232,1470540,82001,410913,328.912000
7,5232,1470740,82001,411821,329.820000
7,5232,5470940,82001,412737,330.736000
7,0,801c01f,147001,414863,267.862000
7,0,0000343,147001,415769,268.768000
7,0,0000543,147001,416687,269.686000
7,0,0000743,147001,417609,270.608000
7,0,4000943,147001,418516,271.515000
7,2928,801c01e,279001,458206,179.205000
7,2928,0b70342,279001,459070,180.069000
7,2928,0b70542,279001,459911,180.910000
7,2928,0b70742,279001,460791,181.790000
7,2928,4b70942,279001,461621,182.620000
7,1200,801c01f,179001,475791,296.790000
7,1200,04b0343,179001,476620,297.619000
