port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
0,661,661,4295943,176051,176385,198003,198103,21.618000,21.952000
0,2510,2510,49ce943,218051,218377,244133,244233,25.756000,26.082000
0,1096,1096,4448942,313051,313385,326209,326309,12.824000,13.158000
0,1640,1640,4668943,325051,325377,372042,372142,46.665000,46.991000
0,2367,2367,493f941,365833,366159,401454,401554,35.295000,35.621000
0,1333,1333,4535941,391051,391377,413283,413383,21.906000,22.232000
0,2628,2628,4a44941,399051,399377,456760,456860,57.383000,57.709000
0,5800,5800,56a8942,529745,530071,543984,544084,13.913000,14.239000
0,2867,2867,4b33940,565051,565385,593925,594025,28.540000,28.874000
0,7002,7002,5b5a942,634051,634385,650732,650832,16.347000,16.681000
0,4385,4385,5121941,648051,648385,655473,655573,7.088000,7.422000
0,4162,4162,5042940,672073,672399,728682,728782,56.283000,56.609000
0,4122,4122,501a941,697051,697377,743666,743766,46.289000,46.615000
0,5076,5076,53d4941,659051,659385,781187,781287,121.802000,122.136000
0,5838,5838,56ce943,762051,762385,799629,799729,37.244000,37.578000
0,4276,4276,50b4943,659051,659385,816978,817078,157.593000,157.927000
0,4466,4466,5172941,821051,821385,841507,841607,20.122000,20.456000
0,3199,3199,4c7f942,871051,871385,883238,883338,11.853000,12.187000
0,4946,4946,5352942,914051,914385,927416,927516,13.031000,13.365000
0,5053,5053,53bd940,926051,926377,934597,934697,8.220000,8.546000
0,6466,6466,5942940,926051,926377,951996,952096,25.619000,25.945000
0,5151,5151,541f940,947051,947377,958008,958108,10.631000,10.957000
0,7984,7984,5f30943,1060051,1060385,1114926,1115026,54.541000,54.875000
0,9575,9575,6567942,1126051,1126377,1145112,1145212,18.735000,19.061000
0,10225,10225,67f1941,1116484,1116818,1179907,1180007,63.089000,63.423000
0,8954,8954,62fa943,1174051,1174377,1190801,1190901,16.424000,16.750000
0,4019,4019,4fb3940,1163051,1163385,1264129,1264229,100.744000,101.078000
0,8735,8735,621f941,1326051,1326377,1410608,1410708,84.231000,84.557000
0,8903,8903,62c7941,1358051,1358385,1431241,1431341,72.856000,73.190000
0,9904,9904,66b0941,1422051,1422385,1444198,1444298,21.813000,22.147000
0,8796,8796,625c942,1398051,1398377,1456881,1456981,58.504000,58.830000
0,7991,7991,5f37941,1448173,1448499,1512860,1512960,64.361000,64.687000
0,8150,8150,5fd6941,1477051,1477377,1535750,1535850,58.373000,58.699000
0,9117,9117,639d941,1589051,1589385,1597921,1598021,8.536000,8.870000
0,10500,10500,6904943,1589051,1589385,1602743,1602843,13.358000,13.692000
0,8870,8870,62a6942,1732051,1732377,1740887,1740987,8.510000,8.836000
0,8314,8314,607a943,1789051,1789377,1810428,1810528,21.051000,21.377000
0,7435,7435,5d0b941,1908051,1908377,1925820,1925920,17.443000,17.769000
0,9933,9933,66cd942,1935051,1935377,1943985,1944085,8.608000,8.934000
1,374,374,4176940,32050,32385,48362,48462,15.977000,16.312000
1,178,178,40b2942,52051,52385,64411,64511,12.026000,12.360000
1,852,852,4354941,177216,177542,201231,201331,23.689000,24.015000
1,2869,2869,4b35942,283051,283377,311722,311822,28.345000,28.671000
1,2879,2879,4b3f943,417717,418051,430288,430388,12.237000,12.571000
1,2986,2986,4baa940,356962,357288,475925,476025,118.637000,118.963000
1,2767,2767,4acf943,472000,472334,552450,552550,80.116000,80.450000
1,1167,1167,448f941,584051,584385,603078,603178,18.693000,19.027000
1,3955,3955,4f73942,616051,616385,667319,667419,50.934000,51.268000
1,2664,2664,4a68943,685051,685377,691811,691911,6.434000,6.760000
1,5193,5193,5449941,672051,672385,707053,707153,34.668000,35.002000
1,3218,3218,4c92941,643051,643377,711851,711951,68.474000,68.800000
1,4079,4079,4fef940,707051,707385,722933,723033,15.548000,15.882000
1,3179,3179,4c6b941,679095,679429,729048,729148,49.619000,49.953000
1,2796,2796,4aec940,789051,789385,805382,805482,15.997000,16.331000
1,5137,5137,5411941,833067,833393,841673,841773,8.280000,8.606000
1,7966,7966,5f1e943,832051,832385,866452,866552,34.067000,34.401000
1,5378,5378,5502941,890051,890377,902470,902570,12.093000,12.419000
1,8057,8057,5f79940,974051,974385,982645,982745,8.260000,8.594000
1,7503,7503,5d4f941,946040,946366,1005446,1005546,59.080000,59.406000
1,5886,5886,56fe941,1053051,1053377,1099758,1099858,46.381000,46.707000
1,3541,3541,4dd5940,1063051,1063377,1104290,1104390,40.913000,41.239000
