port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
0,115,115,4073943,136051,136385,165644,165744,29.259000,29.593000
0,1351,1351,4547940,137789,138115,187454,187554,49.339000,49.665000
0,1137,1137,4471943,190051,190385,204408,204508,14.023000,14.357000
0,984,984,43d8941,206051,206385,214694,214794,8.309000,8.643000
0,1827,1827,4723943,371051,371377,389774,389874,18.397000,18.723000
0,2513,2513,49d1943,396089,396415,402968,403068,6.553000,6.879000
0,3738,3738,4e9a942,456051,456377,470020,470120,13.643000,13.969000
0,6182,6182,5826942,488947,489273,494991,495091,5.718000,6.044000
0,5191,5191,5447942,495051,495377,508448,508548,13.071000,13.397000
0,1400,1400,4578940,495051,495385,525825,525925,30.440000,30.774000
0,3671,3671,4e57943,512600,512925,533969,534069,21.044000,21.369000
0,3920,3920,4f50942,576306,576632,594026,594126,17.394000,17.720000
0,2582,2582,4a16940,600051,600377,612504,612604,12.127000,12.453000
0,5855,5855,56df942,591051,591385,618002,618102,26.617000,26.951000
0,4469,4469,5175941,598416,598742,623456,623556,24.714000,25.040000
0,3301,3301,4ce5941,587051,587377,640819,640919,53.442000,53.768000
0,2287,2287,48ef941,624424,624750,656921,657021,32.171000,32.497000
0,3053,3053,4bed940,641051,641385,662379,662479,20.994000,21.328000
0,1880,1880,4758941,699051,699377,718423,718523,19.046000,19.372000
0,2879,2879,4b3f941,696453,696779,737295,737395,40.516000,40.842000
0,5164,5164,542c941,730051,730385,783225,783325,52.840000,53.174000
0,4445,4445,515d940,798051,798385,815961,816061,17.576000,17.910000
0,7229,7229,5c3d942,847590,847924,857922,858022,9.998000,10.332000
0,2728,2728,4aa8942,853051,853377,864233,864333,10.856000,11.182000
0,3570,3570,4df2940,900051,900377,927130,927230,26.753000,27.079000
0,4261,4261,50a5942,1048051,1048385,1071671,1071771,23.286000,23.620000
0,6727,6727,5a47943,1071051,1071377,1106425,1106525,35.048000,35.374000
0,8835,8835,6283941,1084051,1084385,1129700,1129800,45.315000,45.649000
0,6805,6805,5a95943,1126051,1126377,1140817,1140917,14.440000,14.766000
0,5253,5253,5485942,1171051,1171385,1182212,1182312,10.827000,11.161000
0,6470,6470,5946940,1166051,1166385,1187728,1187828,21.343000,21.677000
0,4640,4640,5220941,1158051,1158385,1196784,1196884,38.399000,38.733000
0,7900,7900,5edc943,1206051,1206385,1214650,1214750,8.265000,8.599000
0,9075,9075,6373942,1225523,1225857,1259634,1259734,33.777000,34.111000
0,7274,7274,5c6a940,1237051,1237385,1265231,1265331,27.846000,28.180000
0,9448,9448,64e8941,1328051,1328377,1342710,1342810,14.333000,14.659000
0,4016,4016,4fb0943,1390051,1390377,1410451,1410551,20.074000,20.400000
0,9832,9832,6668943,1596051,1596385,1612561,1612661,16.176000,16.510000
0,6608,6608,59d0943,1651051,1651385,1672884,1672984,21.499000,21.833000
0,7530,7530,5d6a940,1705051,1705385,1711806,1711906,6.421000,6.755000
0,9833,9833,6669940,1729051,1729385,1742301,1742401,12.916000,13.250000
0,7546,7546,5d7a940,1736051,1736377,1747782,1747882,11.405000,11.731000
0,9516,9516,652c943,1773051,1773385,1793027,1793127,19.642000,19.976000
0,9120,9120,63a0943,1835051,1835377,1845353,1845453,9.976000,10.302000
0,7378,7378,5cd2943,1842051,1842377,1866537,1866637,24.160000,24.486000
0,7539,7539,5d73943,1952418,1952752,1967973,1968073,15.221000,15.555000
0,9513,9513,6529941,2060051,2060385,2074865,2074966,14.480000,14.814000
0,10359,10359,6877941,2125051,2125377,2132677,2132777,7.300000,7.626000
0,9572,9572,6564942,2177416,2177742,2188741,2188841,10.999000,11.325000
