port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
4,1280,1280,4500942,123051,123385,162365,162465,38.980000,39.314000
4,4064,4064,4fe0942,273932,274266,366611,366711,92.345000,92.679000
4,3008,3008,4bc0941,529051,529385,535721,535821,6.336000,6.670000
4,2912,2912,4b60941,1452417,1452751,1461391,1461491,8.640000,8.974000
5,4065,4065,4fe1942,281019,281345,373745,373845,92.400000,92.726000
5,1281,1281,4501942,129995,130321,391697,391797,261.376000,261.702000
5,3009,3009,4bc1941,535976,536302,542610,542710,6.308000,6.634000
5,2913,2913,4b61941,1459510,1459836,1468417,1468517,8.581000,8.907000
6,3232,3232,4ca0940,30051,30385,60469,60569,30.084000,30.418000
6,208,208,40d0942,86051,86385,94955,95055,8.570000,8.904000
6,1888,1888,4760941,60051,60385,137110,137210,76.725000,77.059000
6,1282,1282,4502942,136971,137305,235810,235910,98.505000,98.839000
6,5392,5392,5510942,207521,207855,284312,284412,76.457000,76.791000
6,3280,3280,4cd0941,342353,342687,360032,360132,17.345000,17.679000
6,4066,4066,4fe2942,313601,313935,473674,473774,159.739000,160.073000
6,3010,3010,4bc2941,542882,543216,549579,549679,6.363000,6.697000
6,1120,1120,4460940,687213,687547,712871,712971,25.324000,25.658000
6,4192,4192,5060943,761548,761882,802170,802270,40.288000,40.622000
6,3472,3472,4d90941,803001,803335,858081,858181,54.746000,55.080000
6,976,976,43d0941,1329196,1329530,1350743,1350843,21.213000,21.547000
6,2914,2914,4b62941,1466584,1466918,1475423,1475523,8.505000,8.839000
7,3600,3600,4e10942,29051,29385,35787,35887,6.402000,6.736000
7,1440,1440,45a0941,40051,40385,48965,49065,8.580000,8.914000
7,3233,3233,4ca1940,37015,37341,55263,55363,17.922000,18.248000
7,6096,6096,57d0942,32050,32385,66234,66334,33.849000,34.184000
7,3792,3792,4ed0943,66051,66385,88525,88625,22.140000,22.474000
7,209,209,40d1942,92962,93288,101898,101998,8.610000,8.936000
7,1889,1889,4761941,74774,75100,148387,148487,73.287000,73.613000
7,2592,2592,4a20941,93051,93385,168161,168261,74.776000,75.110000
7,1584,1584,4630941,85051,85385,174116,174216,88.731000,89.065000
7,1296,1296,4510941,166051,166385,178993,179093,12.608000,12.942000
7,5376,5376,5500940,90051,90385,183836,183936,93.451000,93.785000
7,3504,3504,4db0940,192124,192458,215536,215636,23.078000,23.412000
7,4896,4896,5320942,197051,197385,220358,220458,22.973000,23.307000
7,2784,2784,4ae0943,173051,173385,255915,256015,82.530000,82.864000
7,1283,1283,4503942,143982,144308,261688,261787,117.380000,117.706000
7,5393,5393,5511942,282238,282564,291339,291439,8.775000,9.101000
7,1968,1968,47b0940,143051,143385,315788,315888,172.403000,172.737000
7,3312,3312,4cf0941,310051,310385,320556,320656,10.171000,10.505000
7,2352,2352,4930943,310369,310703,325120,325220,14.417000,14.751000
7,3281,3281,4cd1941,352035,352361,380426,380526,28.065000,28.391000
7,5232,5232,5470940,362604,362938,412737,412837,49.799000,50.133000
7,0,0,4000943,147051,147385,418516,418616,271.131000,271.465000
7,2928,2928,4b70942,405266,405600,461621,461721,56.021000,56.355000
7,1200,1200,44b0943,378060,378394,479202,479302,100.808000,101.142000
7,4067,4067,4fe3942,375437,375763,490637,490737,114.874000,115.200000
7,3011,3011,4bc3941,549807,550133,556412,556512,6.279000,6.605000
7,1680,1680,4690940,318051,318385,586717,586817,268.332000,268.666000
7,3360,3360,4d20942,574007,574341,620862,620962,46.521000,46.855000
7,1008,1008,43f0941,456031,456365,639811,639911,183.446000,183.780000
7,6240,6240,5860940,630433,630767,659335,659435,28.568000,28.902000
7,1121,1121,4461940,710985,711311,719821,719921,8.510000,8.836000
7,5136,5136,5410941,693051,693385,735753,735853,42.368000,42.702000
7,1392,1392,4570943,745789,746123,758155,758255,12.032000,12.366000
7,4752,4752,5290943,800814,801148,822064,822164,20.916000,21.250000
7,4193,4193,5061943,781325,781651,846917,847017,65.266000,65.592000
7,2976,2976,4ba0940,857881,858215,868826,868926,10.611000,10.945000
7,3473,3473,4d91941,837815,838141,874584,874684,36.443000,36.769000
7,4320,4320,50e0942,999744,1000078,1026926,1027027,26.848000,27.182000
7,5664,5664,5620941,1021051,1021385,1044956,1045057,23.571000,23.905000
7,6000,6000,5770942,1037665,1037999,1056479,1056579,18.480000,18.814000
7,6336,6336,58c0940,1060728,1061062,1075746,1075846,14.684000,15.018000
7,5712,5712,5650942,1055953,1056287,1089629,1089729,33.342000,33.676000
7,6384,6384,58f0941,1238335,1238669,1257019,1257119,18.350000,18.684000
7,977,977,43d1941,1336208,1336534,1344964,1345064,8.430000,8.756000
7,2915,2915,4b63941,1473533,1473859,1482326,1482426,8.467000,8.793000
8,6097,6097,57d1942,39015,39341,47868,47968,8.527000,8.853000
8,3601,3601,4e11942,36015,36341,52359,52459,16.018000,16.344000
8,3234,3234,4ca2940,44030,44364,57196,57296,12.832000,13.166000
8,1441,1441,45a1941,46976,47302,80200,80300,32.898000,33.224000
8,5377,5377,5501940,97028,97354,105620,105720,8.266000,8.592000
8,3793,3793,4ed1943,73014,73340,114787,114887,41.447000,41.773000
8,1890,1890,4762941,89929,90263,126282,126382,36.019000,36.353000
8,2593,2593,4a21941,115288,115614,130772,130873,15.158000,15.484000
8,1585,1585,4631941,108322,108648,141245,141345,32.597000,32.923000
8,210,210,40d2942,99938,100272,145776,145876,45.504000,45.838000
8,1,1,4001943,153950,154276,160930,161030,6.654000,6.980000
8,1297,1297,4511941,172990,173316,203571,203671,30.255000,30.581000
8,2785,2785,4ae1943,202364,202690,209192,209292,6.502000,6.828000
8,1969,1969,47b1940,150055,150381,218805,218905,68.424000,68.750000
8,1284,1284,4504942,151075,151409,232325,232425,80.916000,81.250000
8,4897,4897,5321942,204015,204341,243720,243820,39.379000,39.705000
8,3505,3505,4db1940,213867,214193,264839,264939,50.646000,50.972000
8,5394,5394,5512942,289307,289641,314547,314647,24.906000,25.240000
8,3313,3313,4cf1941,317060,317386,335839,335939,18.453000,18.779000
8,2353,2353,4931943,320305,320631,357779,357879,37.148000,37.474000
8,3282,3282,4cd2941,359097,359431,367745,367845,8.314000,8.648000
8,5233,5233,5471940,397311,397637,421902,422002,24.265000,24.591000
8,1201,1201,44b1943,435878,436204,466058,466158,29.854000,30.180000
8,2929,2929,4b71942,412259,412585,507276,507376,94.691000,95.017000
8,1681,1681,4691940,324986,325312,515577,515677,190.265000,190.591000
8,4068,4068,4fe4942,449089,449423,538449,538549,89.026000,89.360000
8,1009,1009,43f1941,509110,509436,551420,551520,41.984000,42.310000
8,3012,3012,4bc4941,556713,557047,568897,568997,11.850000,12.184000
8,3361,3361,4d21942,601571,601897,624410,624510,22.513000,22.839000
8,5137,5137,5411941,700202,700528,706739,706839,6.211000,6.537000
8,6241,6241,5861940,657705,658031,726721,726821,68.690000,69.016000
8,1122,1122,4462940,717936,718270,744558,744658,26.288000,26.622000
8,1393,1393,4571943,752827,753153,759414,759514,6.261000,6.587000
8,4753,4753,5291943,807848,808174,825705,825805,17.531000,17.857000
8,4194,4194,5062943,807240,807574,830238,830338,22.664000,22.998000
8,3474,3474,4d92941,863369,863703,880359,880459,16.656000,16.990000
8,2977,2977,4ba1940,869109,869435,886142,886242,16.707000,17.033000
8,4321,4321,50e1942,1014126,1014452,1020865,1020965,6.413000,6.739000
8,5665,5665,5621941,1027975,1028301,1037714,1037814,9.413000,9.739000
8,6001,6001,5771942,1053889,1054215,1066099,1066199,11.884000,12.210000
8,5713,5713,5651942,1062985,1063311,1071619,1071719,8.308000,8.634000
8,6337,6337,58c1940,1075982,1076308,1106176,1106276,29.868000,30.194000
8,6385,6385,58f1941,1245335,1245661,1254336,1254436,8.675000,9.001000
8,978,978,43d2941,1343188,1343522,1360096,1360196,16.574000,16.908000
8,2916,2916,4b64941,1480513,1480847,1492954,1493054,12.107000,12.441000
9,3235,3235,4ca3940,50994,51320,68682,68782,17.362000,17.688000
9,211,211,40d3942,106881,107207,157259,157359,50.052000,50.378000
9,1891,1891,4763941,104004,104330,215042,215142,110.712000,111.038000
9,1285,1285,4505942,158080,158406,239268,239368,80.862000,81.188000
9,5395,5395,5513942,296292,296618,321039,321139,24.421000,24.747000
9,3283,3283,4cd3941,366133,366459,374760,374860,8.301000,8.627000
9,4069,4069,4fe5942,463291,463617,549810,549910,86.193000,86.519000
9,3013,3013,4bc5941,563638,563964,575975,576075,12.011000,12.337000
9,4195,4195,5063943,816650,816976,835832,835932,18.856000,19.182000
9,3475,3475,4d93941,870437,870763,891938,892038,21.175000,21.501000
9,1123,1123,4463940,724905,725231,972673,972773,247.442000,247.768000
9,979,979,43d3941,1350198,1350524,1364509,1364609,13.985000,14.311000
9,2917,2917,4b65941,1487462,1487788,1500008,1500108,12.220000,12.546000
10,1286,1286,4506942,237297,237631,260059,260159,22.428000,22.762000
10,4070,4070,4fe6942,502870,503204,567365,567465,64.161000,64.495000
10,3014,3014,4bc6941,570677,571011,583033,583133,12.022000,12.356000
10,2918,2918,4b66941,1494442,1494776,1506980,1507080,12.204000,12.538000
11,1287,1287,4507942,245136,245462,273527,273627,28.065000,28.391000
11,4071,4071,4fe7942,549116,549442,578562,578662,29.120000,29.446000
11,3015,3015,4bc7941,577736,578062,590162,590262,12.100000,12.426000
11,2919,2919,4b67941,1501435,1501761,1514019,1514119,12.258000,12.584000
20,80,80,4050943,42051,42385,48719,48819,6.334000,6.668000
20,848,848,4350942,85051,85385,105737,105837,20.352000,20.686000
