port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
4,101,101,4065962,680051,680385,692327,692427,11.942000,12.276000
4,68,68,4044960,725051,725385,733836,733936,8.451000,8.785000
4,194,194,40c2963,1332051,1332385,1338814,1338914,6.429000,6.763000
4,182,182,40b6961,3451051,3451377,3457649,3457749,6.272000,6.598000
4,275,275,4113960,3535051,3535385,3547315,3547415,11.930000,12.264000
4,311,311,4137960,3628051,3628377,3636776,3636876,8.399000,8.725000
4,332,332,414c961,3653051,3653377,3661824,3661924,8.447000,8.773000
5,101,101,4065962,680051,680385,692327,692427,11.942000,12.276000
5,68,68,4044960,725051,725385,733836,733936,8.451000,8.785000
5,194,194,40c2963,1332051,1332385,1338814,1338914,6.429000,6.763000
5,182,182,40b6961,3451051,3451377,3457649,3457749,6.272000,6.598000
5,275,275,4113960,3535051,3535385,3547315,3547415,11.930000,12.264000
5,311,311,4137960,3628051,3628377,3636776,3636876,8.399000,8.725000
5,332,332,414c961,3653051,3653377,3661824,3661924,8.447000,8.773000
6,70,70,4046961,294051,294385,302942,303042,8.557000,8.891000
6,101,101,4065962,680051,680385,692276,692376,11.891000,12.225000
6,68,68,4044960,725051,725385,733835,733935,8.450000,8.784000
6,241,241,40f1963,1063051,1063377,1071941,1072041,8.564000,8.890000
6,232,232,40e8962,1113051,1113377,1124149,1124249,10.772000,11.098000
6,194,194,40c2963,1332051,1332385,1338770,1338870,6.385000,6.719000
6,40,40,4028962,1456051,1456385,1464960,1465060,8.575000,8.909000
6,385,385,4181963,1664051,1664385,1672946,1673046,8.561000,8.895000
6,10,10,400a960,1993051,1993385,1999674,1999774,6.289000,6.623000
6,250,250,40fa962,2728051,2728385,2736803,2736903,8.418000,8.752000
6,182,182,40b6961,3451051,3451377,3457680,3457780,6.303000,6.629000
6,275,275,4113960,3535051,3535385,3547311,3547411,11.926000,12.260000
6,311,311,4137960,3628051,3628377,3636820,3636920,8.443000,8.769000
6,332,332,414c961,3653051,3653377,3661791,3661891,8.414000,8.740000
6,322,322,4142962,5155051,5155377,5167368,5167468,11.991000,12.317000
7,306,306,4132960,142051,142385,154705,154805,12.320000,12.654000
7,70,70,4046961,294051,294385,302943,303043,8.558000,8.892000
7,99,99,4063962,379051,379385,383362,383462,3.977000,4.311000
7,126,126,407e961,405051,405385,417345,417445,11.960000,12.294000
7,101,101,4065962,680051,680385,692326,692426,11.941000,12.275000
7,68,68,4044960,725051,725385,733860,733960,8.475000,8.809000
7,294,294,4126962,730051,730377,738255,738355,7.878000,8.204000
7,108,108,406c962,793051,793385,801827,801927,8.442000,8.776000
7,183,183,40b7962,856051,856385,864950,865050,8.565000,8.899000
7,186,186,40ba962,885051,885385,902460,902560,17.075000,17.409000
7,66,66,4042961,896051,896385,909562,909662,13.177000,13.511000
7,270,270,410e961,1052051,1052385,1064338,1064438,11.953000,12.287000
7,241,241,40f1963,1063051,1063377,1071940,1072040,8.563000,8.889000
7,81,81,4051961,1067051,1067385,1077675,1077775,10.290000,10.624000
7,42,42,402a962,1077051,1077385,1089399,1089499,12.014000,12.348000
7,232,232,40e8962,1113051,1113377,1124150,1124250,10.773000,11.099000
7,114,114,4072962,1175051,1175377,1183841,1183941,8.464000,8.790000
7,231,231,40e7963,1261051,1261385,1273386,1273486,12.001000,12.335000
7,194,194,40c2963,1332051,1332385,1338821,1338921,6.436000,6.770000
7,24,24,4018962,1335051,1335385,1344567,1344667,9.182000,9.516000
7,40,40,4028962,1456051,1456385,1464960,1465060,8.575000,8.909000
7,339,339,4153961,1482051,1482385,1490954,1491054,8.569000,8.903000
7,243,243,40f3961,1495051,1495377,1507397,1507497,12.020000,12.346000
7,393,393,4189962,1580051,1580385,1592383,1592483,11.998000,12.332000
7,385,385,4181963,1664051,1664385,1672997,1673097,8.612000,8.946000
7,258,258,4102963,1668051,1668377,1680371,1680471,11.994000,12.320000
7,207,207,40cf960,1928051,1928377,1940275,1940375,11.898000,12.224000
7,285,285,411d961,1977051,1977377,1989334,1989434,11.957000,12.283000
7,10,10,400a960,1993051,1993385,1999674,1999774,6.289000,6.623000
7,195,195,40c3962,2142051,2142377,2154373,2154473,11.996000,12.322000
7,387,387,4183962,2306051,2306377,2310367,2310467,3.990000,4.316000
7,378,378,417a960,2309051,2309385,2317823,2317923,8.438000,8.772000
7,282,282,411a961,2598051,2598385,2606879,2606979,8.494000,8.828000
7,250,250,40fa962,2728051,2728385,2736877,2736977,8.492000,8.826000
7,300,300,412c961,3134051,3134377,3142967,3143067,8.590000,8.916000
7,51,51,4033962,3423051,3423385,3435362,3435462,11.977000,12.311000
7,182,182,40b6961,3451051,3451377,3457728,3457828,6.351000,6.677000
7,275,275,4113960,3535051,3535385,3547333,3547433,11.948000,12.282000
7,198,198,40c6960,3550051,3550377,3558909,3559009,8.532000,8.858000
7,311,311,4137960,3628051,3628377,3636843,3636943,8.466000,8.792000
7,332,332,414c961,3653051,3653377,3661838,3661938,8.461000,8.787000
7,336,336,4150960,3903051,3903385,3909723,3909823,6.338000,6.672000
7,237,237,40ed962,4200051,4200385,4212395,4212495,12.010000,12.344000
7,322,322,4142962,5155051,5155377,5167391,5167491,12.014000,12.340000
7,360,360,4168963,5809051,5809377,5817818,5817918,8.441000,8.767000
8,306,306,4132960,142051,142385,158219,158319,15.834000,16.168000
8,70,70,4046961,294051,294385,306385,306485,12.000000,12.334000
8,99,99,4063962,379051,379385,391359,391459,11.974000,12.308000
8,126,126,407e961,405051,405385,409684,409784,4.299000,4.633000
8,101,101,4065962,680051,680385,688794,688894,8.409000,8.743000
8,68,68,4044960,725051,725385,737328,737428,11.943000,12.277000
8,294,294,4126962,730051,730377,743178,743278,12.801000,13.127000
8,108,108,406c962,793051,793385,805378,805478,11.993000,12.327000
8,183,183,40b7962,856051,856385,868383,868483,11.998000,12.332000
8,186,186,40ba962,885051,885385,898932,899032,13.547000,13.881000
8,66,66,4042961,896051,896385,904933,905033,8.548000,8.882000
8,270,270,410e961,1052051,1052385,1060820,1060920,8.435000,8.769000
8,241,241,40f1963,1063051,1063377,1075425,1075525,12.048000,12.374000
8,81,81,4051961,1067051,1067385,1081316,1081416,13.931000,14.265000
8,42,42,402a962,1077051,1077385,1087074,1087174,9.689000,10.023000
8,232,232,40e8962,1113051,1113377,1125453,1125553,12.076000,12.402000
8,114,114,4072962,1175051,1175377,1187396,1187496,12.019000,12.345000
8,231,231,40e7963,1261051,1261385,1267856,1267956,6.471000,6.805000
8,194,194,40c2963,1332051,1332385,1344446,1344546,12.061000,12.395000
8,24,24,4018962,1335051,1335385,1350366,1350466,14.981000,15.315000
8,40,40,4028962,1456051,1456385,1468376,1468476,11.991000,12.325000
8,339,339,4153961,1482051,1482385,1494446,1494546,12.061000,12.395000
8,243,243,40f3961,1495051,1495377,1503857,1503957,8.480000,8.806000
8,393,393,4189962,1580051,1580385,1588880,1588980,8.495000,8.829000
8,258,258,4102963,1668051,1668377,1674813,1674913,6.436000,6.762000
8,385,385,4181963,1664051,1664385,1680612,1680712,16.227000,16.561000
8,207,207,40cf960,1928051,1928377,1936901,1937001,8.524000,8.850000
8,285,285,411d961,1977051,1977377,1985823,1985923,8.446000,8.772000
8,10,10,400a960,1993051,1993385,2009868,2009968,16.483000,16.817000
8,195,195,40c3962,2142051,2142377,2150853,2150953,8.476000,8.802000
8,387,387,4183962,2306051,2306377,2318340,2318440,11.963000,12.289000
8,378,378,417a960,2309051,2309385,2324253,2324353,14.868000,15.202000
8,282,282,411a961,2598051,2598385,2610430,2610530,12.045000,12.379000
8,250,250,40fa962,2728051,2728385,2740386,2740486,12.001000,12.335000
8,300,300,412c961,3134051,3134377,3146409,3146509,12.032000,12.358000
8,51,51,4033962,3423051,3423385,3431894,3431994,8.509000,8.843000
8,182,182,40b6961,3451051,3451377,3464710,3464810,13.333000,13.659000
8,275,275,4113960,3535051,3535385,3543864,3543964,8.479000,8.813000
8,198,198,40c6960,3550051,3550377,3562352,3562452,11.975000,12.301000
8,311,311,4137960,3628051,3628377,3640350,3640450,11.973000,12.299000
8,332,332,414c961,3653051,3653377,3665376,3665476,11.999000,12.325000
8,336,336,4150960,3903051,3903385,3915374,3915474,11.989000,12.323000
8,237,237,40ed962,4200051,4200385,4208995,4209095,8.610000,8.944000
8,322,322,4142962,5155051,5155377,5161686,5161786,6.309000,6.635000
8,360,360,4168963,5809051,5809377,5821387,5821487,12.010000,12.336000
9,70,70,4046961,294051,294385,306384,306484,11.999000,12.333000
9,101,101,4065962,680051,680385,688756,688856,8.371000,8.705000
9,68,68,4044960,725051,725385,737311,737411,11.926000,12.260000
9,241,241,40f1963,1063051,1063377,1075387,1075487,12.010000,12.336000
9,232,232,40e8962,1113051,1113377,1125436,1125536,12.059000,12.385000
9,194,194,40c2963,1332051,1332385,1344408,1344508,12.023000,12.357000
9,40,40,4028962,1456051,1456385,1468337,1468437,11.952000,12.286000
9,385,385,4181963,1664051,1664385,1680544,1680644,16.159000,16.493000
9,10,10,400a960,1993051,1993385,2009881,2009981,16.496000,16.830000
9,250,250,40fa962,2728051,2728385,2740318,2740418,11.933000,12.267000
9,182,182,40b6961,3451051,3451377,3464723,3464823,13.346000,13.672000
9,275,275,4113960,3535051,3535385,3543848,3543948,8.463000,8.797000
9,311,311,4137960,3628051,3628377,3640333,3640433,11.956000,12.282000
9,332,332,414c961,3653051,3653377,3665338,3665438,11.961000,12.287000
9,322,322,4142962,5155051,5155377,5161669,5161769,6.292000,6.618000
10,101,101,4065962,680051,680385,688807,688907,8.422000,8.756000
10,68,68,4044960,725051,725385,737312,737412,11.927000,12.261000
10,194,194,40c2963,1332051,1332385,1344406,1344506,12.021000,12.355000
10,182,182,40b6961,3451051,3451377,3464656,3464756,13.279000,13.605000
10,275,275,4113960,3535051,3535385,3543840,3543940,8.455000,8.789000
10,311,311,4137960,3628051,3628377,3640281,3640381,11.904000,12.230000
10,332,332,414c961,3653051,3653377,3665367,3665467,11.990000,12.316000
11,101,101,4065962,680051,680385,688807,688907,8.422000,8.756000
11,68,68,4044960,725051,725385,737312,737412,11.927000,12.261000
11,194,194,40c2963,1332051,1332385,1344406,1344506,12.021000,12.355000
11,182,182,40b6961,3451051,3451377,3464656,3464756,13.279000,13.605000
11,275,275,4113960,3535051,3535385,3543840,3543940,8.455000,8.789000
11,311,311,4137960,3628051,3628377,3640281,3640381,11.904000,12.230000
11,332,332,414c961,3653051,3653377,3665367,3665467,11.990000,12.316000
20,176,176,40b0963,339051,339385,347943,348043,8.558000,8.892000
20,101,101,4065962,680051,680385,692280,692380,11.895000,12.229000
20,68,68,4044960,725051,725385,733839,733939,8.454000,8.788000
20,53,53,4035961,1012051,1012385,1020760,1020860,8.375000,8.709000
20,269,269,410d962,1106051,1106377,1118315,1118415,11.938000,12.264000
20,194,194,40c2963,1332051,1332385,1338767,1338867,6.382000,6.716000
20,257,257,4101962,1679051,1679377,1687912,1688012,8.535000,8.861000
20,191,191,40bf963,1702051,1702377,1714362,1714462,11.985000,12.311000
20,308,308,4134960,1949051,1949377,1957803,1957903,8.426000,8.752000
20,182,182,40b6961,3451051,3451377,3457653,3457753,6.276000,6.602000
20,275,275,4113960,3535051,3535385,3547319,3547419,11.934000,12.268000
