record,tile,plane,local_lane,accepted_flits
lane,0,0,0,0
lane,0,0,1,0
lane,0,0,2,0
lane,0,0,3,0
lane,0,1,0,0
lane,0,1,1,0
lane,0,1,2,0
lane,0,1,3,5
lane,0,2,0,0
lane,0,2,1,0
lane,0,2,2,0
lane,0,2,3,25
lane,0,3,0,0
lane,0,3,1,0
lane,0,3,2,0
lane,0,3,3,185
lane,0,4,0,0
lane,0,4,1,0
lane,0,4,2,0
lane,0,4,3,5
lane,0,5,0,0
lane,0,5,1,0
lane,0,5,2,0
lane,0,5,3,50
lane,0,6,0,0
lane,0,6,1,0
lane,0,6,2,0
lane,0,6,3,270
lane,0,7,0,0
lane,0,7,1,0
lane,0,7,2,60
lane,0,7,3,715
lane,0,8,0,0
lane,0,8,1,0
lane,0,8,2,0
lane,0,8,3,50
lane,0,9,0,0
lane,0,9,1,0
lane,0,9,2,5
lane,0,9,3,255
lane,0,10,0,0
lane,0,10,1,0
lane,0,10,2,100
lane,0,10,3,630
lane,0,11,0,0
lane,0,11,1,20
lane,0,11,2,334
lane,0,11,3,795
lane,0,12,0,0
lane,0,12,1,0
lane,0,12,2,15
lane,0,12,3,85
lane,0,13,0,0
lane,0,13,1,10
lane,0,13,2,200
lane,0,13,3,485
lane,0,14,0,0
lane,0,14,1,50
lane,0,14,2,395
lane,0,14,3,690
lane,0,15,0,5
lane,0,15,1,150
lane,0,15,2,518
lane,0,15,3,778
tile_total,0,-1,-1,6885
lane,1,0,0,0
lane,1,0,1,0
lane,1,0,2,0
lane,1,0,3,0
lane,1,1,0,0
lane,1,1,1,0
lane,1,1,2,0
lane,1,1,3,0
lane,1,2,0,0
lane,1,2,1,0
lane,1,2,2,0
lane,1,2,3,10
lane,1,3,0,0
lane,1,3,1,0
lane,1,3,2,0
lane,1,3,3,205
lane,1,4,0,0
lane,1,4,1,0
lane,1,4,2,0
lane,1,4,3,0
lane,1,5,0,0
lane,1,5,1,0
lane,1,5,2,0
lane,1,5,3,35
lane,1,6,0,0
lane,1,6,1,0
lane,1,6,2,5
lane,1,6,3,235
lane,1,7,0,0
lane,1,7,1,0
lane,1,7,2,60
lane,1,7,3,640
lane,1,8,0,0
lane,1,8,1,0
lane,1,8,2,0
lane,1,8,3,30
lane,1,9,0,0
lane,1,9,1,0
lane,1,9,2,20
lane,1,9,3,270
lane,1,10,0,0
lane,1,10,1,0
lane,1,10,2,110
lane,1,10,3,620
lane,1,11,0,0
lane,1,11,1,25
