design,load,delivered_throughput,avg_packet_latency_ns,p95_latency_ns,pass_fail,near_lossless,case
PROP_temp256,5,0.841522,11.260089,17.145,PASS,True,sdf_TOPO-UR_n256_s202701_m5_PROP_temp256_top0.csv
PROP_temp256,20,3.005077,21.313844,55.995,PASS,True,sdf_TOPO-UR_n256_s202701_m20_PROP_temp256_top0.csv
PROP_temp256,40,5.275053,37.154955,109.388,PASS,True,sdf_TOPO-UR_n256_s202701_m40_PROP_temp256_top0.csv
PROP_temp256,80,9.966685,62.227279,206.767,FAIL,False,sdf_TOPO-UR_n256_s202701_m80_PROP_temp256_top0.csv
PROP_temp256,120,11.019846,76.505864,237.847,FAIL,False,sdf_TOPO-UR_n256_s202701_m120_PROP_temp256_top0.csv
PROP_temp256,160,16.534239,84.132953,258.189,FAIL,False,sdf_TOPO-UR_n256_s202701_m160_PROP_temp256_top0.csv
PROP_temp256,200,17.052045,88.010853,266.745,FAIL,False,sdf_TOPO-UR_n256_s202701_m200_PROP_temp256_top0.csv
PROP_temp256,280,17.011715,93.24473,279.499,FAIL,False,sdf_TOPO-UR_n256_s202701_m280_PROP_temp256_top0.csv
PROP_temp256,400,17.323565,93.990136,293.303,FAIL,False,sdf_TOPO-UR_n256_s202701_m400_PROP_temp256_top0.csv
PROP_temp256,600,17.522075,95.489248,292.648,FAIL,False,sdf_TOPO-UR_n256_s202701_m600_PROP_temp256_top0.csv
PFAT_temp256,5,0.841526,13.874355,20.714,PASS,True,sdf_TOPO-UR_n256_s202701_m5_PFAT_temp256_top0.csv
PFAT_temp256,20,3.004569,18.080968,36.926,PASS,True,sdf_TOPO-UR_n256_s202701_m20_PFAT_temp256_top0.csv
PFAT_temp256,40,5.273458,24.180096,54.791,PASS,True,sdf_TOPO-UR_n256_s202701_m40_PFAT_temp256_top0.csv
PFAT_temp256,80,9.950485,133.395438,257.37,PASS,False,sdf_TOPO-UR_n256_s202701_m80_PFAT_temp256_top0.csv
PFAT_temp256,120,10.816785,141.2277,258.609,PASS,False,sdf_TOPO-UR_n256_s202701_m120_PFAT_temp256_top0.csv
PFAT_temp256,160,10.731515,145.224608,266.811,PASS,False,sdf_TOPO-UR_n256_s202701_m160_PFAT_temp256_top0.csv
PFAT_temp256,200,10.792321,145.708175,264.221,PASS,False,sdf_TOPO-UR_n256_s202701_m200_PFAT_temp256_top0.csv
PFAT_temp256,280,10.765036,146.176253,262.918,PASS,False,sdf_TOPO-UR_n256_s202701_m280_PFAT_temp256_top0.csv
PFAT_temp256,400,10.758533,146.519963,265.637,PASS,False,sdf_TOPO-UR_n256_s202701_m400_PFAT_temp256_top0.csv
PFAT_temp256,600,10.663349,146.958311,268.114,FAIL,False,sdf_TOPO-UR_n256_s202701_m600_PFAT_temp256_top0.csv
FM256,5,0.841527,13.509626,22.259,PASS,True,sdf_TOPO-UR_n256_s202701_m5_FM256_top0.csv
FM256,20,3.005214,13.920583,23.108,PASS,True,sdf_TOPO-UR_n256_s202701_m20_FM256_top0.csv
FM256,40,5.273813,14.599392,24.737,PASS,True,sdf_TOPO-UR_n256_s202701_m40_FM256_top0.csv
FM256,80,9.94792,16.808714,31.251,PASS,True,sdf_TOPO-UR_n256_s202701_m80_FM256_top0.csv
FM256,120,10.998542,28.076173,74.542,PASS,True,sdf_TOPO-UR_n256_s202701_m120_FM256_top0.csv
FM256,160,17.031655,51.859094,161.167,PASS,True,sdf_TOPO-UR_n256_s202701_m160_FM256_top0.csv
FM256,200,18.696907,57.11264,183.741,PASS,True,sdf_TOPO-UR_n256_s202701_m200_FM256_top0.csv
FM256,280,17.783532,60.814712,204.275,PASS,True,sdf_TOPO-UR_n256_s202701_m280_FM256_top0.csv
FM256,400,18.359502,61.450537,208.185,PASS,True,sdf_TOPO-UR_n256_s202701_m400_FM256_top0.csv
FM256,600,18.352879,61.165119,199.546,PASS,True,sdf_TOPO-UR_n256_s202701_m600_FM256_top0.csv
