design,traffic,load,delivered_throughput,avg_packet_latency_ns,p95_latency_ns,pass_fail,injected_flits,delivered_flits,unexpected_flits,case
PROP_temp256,intra_tile_ur,5,0.750879,7.596854,8.079,PASS,55000,55000,0,sdf_INTRA-TILE-UR_n256_s202701_m5_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,20,3.000792,8.061164,12.81,PASS,55000,55000,0,sdf_INTRA-TILE-UR_n256_s202701_m20_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,40,5.169698,8.663886,14.381,FAIL,55000,55005,5,sdf_INTRA-TILE-UR_n256_s202701_m40_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,80,9.811259,10.044089,19.875,FAIL,55000,55020,20,sdf_INTRA-TILE-UR_n256_s202701_m80_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,120,14.061158,11.393036,24.424,FAIL,55000,55005,5,sdf_INTRA-TILE-UR_n256_s202701_m120_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,160,17.019353,12.602178,28.692,FAIL,55000,55005,5,sdf_INTRA-TILE-UR_n256_s202701_m160_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,200,19.105334,13.842575,32.618,FAIL,55000,55020,20,sdf_INTRA-TILE-UR_n256_s202701_m200_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,280,24.117708,16.161672,39.693,PASS,55000,55000,0,sdf_INTRA-TILE-UR_n256_s202701_m280_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,400,28.110816,20.208595,49.651,FAIL,55000,55010,10,sdf_INTRA-TILE-UR_n256_s202701_m400_PROP_temp256_top0.csv
PROP_temp256,intra_tile_ur,600,31.506812,22.809766,56.671,FAIL,55000,55020,20,sdf_INTRA-TILE-UR_n256_s202701_m600_PROP_temp256_top0.csv
