design,load,status,measurement_packets,packet_mean_ns,packet_p95_ns,prop_flit_rows_diagnostic,prop_flit_mean_ns_diagnostic,delivered_mflit_s_port,unexpected_flits,missing_flits,source
PROP-M16,40,FAIL,10000,15.309119,31.034,55000,14.100476618181819,20.62076171875,8,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m40_PROP_temp256_m16_top0
FlatMesh256,40,PASS,10000,14.599392,24.737,,,20.600832031249997,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m40_events.csv
PROP-M16,60,PASS,10000,18.53048,42.894,55000,17.49161421818182,31.65268359375,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m60_PROP_temp256_m16_top0
FlatMesh256,60,PASS,10000,15.495746,27.008,,,31.619484375,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m60_events.csv
PROP-M16,80,FAIL,10000,21.93104,54.979,55000,21.22005209090909,38.94078125,12,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m80_PROP_temp256_m16_top0
FlatMesh256,80,PASS,10000,16.808714,31.251,,,38.8590625,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m80_events.csv
PROP-M16,100,FAIL,10000,27.744611,73.149,55000,27.798723345454544,48.586792968750004,8,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m100_PROP_temp256_m16_top0
FlatMesh256,100,PASS,10000,19.444868,39.519,,,48.5168984375,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m100_events.csv
PROP-M16,120,FAIL,10000,34.302702,94.422,55000,36.23109792727273,43.04799609375,8,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m120_PROP_temp256_m16_top0
FlatMesh256,120,PASS,10000,28.076173,74.542,,,42.963054687500005,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m120_events.csv
PROP-M16,140,FAIL,10000,41.036809,113.481,55000,45.78934772727273,62.1283984375,8,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m140_PROP_temp256_m16_top0
FlatMesh256,140,PASS,10000,41.171121,121.531,,,62.012503906250004,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m140_events.csv
PROP-M16,160,FAIL,10000,53.018454,151.539,55000,66.88197354545454,66.7884140625,12,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m160_PROP_temp256_m16_top0
FlatMesh256,160,PASS,10000,51.859094,161.167,,,66.52990234375,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m160_events.csv
PROP-M16,180,FAIL,10000,60.685326,165.094,55000,89.58078001818181,70.52603515625,4,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m180_PROP_temp256_m16_top0
FlatMesh256,180,PASS,10000,55.820003,184.403,,,70.43062109375,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m180_events.csv
PROP-M16,200,FAIL,10000,69.204297,189.549,55000,117.53022752727273,73.29007812500001,20,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m200_PROP_temp256_m16_top0
FlatMesh256,200,PASS,10000,57.11264,183.741,,,73.03479296875,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m200_events.csv
PROP-M16,240,FAIL,10000,74.180459,198.575,55000,163.0062132181818,83.40351953125,12,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m240_PROP_temp256_m16_top0
FlatMesh256,240,PASS,10000,60.412034,202.631,,,70.2565,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m240_events.csv
PROP-M16,280,FAIL,10000,79.357479,207.537,55000,225.27538734545453,86.41315625,20,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m280_PROP_temp256_m16_top0
FlatMesh256,280,PASS,10000,60.814712,204.275,,,69.466921875,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m280_events.csv
PROP-M16,320,FAIL,10000,85.145284,225.979,55000,278.99046005454545,87.95512890625,16,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m320_PROP_temp256_m16_top0
FlatMesh256,320,PASS,10000,61.028346,199.678,,,71.25663671875,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m320_events.csv
PROP-M16,400,FAIL,10000,85.6281,224.119,55000,327.3336592909091,88.27048046875,12,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\prop_temp256_m16_unique_20260917_193541\cases\TOPO-UR_n256_s202701_m400_PROP_temp256_m16_top0
FlatMesh256,400,PASS,10000,61.450537,208.185,,,71.7168046875,0,0,D:\NoC\asynchronous_fat_tree_multicast\DATE paper\experiments\raw\paper256\m16_vs_fm256_flit_compare_20260917\fm_m400_events.csv
