design,design_label,load_setpoint_mflit_per_port_s,injected_flits,delivered_flits,missing,unexpected,timeout,offered_mflit_per_port_s,delivered_mflit_per_port_s,backlog,flit_latency_mean_ns,sdf_total_errors,case
FM64,FlatMesh64 DEL150,5,55000,55000,0,0,0,3.672047,3.67168,4,7.35,0,TOPO-UR_n64_s202701_m5_FM64_top0
FM64,FlatMesh64 DEL150,10,55000,55000,0,0,0,6.823978,6.823296,4,7.421,0,TOPO-UR_n64_s202701_m10_FM64_top0
FM64,FlatMesh64 DEL150,20,55000,55000,0,0,0,14.846452,14.844967,4,7.568,0,TOPO-UR_n64_s202701_m20_FM64_top0
FM64,FlatMesh64 DEL150,40,55000,55000,0,0,0,31.804674,31.801493,4,7.9,0,TOPO-UR_n64_s202701_m40_FM64_top0
FM64,FlatMesh64 DEL150,60,55000,55000,0,0,0,44.740007,44.735533,4,8.257,0,TOPO-UR_n64_s202701_m60_FM64_top0
FM64,FlatMesh64 DEL150,80,55000,55000,0,0,0,58.398116,58.392276,4,8.653,0,TOPO-UR_n64_s202701_m80_FM64_top0
FM64,FlatMesh64 DEL150,100,55000,55000,0,0,0,75.731873,75.7243,4,9.16,0,TOPO-UR_n64_s202701_m100_FM64_top0
FM64,FlatMesh64 DEL150,120,55000,55000,0,0,0,86.892448,86.883759,4,9.825,0,TOPO-UR_n64_s202701_m120_FM64_top0
FM64,FlatMesh64 DEL150,140,55000,55000,0,0,0,102.660972,102.650706,4,10.529,0,TOPO-UR_n64_s202701_m140_FM64_top0
FM64,FlatMesh64 DEL150,160,55000,55000,0,0,0,127.03252,127.019817,4,11.889,0,TOPO-UR_n64_s202701_m160_FM64_top0
FM64,FlatMesh64 DEL150,180,55000,55000,0,0,0,144.568838,144.554381,4,12.988,0,TOPO-UR_n64_s202701_m180_FM64_top0
FM64,FlatMesh64 DEL150,200,55000,55000,0,0,0,153.607943,153.555717,5,15.026,0,TOPO-UR_n64_s202701_m200_FM64_top0
PFAT64,PFAT64 1-2-4-8 DEL050,5,55000,55000,0,0,0,3.672047,3.67168,4,7.442,0,TOPO-UR_n64_s202701_m5_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,10,55000,55000,0,0,0,6.823978,6.823296,4,7.569,0,TOPO-UR_n64_s202701_m10_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,20,55000,55000,0,0,0,14.846452,14.844967,4,7.838,0,TOPO-UR_n64_s202701_m20_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,40,55000,55000,0,0,0,31.804674,31.801493,4,8.559,0,TOPO-UR_n64_s202701_m40_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,60,55000,55000,0,0,0,44.740007,44.735533,4,9.427,0,TOPO-UR_n64_s202701_m60_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,80,55000,55000,0,0,0,58.398116,58.392276,4,10.412,0,TOPO-UR_n64_s202701_m80_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,100,55000,55000,0,0,0,75.731873,75.7243,4,12.039,0,TOPO-UR_n64_s202701_m100_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,120,55000,55000,0,0,0,86.892448,86.883759,4,15.111,0,TOPO-UR_n64_s202701_m120_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,140,55000,55000,0,0,0,102.660972,102.650706,4,30.95,0,TOPO-UR_n64_s202701_m140_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,160,55000,55000,0,0,0,127.03252,127.019817,4,292.864,0,TOPO-UR_n64_s202701_m160_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,180,55000,55000,0,0,0,144.568838,137.782777,2188,536.011,0,TOPO-UR_n64_s202701_m180_PFAT64_top8
PFAT64,PFAT64 1-2-4-8 DEL050,200,55000,55000,0,0,0,153.607943,136.001401,5415,760.247,0,TOPO-UR_n64_s202701_m200_PFAT64_top8
