design,design_label,netlist_run_id,gls_run_id,load_setpoint_mflit_per_port_s,injected_flits,delivered_flits,missing,unexpected,timeout,offered_mflit_per_port_s,delivered_mflit_per_port_s,backlog,flit_latency_mean_ns,flit_latency_p50_ns,flit_latency_p95_ns,flit_latency_p99_ns,pass_fail,case
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,5,55000,55000,0,0,0,3.672047,3.67168,4,7.350208,7.0,12.2,14.0,PASS,TOPO-UR_n64_s202701_m5_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,10,55000,55000,0,0,0,6.823978,6.823296,4,7.421213,7.0,12.2,14.1,PASS,TOPO-UR_n64_s202701_m10_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,20,55000,55000,0,0,0,14.846452,14.844967,4,7.567908,7.1,12.4,15.0,PASS,TOPO-UR_n64_s202701_m20_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,40,55000,55000,0,0,0,31.804674,31.801493,4,7.900176,7.7,13.4,16.8,PASS,TOPO-UR_n64_s202701_m40_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,60,55000,55000,0,0,0,44.740007,44.735533,4,8.256786,7.8,14.4,18.5,PASS,TOPO-UR_n64_s202701_m60_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,80,55000,55000,0,0,0,58.398116,58.392276,4,8.652514,7.9,15.6,20.7,PASS,TOPO-UR_n64_s202701_m80_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,100,55000,55000,0,0,0,75.731873,75.7243,4,9.1596,8.6,17.2,23.5,PASS,TOPO-UR_n64_s202701_m100_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,120,55000,55000,0,0,0,86.892448,86.883759,4,9.825034,8.7,19.3,26.9,PASS,TOPO-UR_n64_s202701_m120_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,140,55000,55000,0,0,0,102.660972,102.650706,4,10.528879,9.3,21.4,31.3,PASS,TOPO-UR_n64_s202701_m140_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,160,55000,55000,0,0,0,127.03252,127.019817,4,11.889458,10.1,25.7,40.5,PASS,TOPO-UR_n64_s202701_m160_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,180,55000,55000,0,0,0,144.568838,144.554381,4,12.988373,10.7,29.4,44.0,PASS,TOPO-UR_n64_s202701_m180_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,200,55000,55000,0,0,0,153.607943,153.555717,5,15.026315,11.9,36.5,57.2,PASS,TOPO-UR_n64_s202701_m200_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,220,55000,55000,0,0,0,168.518119,168.484415,7,20.851154,14.3,58.7,117.0,PASS,TOPO-UR_n64_s202701_m220_FM64_top0
