source_run_id,scheme,fanout,load,offered_transactions,completed_transactions,useful_delivery_rate,mean_completion_latency,p95_completion_latency,p99_completion_latency,injected_flits,link_traversals,backlog,completed_count,measurement_transactions,trace_sha256,case,sdf_pass,full_drain_pass,censored,medium_near_lossless,acceptance
20260914_prop_temp64_mc_fanout_m5,native,2,5,0.40549095742189234,0.40549095742189234,0.8109819148437847,8.32758499999979,10.233999999999696,14.152999999999793,2000,8295,0,400,400,af14c52ba7a7ac086c6c395651814af437abc1820284bce9cd0f98b569f9e887,MC-REGION-F2_n64_s202701_m5_PROP_temp64_top16,True,True,False,False,PASS
20260914_prop_temp64_mc_fanout_m5,source_repeated_unicast,2,5,0.40531069853580376,0.40531069853580376,0.8106213970716075,15.590372499999804,20.153999999999996,25.93399999999974,4000,14250,0,400,400,af14c52ba7a7ac086c6c395651814af437abc1820284bce9cd0f98b569f9e887,MC-REGION-F2_n64_s202701_m5_source_repeated_unicast_top16,True,True,False,False,PASS
20260914_prop_temp64_mc_f32_probe_m5,native,32,5,0.40827039545789057,0.40827039545789057,13.064652654652498,9.466347499999795,13.346999999999753,17.960999999999785,2000,27580,0,400,400,45fd004e9893bcf85ea831a70f98ec21dd57caad142b5b111b0d4229b4988f66,MC-REGION-F32_n64_s202701_m5_PROP_temp64_top16,True,True,False,False,PASS
20260914_prop_temp64_mc_f32_probe_m5,source_repeated_unicast,32,5,0.4026163232639313,0.4026163232639313,12.883722344445802,402.35863499999977,775.3489999999997,1062.359,64000,239780,0,400,400,45fd004e9893bcf85ea831a70f98ec21dd57caad142b5b111b0d4229b4988f66,MC-REGION-F32_n64_s202701_m5_source_repeated_unicast_top16,True,True,False,False,PASS
20260914_prop_temp64_mc_f16_main,native,16,5,0.344666900121047,0.344666900121047,5.514670401936752,9.239907499999815,13.192000000000007,17.085000000000036,2000,19225,0,400,400,0e608d47443eea5143193cb974979f495e3abcfdfff4ccee88b3bb7102761b7e,MC-REGION-F16_n64_s202701_m5_PROP_temp64_top16,True,True,False,False,PASS
20260914_prop_temp64_mc_f16_main,source_repeated_unicast,16,5,0.3426989013457046,0.3426989013457046,5.483182421531273,148.60242249999976,248.7489999999998,327.0069999999996,32000,116540,0,400,400,0e608d47443eea5143193cb974979f495e3abcfdfff4ccee88b3bb7102761b7e,MC-REGION-F16_n64_s202701_m5_source_repeated_unicast_top16,True,True,False,False,PASS
20260914_prop_temp64_mc_f16_main,native,16,20,1.3041308187187217,1.3041308187187217,20.866093099499547,14.26761999999998,31.06600000000003,48.61200000000008,2000,19225,0,400,400,c6666428c05005b8fe1e8ba630a3c4acb6edd1f8af3021e8c891981be8b45018,MC-REGION-F16_n64_s202701_m20_PROP_temp64_top16,True,True,False,True,PASS
20260914_prop_temp64_mc_f16_main,source_repeated_unicast,16,20,1.2602595207061646,1.2602595207061646,20.164152331298634,287.7258475,630.5640000000001,833.9100000000001,32000,116540,0,400,400,c6666428c05005b8fe1e8ba630a3c4acb6edd1f8af3021e8c891981be8b45018,MC-REGION-F16_n64_s202701_m20_source_repeated_unicast_top16,True,True,False,True,PASS
20260914_prop_temp64_mc_f16_knee_mid,native,16,60,3.9898319929625745,3.9898319929625745,63.83731188740119,192.239255,496.601,633.977,2000,19225,0,400,400,f92443c71d846158c4340c896e1b14de96ccd257e8fa4e714bc0d863c14867fb,MC-REGION-F16_n64_s202701_m60_PROP_temp64_top16,True,True,True,False,PASS
20260914_prop_temp64_mc_f16_knee_mid,source_repeated_unicast,16,60,2.2656690955847725,2.2656690955847725,36.25070552935636,737.5550225000001,1265.6290000000001,1477.78,32000,116540,0,400,400,f92443c71d846158c4340c896e1b14de96ccd257e8fa4e714bc0d863c14867fb,MC-REGION-F16_n64_s202701_m60_source_repeated_unicast_top16,True,True,True,False,PASS
