load,offered,delivered,mean_latency,p95,p99,backlog
5,3.672047,3.671680,7.350208,12.200000,14.000000,4
10,6.823978,6.823296,7.421213,12.200000,14.100000,4
20,14.846452,14.844967,7.567908,12.400000,15.000000,4
40,31.804674,31.801493,7.900176,13.400000,16.800000,4
60,44.740007,44.735533,8.256786,14.400000,18.500000,4
80,58.398116,58.392276,8.652514,15.600000,20.700000,4
100,75.731873,75.724300,9.159600,17.200000,23.500000,4
120,86.892448,86.883759,9.825034,19.300000,26.900000,4
140,102.660972,102.650706,10.528879,21.400000,31.300000,4
160,127.032520,127.019817,11.889458,25.700000,40.500000,4
180,144.568838,144.554381,12.988373,29.400000,44.000000,4
200,153.607943,153.555717,15.026315,36.500000,57.200000,5
220,168.518119,168.484415,20.851154,58.700000,117.000000,7
240,177.315025,177.297293,32.696135,104.700000,252.200000,4
260,204.141625,204.121211,86.805593,361.300000,764.900000,4
280,199.247641,199.227716,203.843186,791.700000,1118.500000,4
300,226.383657,222.376666,248.133793,846.200000,1259.900000,843
320,236.384266,228.578858,336.830861,1056.200000,1323.200000,1568
340,230.729474,225.524217,453.578436,1275.600000,1641.400000,1069
360,266.729259,239.005420,430.289767,1223.900000,1433.200000,4963
380,276.646601,234.087288,473.751568,1239.800000,1438.700000,7413
400,289.030707,230.866167,519.747382,1355.100000,1513.700000,9695
420,302.224371,230.699952,530.270030,1313.400000,1550.900000,11432
440,346.298759,230.330230,487.519350,1189.600000,1434.100000,16281
460,335.012864,229.993032,535.080498,1269.300000,1452.200000,15256
480,350.650808,230.503815,525.803062,1240.100000,1456.400000,16671
500,369.910038,229.137074,506.066765,1163.000000,1381.200000,18506
600,422.983216,222.277680,573.752567,1156.500000,1335.200000,23233
700,547.477225,212.760599,511.265825,964.300000,1121.600000,30026
800,604.215004,204.538863,507.236230,909.400000,1017.700000,32545
