load,offered,delivered,mean_latency,p95,p99,backlog
5,3.672047,3.671680,6.207812,8.400000,12.100000,4
10,6.823978,6.823296,6.381550,9.500000,13.300000,4
20,14.846452,14.844967,6.733257,11.500000,15.200000,4
40,31.804674,31.801493,7.539986,14.300000,19.800000,4
60,44.740007,44.735533,8.361121,16.800000,23.500000,4
80,58.398116,58.392276,9.243171,20.200000,29.900000,4
100,75.731873,75.724300,10.325957,23.900000,35.300000,4
120,86.892448,86.883759,11.343857,26.900000,41.000000,4
140,102.660972,102.650706,12.033580,29.000000,44.400000,4
160,127.032520,127.019817,14.097892,36.900000,57.300000,4
180,144.568838,144.554381,14.763983,37.300000,58.100000,4
200,153.607943,153.558789,15.725417,40.600000,61.200000,8
220,168.518119,168.484415,17.792478,48.400000,76.600000,7
240,177.315025,177.297293,20.440244,54.600000,86.900000,4
260,204.141625,204.121211,21.799103,59.500000,96.900000,4
280,199.247641,199.227716,24.907749,67.300000,102.700000,4
300,226.383657,226.361019,28.379801,74.900000,113.500000,4
320,236.384266,236.360628,33.723324,94.800000,144.100000,4
340,230.729474,230.706401,38.720616,109.200000,165.300000,4
360,266.729259,266.702586,54.103523,158.300000,261.700000,4
380,276.646601,276.591271,50.393509,133.500000,182.900000,6
400,289.030707,288.926656,80.918216,243.400000,345.300000,17
420,302.224371,302.194149,95.069290,267.900000,357.000000,4
440,346.298759,345.474568,134.861465,336.600000,468.300000,97
460,335.012864,334.490244,183.326343,445.400000,573.000000,72
480,350.650808,348.974697,187.201651,419.000000,567.300000,208
500,369.910038,362.844756,204.511665,512.900000,616.500000,835
600,422.983216,379.195994,324.753144,645.400000,744.000000,4776
700,547.477225,370.532586,346.453261,628.200000,702.700000,15601
800,604.215004,355.858469,376.233479,664.900000,756.700000,19978
