scheme,fanout,load,offered_transactions,completed_transactions,useful_delivery_rate,mean_completion_latency,p95_completion_latency,p99_completion_latency,injected_flits,link_traversals,backlog,completed_count,trace_sha256,case
native,16,5,0.34480856228621865,0.3439465408805031,5.503144654088049,9.239907499999815,13.192000000000007,17.085000000000036,1996,19197,1,399,0e608d47443eea5143193cb974979f495e3abcfdfff4ccee88b3bb7102761b7e,MC-REGION-F16_n64_s202701_m5_PROP_temp64_top16
source_repeated_unicast,16,5,0.34480856228621865,0.3439465408805031,5.503144654088049,148.60242249999976,248.7489999999998,327.0069999999996,31921,116224,1,399,0e608d47443eea5143193cb974979f495e3abcfdfff4ccee88b3bb7102761b7e,MC-REGION-F16_n64_s202701_m5_source_repeated_unicast_top16
native,16,10,0.8289124668435012,0.8268401856763925,13.22944297082228,10.772099999999899,18.159000000000106,22.562999999999647,1996,19185,1,399,68e7fe5e6aca19a1839404f42c75ca75b6407b84113b0076d045a6d5a6b0eb6d,MC-REGION-F16_n64_s202701_m10_PROP_temp64_top16
source_repeated_unicast,16,10,0.8289124668435012,0.8247679045092837,13.2107924403183,194.18420249999988,358.15200000000004,463.4760000000001,31883,116072,2,398,68e7fe5e6aca19a1839404f42c75ca75b6407b84113b0076d045a6d5a6b0eb6d,MC-REGION-F16_n64_s202701_m10_source_repeated_unicast_top16
native,16,20,1.3061650992685474,1.3028996865203761,20.846394984326018,14.26761999999998,31.06600000000003,48.61200000000008,1996,19197,1,399,c6666428c05005b8fe1e8ba630a3c4acb6edd1f8af3021e8c891981be8b45018,MC-REGION-F16_n64_s202701_m20_PROP_temp64_top16
source_repeated_unicast,16,20,1.3061650992685474,1.2996342737722049,20.817006269592476,287.7258475,630.5640000000001,833.9100000000001,31878,116052,2,398,c6666428c05005b8fe1e8ba630a3c4acb6edd1f8af3021e8c891981be8b45018,MC-REGION-F16_n64_s202701_m20_source_repeated_unicast_top16
native,16,40,2.6550552251486828,2.6417799490229394,42.26847918436703,76.35283250000002,223.62900000000002,395.74,1996,19177,2,398,f68b6ab5193fd78d8745bfdca270ac9e02878bf99b6ef9c46e25ae07fd30a7e7,MC-REGION-F16_n64_s202701_m40_PROP_temp64_top16
source_repeated_unicast,16,40,2.6550552251486828,2.595316482582837,41.85030798640611,576.7901275,1116.2720000000002,1357.635,31557,114946,9,391,f68b6ab5193fd78d8745bfdca270ac9e02878bf99b6ef9c46e25ae07fd30a7e7,MC-REGION-F16_n64_s202701_m40_source_repeated_unicast_top16
native,16,80,5.369415807560137,5.355992268041237,85.69587628865979,279.302155,611.481,740.686,1996,19177,1,399,2f5b5a0adac31b4e3db0548c63c0c8f369d213ca0d66c708294f53a5f8e0d4e7,MC-REGION-F16_n64_s202701_m80_PROP_temp64_top16
source_repeated_unicast,16,80,5.369415807560137,2.886060996563574,51.15710910652921,839.4924875,1532.318,1741.604,19500,70898,185,215,2f5b5a0adac31b4e3db0548c63c0c8f369d213ca0d66c708294f53a5f8e0d4e7,MC-REGION-F16_n64_s202701_m80_source_repeated_unicast_top16
native,16,120,7.754342431761786,5.466811414392058,97.39454094292803,406.868425,825.534,882.028,1824,17511,118,282,32ccca64d6340c6eac855f6a01613bd45cd4c48ee537b31db69052c9d7ac4105,MC-REGION-F16_n64_s202701_m120_PROP_temp64_top16
source_repeated_unicast,16,120,7.754342431761786,2.5007754342431756,48.56156947890818,898.8333525,1582.903,1773.749,13089,47088,271,129,32ccca64d6340c6eac855f6a01613bd45cd4c48ee537b31db69052c9d7ac4105,MC-REGION-F16_n64_s202701_m120_source_repeated_unicast_top16
native,16,180,13.982102908277403,3.8101230425055927,85.6753355704698,486.27382750000004,813.05,877.761,1295,12399,291,109,46fb072667b6118fddbc55ba157e87482114e4c7701a3a79c2c259238575bc6d,MC-REGION-F16_n64_s202701_m180_PROP_temp64_top16
source_repeated_unicast,16,180,13.982102908277403,1.503076062639821,36.52824384787471,984.5005975,1853.36,2140.196,5679,20368,357,43,46fb072667b6118fddbc55ba157e87482114e4c7701a3a79c2c259238575bc6d,MC-REGION-F16_n64_s202701_m180_source_repeated_unicast_top16
native,16,260,17.655367231638415,3.8400423728813555,89.42443502824858,515.6156525,856.64,941.76,1128,10598,313,87,be772a188215cf03bbb3bf51ca8884a9d388b1a1b0f4da57909657ed815db0f2,MC-REGION-F16_n64_s202701_m260_PROP_temp64_top16
source_repeated_unicast,16,260,17.655367231638415,1.191737288135593,33.89830508474576,1027.1543775,1936.252,2163.1609999999996,4193,15204,373,27,be772a188215cf03bbb3bf51ca8884a9d388b1a1b0f4da57909657ed815db0f2,MC-REGION-F16_n64_s202701_m260_source_repeated_unicast_top16
native,16,360,26.041666666666668,3.3203125000000004,97.20052083333334,516.1388325,863.9970000000001,903.876,1060,10108,349,51,9106d442db7b473c8ed4ecccb708649b04d025f0822c1a5a4c86c37b014d4c96,MC-REGION-F16_n64_s202701_m360_PROP_temp64_top16
source_repeated_unicast,16,360,26.041666666666668,0.7812500000000001,27.539062500000004,1071.287985,1993.947,2239.8039999999996,2514,9038,388,12,9106d442db7b473c8ed4ecccb708649b04d025f0822c1a5a4c86c37b014d4c96,MC-REGION-F16_n64_s202701_m360_source_repeated_unicast_top16
native,16,500,35.51136363636363,2.3970170454545454,86.64772727272727,543.2847025,911.7160000000001,969.517,833,7918,373,27,9ed4d9da356cd7c91bf0e04dc0a49b5c62323ee321158a2bbad29d607d88177a,MC-REGION-F16_n64_s202701_m500_PROP_temp64_top16
source_repeated_unicast,16,500,35.51136363636363,0.08877840909090909,24.502840909090907,1066.7964825,1971.0290000000002,2223.4519999999998,1649,6078,399,1,9ed4d9da356cd7c91bf0e04dc0a49b5c62323ee321158a2bbad29d607d88177a,MC-REGION-F16_n64_s202701_m500_source_repeated_unicast_top16
