scheme,fanout,mean_completion_latency,link_traversals,injected_flits,useful_delivery_rate
native,2,8.32736842105242,8279,1996,0.8093437621705828
native,4,8.458298245613836,9839,1996,1.235753221010902
native,8,8.965937343358197,13565,1996,2.6722567509644235
native,16,9.241887218044926,19197,1996,5.503144654088049
native,32,9.468814536340647,27532,1996,13.038363505653225
source_repeated_unicast,2,15.591177944861958,14214,3991,0.8093437621705828
source_repeated_unicast,4,31.75351127819527,28174,7981,1.235753221010902
source_repeated_unicast,8,68.47231077694218,57084,15961,2.6722567509644235
source_repeated_unicast,16,148.69269423558873,116224,31921,5.503144654088049
source_repeated_unicast,32,402.80699248120277,239144,63841,13.038363505653225
