scheme,fanout,load,offered_transactions,completed_transactions,useful_delivery_rate,mean_completion_latency,p95_completion_latency,p99_completion_latency,injected_flits,link_traversals,backlog,completed_count,trace_sha256,case
native,2,5,0.4056860963261067,0.4046718810852914,0.8093437621705828,8.32736842105242,10.236999999999625,14.233000000000175,1996,8279,1,399,af14c52ba7a7ac086c6c395651814af437abc1820284bce9cd0f98b569f9e887,MC-REGION-F2_n64_s202701_m5_PROP_temp64_top16
source_repeated_unicast,2,5,0.4056860963261067,0.4046718810852914,0.8093437621705828,15.591177944861958,20.53899999999976,26.121999999999844,3991,14214,1,399,af14c52ba7a7ac086c6c395651814af437abc1820284bce9cd0f98b569f9e887,MC-REGION-F2_n64_s202701_m5_source_repeated_unicast_top16
native,4,5,0.3097125867195243,0.3089383052527255,1.235753221010902,8.458298245613836,11.067999999999756,14.307999999999993,1996,9839,1,399,f9cffdee9c4dbb9f4d4a3d2902fdeebb4f0cf79f1313600df6982bfecac4905c,MC-REGION-F4_n64_s202701_m5_PROP_temp64_top16
source_repeated_unicast,4,5,0.3097125867195243,0.3089383052527255,1.235753221010902,31.75351127819527,47.26900000000023,64.30299999999988,7981,28174,1,399,f9cffdee9c4dbb9f4d4a3d2902fdeebb4f0cf79f1313600df6982bfecac4905c,MC-REGION-F4_n64_s202701_m5_source_repeated_unicast_top16
native,8,5,0.3348692670381483,0.33403209387055294,2.6722567509644235,8.965937343358197,13.170000000000073,19.942999999999756,1996,13565,1,399,3bc5eeb72903976315ed949ea276ff48e0bdf3d3be515e1a62544b120773f2d3,MC-REGION-F8_n64_s202701_m5_PROP_temp64_top16
source_repeated_unicast,8,5,0.3348692670381483,0.33403209387055294,2.6722567509644235,68.47231077694218,110.6289999999999,149.60799999999983,15961,57084,1,399,3bc5eeb72903976315ed949ea276ff48e0bdf3d3be515e1a62544b120773f2d3,MC-REGION-F8_n64_s202701_m5_source_repeated_unicast_top16
native,16,5,0.34480856228621865,0.3439465408805031,5.503144654088049,9.241887218044926,13.235999999999876,17.943999999999733,1996,19197,1,399,0e608d47443eea5143193cb974979f495e3abcfdfff4ccee88b3bb7102761b7e,MC-REGION-F16_n64_s202701_m5_PROP_temp64_top16
source_repeated_unicast,16,5,0.34480856228621865,0.3439465408805031,5.503144654088049,148.69269423558873,248.8719999999994,395.9589999999998,31921,116224,1,399,0e608d47443eea5143193cb974979f495e3abcfdfff4ccee88b3bb7102761b7e,MC-REGION-F16_n64_s202701_m5_source_repeated_unicast_top16
native,32,5,0.4084700346382589,0.40744885955166327,13.038363505653225,9.468814536340647,13.38000000000011,18.19499999999971,1996,27532,1,399,45fd004e9893bcf85ea831a70f98ec21dd57caad142b5b111b0d4229b4988f66,MC-REGION-F32_n64_s202701_m5_PROP_temp64_top16
source_repeated_unicast,32,5,0.4084700346382589,0.40744885955166327,13.038363505653225,402.80699248120277,780.6599999999999,1121.1229999999996,63841,239144,1,399,45fd004e9893bcf85ea831a70f98ec21dd57caad142b5b111b0d4229b4988f66,MC-REGION-F32_n64_s202701_m5_source_repeated_unicast_top16
