scheme,fanout,load,offered_transactions,completed_transactions,useful_delivery_rate,mean_completion_latency,p95_completion_latency,p99_completion_latency,injected_flits,link_traversals,backlog,completed_count,trace_sha256,case
native,16,5,0.34480856228621865,0.3439465408805031,5.503144654088049,9.241887218044926,13.235999999999876,17.943999999999733,1996,19197,1,399,0e608d47443eea5143193cb974979f495e3abcfdfff4ccee88b3bb7102761b7e,MC-REGION-F16_n64_s202701_m5_PROP_temp64_top16
source_repeated_unicast,16,5,0.34480856228621865,0.3439465408805031,5.503144654088049,148.69269423558873,248.8719999999994,395.9589999999998,31921,116224,1,399,0e608d47443eea5143193cb974979f495e3abcfdfff4ccee88b3bb7102761b7e,MC-REGION-F16_n64_s202701_m5_source_repeated_unicast_top16
native,16,10,0.8289124668435012,0.8268401856763925,13.22944297082228,10.77792230576431,18.269000000000005,23.277000000000044,1996,19185,1,399,68e7fe5e6aca19a1839404f42c75ca75b6407b84113b0076d045a6d5a6b0eb6d,MC-REGION-F16_n64_s202701_m10_PROP_temp64_top16
source_repeated_unicast,16,10,0.8289124668435012,0.8247679045092837,13.2107924403183,194.59790452261296,358.81799999999976,493.58000000000004,31883,116072,2,398,68e7fe5e6aca19a1839404f42c75ca75b6407b84113b0076d045a6d5a6b0eb6d,MC-REGION-F16_n64_s202701_m10_source_repeated_unicast_top16
native,16,20,1.3061650992685474,1.3028996865203761,20.846394984326018,14.282165413533814,31.086000000000013,49.624000000000024,1996,19197,1,399,c6666428c05005b8fe1e8ba630a3c4acb6edd1f8af3021e8c891981be8b45018,MC-REGION-F16_n64_s202701_m20_PROP_temp64_top16
source_repeated_unicast,16,20,1.3061650992685474,1.2996342737722049,20.817006269592476,288.3205050251256,632.8399999999999,835.704,31878,116052,2,398,c6666428c05005b8fe1e8ba630a3c4acb6edd1f8af3021e8c891981be8b45018,MC-REGION-F16_n64_s202701_m20_source_repeated_unicast_top16
native,16,40,2.6550552251486828,2.6417799490229394,42.26847918436703,76.6938542713568,227.08800000000008,456.57400000000007,1996,19177,2,398,f68b6ab5193fd78d8745bfdca270ac9e02878bf99b6ef9c46e25ae07fd30a7e7,MC-REGION-F16_n64_s202701_m40_PROP_temp64_top16
source_repeated_unicast,16,40,2.6550552251486828,2.595316482582837,41.85030798640611,578.2634910485934,1118.123,1371.978,31557,114946,9,391,f68b6ab5193fd78d8745bfdca270ac9e02878bf99b6ef9c46e25ae07fd30a7e7,MC-REGION-F16_n64_s202701_m40_source_repeated_unicast_top16
native,16,60,4.008980115458627,3.9989576651699807,63.98332264271969,192.6997994987469,499.35,637.408,1996,19177,1,399,f92443c71d846158c4340c896e1b14de96ccd257e8fa4e714bc0d863c14867fb,MC-REGION-F16_n64_s202701_m60_PROP_temp64_top16
source_repeated_unicast,16,60,4.008980115458627,3.106959589480436,51.41516998075689,619.4141677419356,1049.393,1143.044,25923,94454,90,310,f92443c71d846158c4340c896e1b14de96ccd257e8fa4e714bc0d863c14867fb,MC-REGION-F16_n64_s202701_m60_source_repeated_unicast_top16
native,16,80,5.369415807560137,5.355992268041237,85.69587628865979,279.9807318295739,615.456,742.6120000000001,1996,19177,1,399,2f5b5a0adac31b4e3db0548c63c0c8f369d213ca0d66c708294f53a5f8e0d4e7,MC-REGION-F16_n64_s202701_m80_PROP_temp64_top16
source_repeated_unicast,16,80,5.369415807560137,2.886060996563574,51.15710910652921,560.6653116279069,890.501,966.642,19500,70898,185,215,2f5b5a0adac31b4e3db0548c63c0c8f369d213ca0d66c708294f53a5f8e0d4e7,MC-REGION-F16_n64_s202701_m80_source_repeated_unicast_top16
native,16,100,6.231306081754735,5.841849451645065,94.74700897308075,319.60429600000003,655.091,733.217,1938,18584,25,375,ba58dd7467990802314461dff155373332e7858fb797fee7f1873ab3b2f0dec6,MC-REGION-F16_n64_s202701_m100_PROP_temp64_top16
source_repeated_unicast,16,100,6.231306081754735,2.6171485543369895,48.47956131605185,509.790625,781.192,863.602,16135,58244,232,168,ba58dd7467990802314461dff155373332e7858fb797fee7f1873ab3b2f0dec6,MC-REGION-F16_n64_s202701_m100_source_repeated_unicast_top16
native,16,120,7.754342431761786,5.466811414392058,97.39454094292803,313.2769645390071,636.162,723.298,1824,17511,118,282,32ccca64d6340c6eac855f6a01613bd45cd4c48ee537b31db69052c9d7ac4105,MC-REGION-F16_n64_s202701_m120_PROP_temp64_top16
source_repeated_unicast,16,120,7.754342431761786,2.5007754342431756,48.56156947890818,459.46255038759693,678.759,713.1510000000001,13089,47088,271,129,32ccca64d6340c6eac855f6a01613bd45cd4c48ee537b31db69052c9d7ac4105,MC-REGION-F16_n64_s202701_m120_source_repeated_unicast_top16
native,16,150,11.704119850187267,4.79868913857678,97.37827715355806,203.86465243902438,390.884,458.26800000000003,1468,13983,236,164,eb34ffdf4ccb678ad18653c32a1188fd2d5234bb11adf1ace551e0ed8ea27b47,MC-REGION-F16_n64_s202701_m150_PROP_temp64_top16
source_repeated_unicast,16,150,11.704119850187267,1.6385767790262173,37.33614232209737,325.85096428571427,482.889,508.174,6934,24904,344,56,eb34ffdf4ccb678ad18653c32a1188fd2d5234bb11adf1ace551e0ed8ea27b47,MC-REGION-F16_n64_s202701_m150_source_repeated_unicast_top16
native,16,180,13.982102908277403,3.8101230425055927,85.6753355704698,188.75437614678899,376.34900000000005,406.57000000000005,1295,12399,291,109,46fb072667b6118fddbc55ba157e87482114e4c7701a3a79c2c259238575bc6d,MC-REGION-F16_n64_s202701_m180_PROP_temp64_top16
source_repeated_unicast,16,180,13.982102908277403,1.503076062639821,36.52824384787471,291.4298604651163,411.442,422.12199999999996,5679,20368,357,43,46fb072667b6118fddbc55ba157e87482114e4c7701a3a79c2c259238575bc6d,MC-REGION-F16_n64_s202701_m180_source_repeated_unicast_top16
native,16,260,17.655367231638415,3.8400423728813555,89.42443502824858,169.7806896551724,295.68999999999994,317.13,1128,10598,313,87,be772a188215cf03bbb3bf51ca8884a9d388b1a1b0f4da57909657ed815db0f2,MC-REGION-F16_n64_s202701_m260_PROP_temp64_top16
source_repeated_unicast,16,260,17.655367231638415,1.191737288135593,33.89830508474576,232.09162962962964,311.702,325.35299999999995,4193,15204,373,27,be772a188215cf03bbb3bf51ca8884a9d388b1a1b0f4da57909657ed815db0f2,MC-REGION-F16_n64_s202701_m260_source_repeated_unicast_top16
native,16,360,26.041666666666668,3.3203125000000004,97.20052083333334,121.67627450980392,209.44299999999998,216.965,1060,10108,349,51,9106d442db7b473c8ed4ecccb708649b04d025f0822c1a5a4c86c37b014d4c96,MC-REGION-F16_n64_s202701_m360_PROP_temp64_top16
source_repeated_unicast,16,360,26.041666666666668,0.7812500000000001,27.539062500000004,198.48916666666665,233.021,233.021,2514,9038,388,12,9106d442db7b473c8ed4ecccb708649b04d025f0822c1a5a4c86c37b014d4c96,MC-REGION-F16_n64_s202701_m360_source_repeated_unicast_top16
native,16,500,35.51136363636363,2.3970170454545454,86.64772727272727,91.93059259259259,149.452,158.07,833,7918,373,27,9ed4d9da356cd7c91bf0e04dc0a49b5c62323ee321158a2bbad29d607d88177a,MC-REGION-F16_n64_s202701_m500_PROP_temp64_top16
source_repeated_unicast,16,500,35.51136363636363,0.08877840909090909,24.502840909090907,150.819,150.819,150.819,1649,6078,399,1,9ed4d9da356cd7c91bf0e04dc0a49b5c62323ee321158a2bbad29d607d88177a,MC-REGION-F16_n64_s202701_m500_source_repeated_unicast_top16
