load,offered_transactions,completed_transactions,useful_delivery_rate,mean_completion_latency,p95_completion_latency,p99_completion_latency,injected_flits,link_traversals,backlog
5,0.34480856228621865,0.3439465408805031,5.503144654088049,9.241887218044926,13.235999999999876,17.943999999999733,1996,19197,1
10,0.8289124668435012,0.8268401856763925,13.22944297082228,10.77792230576431,18.269000000000005,23.277000000000044,1996,19185,1
20,1.3061650992685474,1.3028996865203761,20.846394984326018,14.282165413533814,31.086000000000013,49.624000000000024,1996,19197,1
40,2.6550552251486828,2.6417799490229394,42.26847918436703,76.6938542713568,227.08800000000008,456.57400000000007,1996,19177,2
60,4.008980115458627,3.9989576651699807,63.98332264271969,192.6997994987469,499.35,637.408,1996,19177,1
80,5.369415807560137,5.355992268041237,85.69587628865979,279.9807318295739,615.456,742.6120000000001,1996,19177,1
100,6.231306081754735,5.841849451645065,94.74700897308075,319.60429600000003,655.091,733.217,1938,18584,25
120,7.754342431761786,5.466811414392058,97.39454094292803,313.2769645390071,636.162,723.298,1824,17511,118
150,11.704119850187267,4.79868913857678,97.37827715355806,203.86465243902438,390.884,458.26800000000003,1468,13983,236
180,13.982102908277403,3.8101230425055927,85.6753355704698,188.75437614678899,376.34900000000005,406.57000000000005,1295,12399,291
260,17.655367231638415,3.8400423728813555,89.42443502824858,169.7806896551724,295.68999999999994,317.13,1128,10598,313
360,26.041666666666668,3.3203125000000004,97.20052083333334,121.67627450980392,209.44299999999998,216.965,1060,10108,349
500,35.51136363636363,2.3970170454545454,86.64772727272727,91.93059259259259,149.452,158.07,833,7918,373
