load,offered_transactions,completed_transactions,useful_delivery_rate,mean_completion_latency,p95_completion_latency,p99_completion_latency,injected_flits,link_traversals,backlog
5,0.34480856228621865,0.3439465408805031,5.503144654088049,148.69269423558873,248.8719999999994,395.9589999999998,31921,116224,1
10,0.8289124668435012,0.8247679045092837,13.2107924403183,194.59790452261296,358.81799999999976,493.58000000000004,31883,116072,2
20,1.3061650992685474,1.2996342737722049,20.817006269592476,288.3205050251256,632.8399999999999,835.704,31878,116052,2
40,2.6550552251486828,2.595316482582837,41.85030798640611,578.2634910485934,1118.123,1371.978,31557,114946,9
60,4.008980115458627,3.106959589480436,51.41516998075689,619.4141677419356,1049.393,1143.044,25923,94454,90
80,5.369415807560137,2.886060996563574,51.15710910652921,560.6653116279069,890.501,966.642,19500,70898,185
100,6.231306081754735,2.6171485543369895,48.47956131605185,509.790625,781.192,863.602,16135,58244,232
120,7.754342431761786,2.5007754342431756,48.56156947890818,459.46255038759693,678.759,713.1510000000001,13089,47088,271
150,11.704119850187267,1.6385767790262173,37.33614232209737,325.85096428571427,482.889,508.174,6934,24904,344
180,13.982102908277403,1.503076062639821,36.52824384787471,291.4298604651163,411.442,422.12199999999996,5679,20368,357
260,17.655367231638415,1.191737288135593,33.89830508474576,232.09162962962964,311.702,325.35299999999995,4193,15204,373
360,26.041666666666668,0.7812500000000001,27.539062500000004,198.48916666666665,233.021,233.021,2514,9038,388
500,35.51136363636363,0.08877840909090909,24.502840909090907,150.819,150.819,150.819,1649,6078,399
