experiment,design,benchmark,scheme,load,measurement_start_ps,measurement_end_ps,measurement_delivered_flits,measurement_delivery_ratio,source_backlog_flits,full_drain_injected_flits,full_drain_delivered_flits,full_drain_pass,mean_flit_latency_ns,p95_flit_latency_ns,p99_flit_latency_ns,delivered_mflit_s_per_port,near_lossless,censored,trace_sha256,case_sha256,case
E1_GLOBAL_UR,PROP_temp256_m16,TOPO-UR,unicast,5,85001,64348001,49995,0.9999,5,55000,55000,True,10.33095248,14.927,19.189,3.0389643924186545,True,False,5717b01ebea8c301d972d91c250d2a71d6484ac0dca56329dcdcaaed10fb6b40,80f65be45acf72198a610206171b7bd0068bcd37bbbfe5f018126250e58f9b8d,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m5_PROP_temp256_m16_top0
E1_GLOBAL_UR,FM256,TOPO-UR,unicast,5,85001,64348001,49995,0.9999,5,55000,55000,True,12.2276111,21.088,24.622,3.0389643924186545,True,False,5717b01ebea8c301d972d91c250d2a71d6484ac0dca56329dcdcaaed10fb6b40,ef4618e8b1ad780bbf5f68318acd989aa0b2c4009a6fe2f0c8c467e6421e090b,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m5_FM256_top0
E1_GLOBAL_UR,PROP_temp256_m16,TOPO-UR,unicast,20,56001,17287001,49995,0.9999,5,55000,55000,True,12.00485652,21.441,29.117,11.33381514421682,True,False,33af3bca963a09ec7bc80e2cddedad730deb9d65b64f0b89524e01efdea4031e,c32f5f63923e3f1fa63ccc74d9a3be53b353e0fc25a443b1014c38e656d1cb34,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m20_PROP_temp256_m16_top0
E1_GLOBAL_UR,FM256,TOPO-UR,unicast,20,56001,17287001,49995,0.9999,5,55000,55000,True,12.686102660000001,21.999,26.45,11.33381514421682,True,False,33af3bca963a09ec7bc80e2cddedad730deb9d65b64f0b89524e01efdea4031e,997407a65670485032bbacf091e1c3c51fb4753eef54eaa83b54d9bb044640a9,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m20_FM256_top0
E1_GLOBAL_UR,PROP_temp256_m16,TOPO-UR,unicast,40,27001,9410001,49995,0.9999,5,55000,55000,True,14.8068721,31.944,48.213,20.81348915592028,True,False,c108a918d21f2524a504be61ba63a204f51c55eb21fdf89f77d5a77d15a18131,25308afbf88f3ad4320b43ec03e5d031c4ac6729dedf5fa81b950cd476f696f2,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m40_PROP_temp256_m16_top0
E1_GLOBAL_UR,FM256,TOPO-UR,unicast,40,27001,9410001,49995,0.9999,5,55000,55000,True,13.42606888,23.759,29.119,20.81348915592028,True,False,c108a918d21f2524a504be61ba63a204f51c55eb21fdf89f77d5a77d15a18131,e2c5ac37c597568556434fc256970dacd32a555515687a20c2261b09874c57c8,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m40_FM256_top0
E1_GLOBAL_UR,PROP_temp256_m16,TOPO-UR,unicast,60,22001,5775001,49995,0.9999,5,55000,55000,True,18.08272212,44.217,64.432,33.94628346080306,True,False,41293fd78e043d6ccb1b427df528670f5bcdda103ab1f0be2166b968eafda921,dbd381fc113ab3d0192c21bec33091aff88d9f77a3dc1afaef2b3766f7011d02,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m60_PROP_temp256_m16_top0
E1_GLOBAL_UR,FM256,TOPO-UR,unicast,60,22001,5775001,49995,0.9999,5,55000,55000,True,14.39575348,26.355,33.246,33.94628346080306,True,False,41293fd78e043d6ccb1b427df528670f5bcdda103ab1f0be2166b968eafda921,d74fb8e3cf5573fd7d5021e3a08b7093ecda7096ba7542960926da205a5614c4,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m60_FM256_top0
E1_GLOBAL_UR,PROP_temp256_m16,TOPO-UR,unicast,70,24001,5454001,49995,0.9999,5,55000,55000,True,20.0232234,51.905,77.047,35.96555593922652,True,False,3fdec6bc88444783ee934c8c4e09fbd257d576319efb66a81b376430b27f2c59,9a2e56bb8346d8f004fa90789d92b1906f69d1f8d6c6187d26212aa26fc9f3c5,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m70_PROP_temp256_m16_top0
E1_GLOBAL_UR,FM256,TOPO-UR,unicast,70,24001,5454001,49995,0.9999,5,55000,55000,True,15.084454280000001,28.35,37.619,35.96555593922652,True,False,3fdec6bc88444783ee934c8c4e09fbd257d576319efb66a81b376430b27f2c59,911fbaecdddf97bf09124cbb230731e6f93e6d472829852b8549c612cfc453d6,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m70_FM256_top0
