kind,port,pkt_seq,flit,offer_ps,req_ps,ack_ps,egress_req_ps,capture_ps,matched
TX,0,661,8828828,80001,80051,80385,-1,-1,1
TX,0,661,0295340,80001,80635,81032,-1,-1,1
TX,0,661,0295540,80001,81282,81685,-1,-1,1
TX,0,661,0295740,80001,81935,82332,-1,-1,1
TX,0,661,4295940,80001,82582,86758,-1,-1,1
TX,0,1191,8e10e10,84001,87008,87334,-1,-1,1
TX,0,1191,04a7340,84001,87584,87975,-1,-1,1
TX,0,1191,04a7540,84001,88225,88630,-1,-1,1
TX,0,1191,04a7740,84001,88880,89285,-1,-1,1
TX,0,1191,44a7940,84001,89535,93722,-1,-1,1
TX,0,1873,8230230,103001,103051,103385,-1,-1,1
TX,0,1873,0751340,103001,103635,104032,-1,-1,1
TX,0,1873,0751540,103001,104282,104685,-1,-1,1
TX,0,1873,0751740,103001,104935,105332,-1,-1,1
TX,0,1873,4751940,103001,105582,109723,-1,-1,1
TX,0,1885,8b20b20,107001,109973,110299,-1,-1,1
TX,0,1885,075d340,107001,110549,110940,-1,-1,1
TX,0,1885,075d540,107001,111190,111595,-1,-1,1
TX,0,1885,075d740,107001,111845,112250,-1,-1,1
TX,0,1885,475d940,107001,112500,116713,-1,-1,1
TX,0,1947,841c41c,181001,181051,181385,-1,-1,1
TX,0,1947,079b340,181001,181635,182032,-1,-1,1
TX,0,1947,079b540,181001,182282,182685,-1,-1,1
TX,0,1947,079b740,181001,182935,183332,-1,-1,1
TX,0,1947,479b940,181001,183582,187784,-1,-1,1
TX,0,2110,8610610,192001,192051,192377,-1,-1,1
TX,0,2110,083e340,192001,192627,193018,-1,-1,1
TX,0,2110,083e540,192001,193268,193673,-1,-1,1
TX,0,2110,083e740,192001,193923,194328,-1,-1,1
TX,0,2110,483e940,192001,194578,198721,-1,-1,1
TX,0,2121,8418418,195001,198971,199305,-1,-1,1
TX,0,2121,0849340,195001,199555,199952,-1,-1,1
TX,0,2121,0849540,195001,200202,200605,-1,-1,1
TX,0,2121,0849740,195001,200855,201252,-1,-1,1
TX,0,2121,4849940,195001,201502,205684,-1,-1,1
TX,0,2141,8414414,244001,244051,244377,-1,-1,1
TX,0,2141,085d340,244001,244627,245018,-1,-1,1
TX,0,2141,085d540,244001,245268,245673,-1,-1,1
TX,0,2141,085d740,244001,245923,246328,-1,-1,1
TX,0,2141,485d940,244001,246578,250707,-1,-1,1
TX,0,2298,8108108,291001,291051,291385,-1,-1,1
TX,0,2298,08fa340,291001,291635,292032,-1,-1,1
TX,0,2298,08fa540,291001,292282,292685,-1,-1,1
TX,0,2298,08fa740,291001,292935,293332,-1,-1,1
TX,0,2298,48fa940,291001,293582,317519,-1,-1,1
TX,0,2336,892c92c,366001,366051,366377,-1,-1,1
TX,0,2336,0920340,366001,366627,367018,-1,-1,1
TX,0,2336,0920540,366001,367268,367673,-1,-1,1
TX,0,2336,0920740,366001,367923,368328,-1,-1,1
