port,pkt_seq,flit,offer_ps,egress_ps,lat_ns
0,199,8000002,20001,28036,8.035000
0,199,00c7342,20001,28828,8.827000
0,199,00c7542,20001,29687,9.686000
0,199,00c7742,20001,30481,10.480000
0,199,40c7942,20001,31337,11.336000
0,131,8000001,24001,32187,8.186000
0,131,0083341,24001,33004,9.003000
0,131,0083541,24001,33865,9.864000
0,131,0083741,24001,34683,10.682000
0,131,4083941,24001,35541,11.540000
0,72,8000001,53001,64570,11.569000
0,72,0048341,53001,65408,12.407000
0,72,0048541,53001,66230,13.229000
0,72,0048741,53001,67084,14.083000
0,72,4048941,53001,67895,14.894000
0,660,8000000,59001,70082,11.081000
0,660,0294340,59001,70892,11.891000
0,660,0294540,59001,71743,12.742000
0,660,0294740,59001,72555,13.554000
0,660,4294940,59001,73403,14.402000
0,121,8000002,72001,106294,34.293000
0,121,0079342,72001,107132,35.131000
0,121,0079542,72001,107954,35.953000
0,121,0079742,72001,108808,36.807000
0,121,4079942,72001,109619,37.618000
0,162,8000003,118001,153175,35.174000
0,162,00a2343,118001,153985,35.984000
0,162,00a2543,118001,154836,36.835000
0,162,00a2743,118001,155648,37.647000
0,162,40a2943,118001,156496,38.495000
0,460,8000001,186001,192214,6.213000
0,460,01cc341,186001,193052,7.051000
0,460,01cc541,186001,193874,7.873000
0,460,01cc741,186001,194728,8.727000
0,460,41cc941,186001,195539,9.538000
0,1484,8000002,179001,198711,19.710000
0,1484,05cc342,179001,199521,20.520000
0,1484,05cc542,179001,200372,21.371000
0,1484,05cc742,179001,201184,22.183000
0,1484,45cc942,179001,202032,23.031000
0,484,8000000,214001,218411,4.410000
0,484,01e4340,214001,219249,5.248000
0,484,01e4540,214001,220071,6.070000
0,484,01e4740,214001,220925,6.924000
0,484,41e4940,214001,221736,7.735000
0,2816,8000001,252001,264071,12.070000
0,2816,0b00341,252001,264881,12.880000
0,2816,0b00541,252001,265732,13.731000
0,2816,0b00741,252001,266544,14.543000
0,2816,4b00941,252001,267392,15.391000
0,2745,8000002,281001,293354,12.353000
0,2745,0ab9342,281001,294192,13.191000
0,2745,0ab9542,281001,295014,14.013000
0,2745,0ab9742,281001,295868,14.867000
0,2745,4ab9942,281001,296679,15.678000
0,1571,8000001,404001,436848,32.847000
0,1571,0623341,404001,437658,33.657000
0,1571,0623541,404001,438509,34.508000
0,1571,0623741,404001,439321,35.320000
0,1571,4623941,404001,440169,36.168000
0,4824,8000000,442001,446426,4.425000
0,4824,12d8340,442001,447274,5.273000
0,4824,12d8540,442001,448102,6.101000
0,4824,12d8740,442001,448966,6.965000
0,4824,52d8940,442001,449783,7.782000
0,1976,8000001,448001,451841,3.840000
0,1976,07b8341,448001,452657,4.656000
0,1976,07b8541,448001,453518,5.517000
0,1976,07b8741,448001,454336,6.335000
0,1976,47b8941,448001,455194,7.193000
0,2290,8000002,442001,460477,18.476000
0,2290,08f2342,442001,461315,19.314000
0,2290,08f2542,442001,462137,20.136000
0,2290,08f2742,442001,462991,20.990000
0,2290,48f2942,442001,463802,21.801000
0,2907,8000002,538001,552768,14.767000
0,2907,0b5b342,538001,553623,15.622000
0,2907,0b5b542,538001,554433,16.432000
0,2907,0b5b742,538001,555304,17.303000
0,2907,4b5b942,538001,556103,18.102000
0,1648,8000000,559001,566051,7.050000
0,1648,0670340,559001,566843,7.842000
0,1648,0670540,559001,567702,8.701000
0,1648,0670740,559001,568496,9.495000
0,1648,4670940,559001,569352,10.351000
0,3348,8000000,553001,571684,18.683000
0,3348,0d14340,553001,572530,19.529000
0,3348,0d14540,553001,573334,20.333000
0,3348,0d14740,553001,574196,21.195000
0,3348,4d14940,553001,574989,21.988000
0,4030,8000002,585001,597895,12.894000
0,4030,0fbe342,585001,598687,13.686000
0,4030,0fbe542,585001,599546,14.545000
0,4030,0fbe742,585001,600340,15.339000
0,4030,4fbe942,585001,601196,16.195000
0,1793,8000000,597001,603372,6.371000
0,1793,0701340,597001,604218,7.217000
0,1793,0701540,597001,605022,8.021000
0,1793,0701740,597001,605884,8.883000
0,1793,4701940,597001,606677,9.676000
0,3516,8000003,599001,620221,21.220000
0,3516,0dbc343,599001,621013,22.012000
0,3516,0dbc543,599001,621872,22.871000
0,3516,0dbc743,599001,622666,23.665000
0,3516,4dbc943,599001,623522,24.521000
0,2303,8000001,596001,625686,29.685000
0,2303,08ff341,596001,626532,30.531000
0,2303,08ff541,596001,627336,31.335000
0,2303,08ff741,596001,628198,32.197000
0,2303,48ff941,596001,628991,32.990000
0,4462,8000002,657001,660600,3.599000
0,4462,116e342,657001,661392,4.391000
0,4462,116e542,657001,662251,5.250000
0,4462,116e742,657001,663045,6.044000
