port,pkt_seq,flit,offer_ps,egress_ps,lat_ns
0,131,8000001,24001,29260,5.259000
0,131,0083341,24001,30126,6.125000
0,131,0083541,24001,31059,7.058000
0,131,0083741,24001,31927,7.926000
0,131,4083941,24001,32857,8.856000
0,199,8000002,20001,34973,14.972000
0,199,00c7342,20001,35893,15.892000
0,199,00c7542,20001,36771,16.770000
0,199,00c7742,20001,37707,17.706000
0,199,40c7942,20001,38574,18.573000
0,72,8000001,53001,66426,13.425000
0,72,0048341,53001,67292,14.291000
0,72,0048541,53001,68225,15.224000
0,72,0048741,53001,69093,16.092000
0,72,4048941,53001,70023,17.022000
0,660,8000000,59001,72581,13.580000
0,660,0294340,59001,73501,14.500000
0,660,0294540,59001,74379,15.378000
0,660,0294740,59001,75315,16.314000
0,660,4294940,59001,76182,17.181000
0,121,8000002,72001,90502,18.501000
0,121,0079342,72001,91368,19.367000
0,121,0079542,72001,92301,20.300000
0,121,0079742,72001,93169,21.168000
0,121,4079942,72001,94099,22.098000
0,162,8000003,118001,128702,10.701000
0,162,00a2343,118001,129610,11.609000
0,162,00a2543,118001,130514,12.513000
0,162,00a2743,118001,131424,13.423000
0,162,40a2943,118001,132325,14.324000
0,1484,8000002,179001,184322,5.321000
0,1484,05cc342,179001,185148,6.147000
0,1484,05cc542,179001,186041,7.040000
0,1484,05cc742,179001,186869,7.868000
0,1484,45cc942,179001,187759,8.758000
0,460,8000001,186001,196649,10.648000
0,460,01cc341,186001,197530,11.529000
0,460,01cc541,186001,198460,12.459000
0,460,01cc741,186001,199343,13.342000
0,460,41cc941,186001,200270,14.269000
0,484,8000000,214001,231526,17.525000
0,484,01e4340,214001,232443,18.442000
0,484,01e4540,214001,233336,19.335000
0,484,01e4740,214001,234269,20.268000
0,484,41e4940,214001,235151,21.150000
0,2816,8000001,252001,261265,9.264000
0,2816,0b00341,252001,262133,10.132000
0,2816,0b00541,252001,262997,10.996000
0,2816,0b00741,252001,263867,11.866000
0,2816,4b00941,252001,264728,12.727000
0,2745,8000002,281001,288339,7.338000
0,2745,0ab9342,281001,289205,8.204000
0,2745,0ab9542,281001,290138,9.137000
0,2745,0ab9742,281001,291006,10.005000
0,2745,4ab9942,281001,291936,10.935000
0,1571,8000001,404001,425279,21.278000
