port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
0,661,661,4295943,176051,176385,183805,183905,7.420000,7.754000
0,1640,1640,4668943,325051,325377,345948,346048,20.571000,20.897000
0,1096,1096,4448942,313051,313385,351466,351566,38.081000,38.415000
0,2510,2510,49ce943,218051,218377,362482,362582,144.105000,144.431000
0,2367,2367,493f941,359051,359377,379160,379260,19.783000,20.109000
0,1333,1333,4535941,391051,391377,413466,413566,22.089000,22.415000
0,2628,2628,4a44941,399051,399377,425790,425890,26.413000,26.739000
0,5800,5800,56a8942,513312,513637,557755,557855,44.118000,44.443000
0,2867,2867,4b33940,565051,565385,584999,585099,19.614000,19.948000
0,4385,4385,5121941,648051,648385,653932,654032,5.547000,5.881000
0,7002,7002,5b5a942,634051,634385,675506,675606,41.121000,41.455000
0,4276,4276,50b4943,659051,659385,686323,686423,26.938000,27.272000
0,5076,5076,53d4941,659051,659385,702990,703090,43.605000,43.939000
0,4162,4162,5042940,672051,672377,713963,714063,41.586000,41.912000
0,4122,4122,501a941,697051,697377,724983,725083,27.606000,27.932000
0,4466,4466,5172941,821051,821385,835423,835523,14.038000,14.372000
0,3199,3199,4c7f942,871051,871385,888512,888612,17.127000,17.461000
0,5053,5053,53bd940,926051,926377,936277,936377,9.900000,10.226000
0,5838,5838,56ce943,787937,788271,943924,944024,155.653000,155.987000
0,5151,5151,541f940,947051,947377,960283,960383,12.906000,13.232000
0,4946,4946,5352942,914051,914385,1013031,1013131,98.646000,98.980000
0,7984,7984,5f30943,1060051,1060385,1114507,1114607,54.122000,54.456000
0,10225,10225,67f1941,1115051,1115385,1131393,1131493,16.008000,16.342000
0,6466,6466,5942940,1089076,1089402,1142367,1142467,52.965000,53.291000
0,9575,9575,6567942,1126051,1126377,1153327,1153427,26.950000,27.276000
0,4019,4019,4fb3940,1163051,1163385,1188472,1188572,25.087000,25.421000
0,8954,8954,62fa943,1174051,1174377,1264714,1264814,90.337000,90.663000
0,8735,8735,621f941,1326051,1326377,1358011,1358111,31.634000,31.960000
0,8903,8903,62c7941,1358051,1358385,1393552,1393652,35.167000,35.501000
0,8796,8796,625c942,1398051,1398377,1424579,1424679,26.202000,26.528000
0,9904,9904,66b0941,1422051,1422385,1443553,1443653,21.168000,21.502000
0,7991,7991,5f37941,1415051,1415377,1449046,1449146,33.669000,33.995000
0,8150,8150,5fd6941,1477051,1477377,1508630,1508730,31.253000,31.579000
0,9117,9117,639d941,1589051,1589385,1599293,1599393,9.908000,10.242000
0,10500,10500,6904943,1589051,1589385,1610302,1610402,20.917000,21.251000
0,8870,8870,62a6942,1732461,1732787,1747630,1747730,14.843000,15.169000
0,8314,8314,607a943,1789051,1789377,1806289,1806389,16.912000,17.238000
0,7435,7435,5d0b941,1908051,1908377,1930624,1930724,22.247000,22.573000
0,9933,9933,66cd942,1935051,1935377,1949547,1949647,14.170000,14.496000
1,374,374,4176940,32050,32385,53117,53217,20.732000,21.067000
1,178,178,40b2942,52051,52385,65781,65881,13.396000,13.730000
1,852,852,4354941,175395,175721,187495,187595,11.774000,12.100000
1,2869,2869,4b35942,283051,283377,291578,291678,8.201000,8.527000
1,2879,2879,4b3f943,326630,326964,353902,354002,26.938000,27.272000
1,2986,2986,4baa940,355410,355736,385740,385840,30.004000,30.330000
1,2767,2767,4acf943,470439,470773,495695,495795,24.922000,25.256000
1,1167,1167,448f941,584051,584385,603447,603547,19.062000,19.396000
1,2664,2664,4a68943,685051,685377,696455,696555,11.078000,11.404000
1,3955,3955,4f73942,616051,616385,701862,701962,85.477000,85.811000
1,3179,3179,4c6b941,690027,690361,707435,707535,17.074000,17.408000
1,3218,3218,4c92941,643051,643377,712880,712980,69.503000,69.829000
1,4079,4079,4fef940,707051,707385,718240,718340,10.855000,11.189000
1,5193,5193,5449941,672051,672385,741334,741434,68.949000,69.283000
1,2796,2796,4aec940,789051,789385,809211,809311,19.826000,20.160000
1,5137,5137,5411941,831463,831789,839231,839331,7.442000,7.768000
1,7966,7966,5f1e943,832051,832385,843388,843488,11.003000,11.337000
1,5378,5378,5502941,890051,890377,910268,910368,19.891000,20.217000
1,8057,8057,5f79940,974051,974385,985974,986074,11.589000,11.923000
1,5886,5886,56fe941,1053051,1053377,1067545,1067645,14.168000,14.494000
1,7503,7503,5d4f941,959736,960062,1073040,1073140,112.978000,113.304000
1,3541,3541,4dd5940,1063051,1063377,1095362,1095462,31.985000,32.311000
1,6279,6279,5887940,1077446,1077780,1102237,1102337,24.457000,24.791000
1,6899,6899,5af3940,1205328,1205654,1235827,1235927,30.173000,30.499000
1,7552,7552,5d80941,1250051,1250385,1280948,1281048,30.563000,30.897000
1,5280,5280,54a0942,1224051,1224377,1286500,1286600,62.123000,62.449000
1,9329,9329,6471942,1283051,1283377,1295119,1295219,11.742000,12.068000
1,9848,9848,6678940,1289051,1289377,1303902,1304002,14.525000,14.851000
1,7595,7595,5dab941,1355051,1355385,1422032,1422132,66.647000,66.981000
1,6435,6435,5923943,1426051,1426385,1454975,1455075,28.590000,28.924000
1,10387,10387,6893940,1573051,1573377,1586050,1586150,12.673000,12.999000
1,10925,10925,6aad941,1670051,1670385,1690915,1691015,20.530000,20.864000
1,8819,8819,6273940,1811051,1811377,1832730,1832830,21.353000,21.679000
1,10289,10289,6831941,1853051,1853385,1858996,1859096,5.611000,5.945000
1,9611,9611,658b943,1970051,1970385,1989110,1989210,18.725000,19.059000
1,10111,10111,677f940,2065051,2065377,2071886,2071986,6.509000,6.835000
1,9066,9066,636a942,2111431,2111757,2129958,2130058,18.201000,18.527000
2,233,233,40e9940,38051,38385,45788,45888,7.403000,7.737000
2,419,419,41a3942,59051,59385,66831,66931,7.446000,7.780000
2,219,219,40db942,47051,47385,70988,71088,23.603000,23.937000
2,805,805,4325941,165866,166192,173723,173823,7.531000,7.857000
2,1237,1237,44d5941,160051,160385,179108,179208,18.723000,19.057000
2,1227,1227,44cb940,161051,161385,186821,186921,25.436000,25.770000
2,1911,1911,4777943,210051,210385,231685,231785,21.300000,21.634000
2,2943,2943,4b7f940,321897,322231,371846,371946,49.615000,49.949000
2,2414,2414,496e943,432051,432377,443314,443414,10.937000,11.263000
2,2431,2431,497f943,427332,427666,448784,448884,21.118000,21.452000
2,1426,1426,4592942,437847,438181,459743,459843,21.562000,21.896000
2,2309,2309,4905941,447051,447385,476856,476956,29.471000,29.805000
2,2507,2507,49cb941,457051,457377,487908,488008,30.531000,30.857000
2,4046,4046,4fce940,508051,508385,515744,515843,7.359000,7.693000
2,3151,3151,4c4f943,473051,473385,532975,533075,59.590000,59.924000
2,5505,5505,5581942,530218,530552,568323,568423,37.771000,38.105000
2,4320,4320,50e0943,545051,545377,579318,579418,33.941000,34.267000
2,2737,2737,4ab1940,577507,577833,594319,594419,16.486000,16.812000
2,2503,2503,49c7940,558051,558385,605292,605392,46.907000,47.241000
2,1258,1258,44ea942,553051,553377,610789,610889,57.412000,57.738000
2,3873,3873,4f21942,709051,709377,722440,722540,13.063000,13.389000
2,7474,7474,5d32942,860918,861252,874928,875028,13.676000,14.010000
2,5091,5091,53e3943,873051,873385,885668,885768,12.283000,12.617000
2,2776,2776,4ad8941,900051,900385,954650,954750,54.265000,54.599000
2,6217,6217,5849943,1053051,1053377,1086136,1086236,32.759000,33.085000
2,5702,5702,5646942,1091051,1091377,1096063,1096163,4.686000,5.012000
2,4809,4809,52c9942,1079051,1079385,1140313,1140413,60.928000,61.262000
2,4865,4865,5301943,1149051,1149385,1168299,1168399,18.914000,19.248000
2,5336,5336,54d8940,1162051,1162385,1194428,1194528,32.043000,32.377000
2,8185,8185,5ff9941,1155051,1155377,1199909,1200009,44.532000,44.858000
2,6549,6549,5995940,1199051,1199385,1205833,1205933,6.448000,6.782000
2,7930,7930,5efa941,1212453,1212779,1225630,1225730,12.851000,13.177000
2,9230,9230,640e940,1222051,1222377,1240256,1240356,17.879000,18.205000
