port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
0,1351,1351,4547940,137051,137377,150337,150437,12.960000,13.286000
0,115,115,4073943,136051,136385,161832,161932,25.447000,25.781000
0,1137,1137,4471943,190051,190385,202453,202553,12.068000,12.402000
0,984,984,43d8941,206051,206385,219875,219975,13.490000,13.824000
0,1827,1827,4723943,371051,371377,388274,388374,16.897000,17.223000
0,2513,2513,49d1943,448858,449184,455849,455949,6.665000,6.991000
0,3738,3738,4e9a942,456051,456377,464858,464958,8.481000,8.807000
0,6182,6182,5826942,497154,497480,503690,503790,6.210000,6.536000
0,5191,5191,5447942,495051,495377,508512,508612,13.135000,13.461000
0,1400,1400,4578940,495051,495385,519602,519702,24.217000,24.551000
0,3671,3671,4e57943,518151,518478,542926,543026,24.448000,24.775000
0,3301,3301,4ce5941,587051,587377,600390,600490,13.013000,13.339000
0,2582,2582,4a16940,600051,600377,609014,609114,8.637000,8.963000
0,3920,3920,4f50942,588077,588403,613873,613973,25.470000,25.796000
0,5855,5855,56df942,591051,591385,619634,619734,28.249000,28.583000
0,4469,4469,5175941,612466,612792,625423,625523,12.631000,12.957000
0,2287,2287,48ef941,626036,626362,638494,638594,12.132000,12.458000
0,3053,3053,4bed940,641051,641385,710552,710652,69.167000,69.501000
0,1880,1880,4758941,699051,699377,715319,715419,15.942000,16.268000
0,2879,2879,4b3f941,698002,698328,727893,727993,29.565000,29.891000
0,5164,5164,542c941,730059,730393,757340,757440,26.947000,27.281000
0,4445,4445,515d940,798051,798385,813548,813648,15.163000,15.497000
0,7229,7229,5c3d942,848150,848484,854836,854936,6.352000,6.686000
0,2728,2728,4aa8942,853051,853377,870116,870216,16.739000,17.065000
0,3570,3570,4df2940,900051,900377,927084,927184,26.707000,27.033000
0,4261,4261,50a5942,1048051,1048385,1066037,1066137,17.652000,17.986000
0,6727,6727,5a47943,1071051,1071377,1096632,1096732,25.255000,25.581000
0,8835,8835,6283941,1084051,1084385,1140189,1140289,55.804000,56.138000
0,6805,6805,5a95943,1126051,1126377,1155811,1155911,29.434000,29.760000
0,6470,6470,5946940,1166051,1166385,1178247,1178347,11.862000,12.196000
0,5253,5253,5485942,1171051,1171385,1185004,1185104,13.619000,13.953000
0,4640,4640,5220941,1158051,1158385,1190810,1190910,32.425000,32.759000
0,7900,7900,5edc943,1206051,1206385,1212795,1212895,6.410000,6.744000
0,9075,9075,6373942,1223051,1223385,1251997,1252097,28.612000,28.946000
