record,tile,plane,local_lane,accepted_flits
lane,0,0,0,0
lane,0,0,1,0
lane,0,0,2,0
lane,0,0,3,0
lane,0,1,0,0
lane,0,1,1,0
lane,0,1,2,0
lane,0,1,3,20
lane,0,2,0,0
lane,0,2,1,0
lane,0,2,2,0
lane,0,2,3,100
lane,0,3,0,0
lane,0,3,1,0
lane,0,3,2,45
lane,0,3,3,500
lane,0,4,0,0
lane,0,4,1,0
lane,0,4,2,0
lane,0,4,3,50
lane,0,5,0,0
lane,0,5,1,0
lane,0,5,2,15
lane,0,5,3,275
lane,0,6,0,0
lane,0,6,1,0
lane,0,6,2,65
lane,0,6,3,600
lane,0,7,0,0
lane,0,7,1,30
lane,0,7,2,245
lane,0,7,3,770
lane,0,8,0,0
lane,0,8,1,0
lane,0,8,2,40
lane,0,8,3,250
lane,0,9,0,0
lane,0,9,1,20
lane,0,9,2,200
lane,0,9,3,550
lane,0,10,0,0
lane,0,10,1,70
lane,0,10,2,320
lane,0,10,3,675
lane,0,11,0,0
lane,0,11,1,120
lane,0,11,2,450
lane,0,11,3,680
lane,0,12,0,0
lane,0,12,1,35
lane,0,12,2,220
lane,0,12,3,420
lane,0,13,0,0
lane,0,13,1,50
lane,0,13,2,340
lane,0,13,3,585
lane,0,14,0,0
lane,0,14,1,150
lane,0,14,2,450
lane,0,14,3,595
lane,0,15,0,45
lane,0,15,1,185
lane,0,15,2,470
lane,0,15,3,780
tile_total,0,-1,-1,10415
lane,1,0,0,0
lane,1,0,1,0
lane,1,0,2,0
lane,1,0,3,0
lane,1,1,0,0
lane,1,1,1,0
lane,1,1,2,0
lane,1,1,3,20
lane,1,2,0,0
lane,1,2,1,0
lane,1,2,2,0
lane,1,2,3,95
lane,1,3,0,0
lane,1,3,1,0
lane,1,3,2,30
lane,1,3,3,425
lane,1,4,0,0
lane,1,4,1,0
lane,1,4,2,0
lane,1,4,3,45
lane,1,5,0,0
lane,1,5,1,0
lane,1,5,2,5
lane,1,5,3,320
lane,1,6,0,0
lane,1,6,1,0
lane,1,6,2,85
lane,1,6,3,615
lane,1,7,0,0
lane,1,7,1,15
lane,1,7,2,250
lane,1,7,3,765
lane,1,8,0,0
lane,1,8,1,0
lane,1,8,2,55
lane,1,8,3,390
lane,1,9,0,0
lane,1,9,1,5
lane,1,9,2,190
lane,1,9,3,565
lane,1,10,0,0
lane,1,10,1,30
lane,1,10,2,335
lane,1,10,3,670
lane,1,11,0,0
lane,1,11,1,115
