kind,port,pkt_seq,flit,offer_ps,req_ps,ack_ps,egress_req_ps,capture_ps,matched
TX,0,246,872001c,107001,107051,107385,-1,-1,1
TX,0,246,00f6360,107001,107635,108032,-1,-1,1
TX,0,246,00f6560,107001,108282,108685,-1,-1,1
TX,0,246,00f6760,107001,108935,109332,-1,-1,1
TX,0,246,40f6960,107001,109582,119053,-1,-1,1
TX,1,145,8914609,273001,273051,273385,-1,-1,1
TX,1,145,0091361,273001,273635,274032,-1,-1,1
TX,1,145,0091561,273001,274282,274685,-1,-1,1
TX,1,145,0091761,273001,274935,275332,-1,-1,1
TX,1,145,4091961,273001,275582,279812,-1,-1,1
TX,1,221,862c511,1006001,1006051,1006377,-1,-1,1
TX,1,221,00dd361,1006001,1006627,1007018,-1,-1,1
TX,1,221,00dd561,1006001,1007268,1007673,-1,-1,1
TX,1,221,00dd761,1006001,1007923,1008328,-1,-1,1
TX,1,221,40dd961,1006001,1008578,1012794,-1,-1,1
TX,3,255,872001f,146001,146051,146385,-1,-1,1
TX,3,255,00ff363,146001,146635,147032,-1,-1,1
TX,3,255,00ff563,146001,147282,147685,-1,-1,1
TX,3,255,00ff763,146001,147935,148332,-1,-1,1
TX,3,255,40ff963,146001,148582,152764,-1,-1,1
TX,5,24,872001d,329001,329051,329385,-1,-1,1
TX,5,24,0018361,329001,329635,330032,-1,-1,1
TX,5,24,0018561,329001,330282,330685,-1,-1,1
TX,5,24,0018761,329001,330935,331332,-1,-1,1
TX,5,24,4018961,329001,331582,335764,-1,-1,1
TX,5,292,8914609,359001,359051,359377,-1,-1,1
TX,5,292,0124361,359001,359627,360018,-1,-1,1
TX,5,292,0124561,359001,360268,360673,-1,-1,1
TX,5,292,0124761,359001,360923,361328,-1,-1,1
TX,5,292,4124961,359001,361578,370064,-1,-1,1
TX,5,296,872c611,525001,525051,525385,-1,-1,1
TX,5,296,0128361,525001,525635,526032,-1,-1,1
TX,5,296,0128561,525001,526282,526685,-1,-1,1
TX,5,296,0128761,525001,526935,527332,-1,-1,1
TX,5,296,4128961,525001,527582,531764,-1,-1,1
TX,5,342,872001d,614001,614051,614377,-1,-1,1
TX,5,342,0156361,614001,614627,615018,-1,-1,1
TX,5,342,0156561,614001,615268,615673,-1,-1,1
TX,5,342,0156761,614001,615923,616328,-1,-1,1
TX,5,342,4156961,614001,616578,620742,-1,-1,1
TX,6,228,872001e,82001,82051,82385,-1,-1,1
TX,6,228,00e4362,82001,82635,83032,-1,-1,1
TX,6,228,00e4562,82001,83282,83685,-1,-1,1
TX,6,228,00e4762,82001,83935,84332,-1,-1,1
TX,6,228,40e4962,82001,84582,88746,-1,-1,1
TX,6,285,881c702,309001,309051,309377,-1,-1,1
