kind,port,pkt_seq,flit,offer_ps,req_ps,ack_ps,egress_req_ps,capture_ps,matched
TX,0,3936,801c01c,107001,107051,107385,-1,-1,1
TX,0,3936,0f60340,107001,107635,108032,-1,-1,1
TX,0,3936,0f60540,107001,108282,108685,-1,-1,1
TX,0,3936,0f60740,107001,108935,109332,-1,-1,1
TX,0,3936,4f60940,107001,109582,113778,-1,-1,1
TX,0,3937,8020020,108001,114028,114354,-1,-1,1
TX,0,3937,0f61340,108001,114604,114995,-1,-1,1
TX,0,3937,0f61540,108001,115245,115650,-1,-1,1
TX,0,3937,0f61740,108001,115900,116305,-1,-1,1
TX,0,3937,4f61940,108001,116555,120785,-1,-1,1
TX,0,3938,811c11c,109001,121035,121369,-1,-1,1
TX,0,3938,0f62340,109001,121619,122016,-1,-1,1
TX,0,3938,0f62540,109001,122266,122669,-1,-1,1
TX,0,3938,0f62740,109001,122919,123316,-1,-1,1
TX,0,3938,4f62940,109001,123566,135987,-1,-1,1
TX,0,3939,8120120,110001,136237,136563,-1,-1,1
TX,0,3939,0f63340,110001,136813,137204,-1,-1,1
TX,0,3939,0f63540,110001,137454,137859,-1,-1,1
TX,0,3939,0f63740,110001,138109,138514,-1,-1,1
TX,0,3939,4f63940,110001,138764,174969,-1,-1,1
TX,0,3940,821c21c,111001,175219,175553,-1,-1,1
TX,0,3940,0f64340,111001,175803,176200,-1,-1,1
TX,0,3940,0f64540,111001,176450,176853,-1,-1,1
TX,0,3940,0f64740,111001,177103,177500,-1,-1,1
TX,0,3940,4f64940,111001,177750,183450,-1,-1,1
TX,0,3941,8220220,112001,183700,184026,-1,-1,1
TX,0,3941,0f65340,112001,184276,184667,-1,-1,1
TX,0,3941,0f65540,112001,184917,185322,-1,-1,1
TX,0,3941,0f65740,112001,185572,185977,-1,-1,1
TX,0,3941,4f65940,112001,186227,190433,-1,-1,1
TX,0,3942,831c31c,113001,190683,191017,-1,-1,1
TX,0,3942,0f66340,113001,191267,191664,-1,-1,1
