port,pkt_seq,flit,offer_ps,egress_ps,lat_ns
4,173,812c011,160001,282198,122.197000
4,173,00ad361,160001,283064,123.063000
4,173,00ad561,160001,283997,123.996000
4,173,00ad761,160001,284865,124.864000
4,173,40ad961,160001,285795,125.794000
4,161,812c012,308001,315215,7.214000
4,161,00a1362,308001,316135,8.134000
4,161,00a1562,308001,317013,9.012000
4,161,00a1762,308001,317949,9.948000
4,161,40a1962,308001,318816,10.815000
4,86,812c012,362001,367346,5.345000
4,86,0056362,362001,368212,6.211000
4,86,0056562,362001,369145,7.144000
4,86,0056762,362001,370013,8.012000
4,86,4056962,362001,370943,8.942000
4,320,812c012,708001,716706,8.705000
4,320,0140362,708001,717614,9.613000
4,320,0140562,708001,718518,10.517000
4,320,0140762,708001,719428,11.427000
4,320,4140962,708001,720329,12.328000
4,182,812c010,813001,821751,8.750000
4,182,00b6360,813001,822642,9.641000
4,182,00b6560,813001,823562,10.561000
4,182,00b6760,813001,824469,11.468000
4,182,40b6960,813001,825378,12.377000
4,293,812c010,861001,866259,5.258000
4,293,0125360,861001,867167,6.166000
4,293,0125560,861001,868071,7.070000
4,293,0125760,861001,868981,7.980000
4,293,4125960,861001,869882,8.881000
5,173,812c011,160001,282198,122.197000
5,173,00ad361,160001,283064,123.063000
5,173,00ad561,160001,283997,123.996000
5,173,00ad761,160001,284865,124.864000
5,173,40ad961,160001,285795,125.794000
5,161,812c012,308001,315215,7.214000
5,161,00a1362,308001,316135,8.134000
5,161,00a1562,308001,317013,9.012000
5,161,00a1762,308001,317949,9.948000
5,161,40a1962,308001,318816,10.815000
5,86,812c012,362001,367346,5.345000
5,86,0056362,362001,368212,6.211000
5,86,0056562,362001,369145,7.144000
5,86,0056762,362001,370013,8.012000
5,86,4056962,362001,370943,8.942000
5,320,812c012,708001,716706,8.705000
5,320,0140362,708001,717614,9.613000
5,320,0140562,708001,718518,10.517000
5,320,0140762,708001,719428,11.427000
5,320,4140962,708001,720329,12.328000
5,182,812c010,813001,821751,8.750000
5,182,00b6360,813001,822642,9.641000
5,182,00b6560,813001,823562,10.561000
5,182,00b6760,813001,824469,11.468000
5,182,40b6960,813001,825378,12.377000
5,293,812c010,861001,866259,5.258000
5,293,0125360,861001,867167,6.166000
5,293,0125560,861001,868071,7.070000
5,293,0125760,861001,868981,7.980000
5,293,4125960,861001,869882,8.881000
6,109,832401a,56001,61244,5.243000
6,109,006d362,56001,62110,6.109000
