port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
4,173,173,40ad961,160051,160385,285795,285895,125.410000,125.744000
4,161,161,40a1962,308051,308385,318816,318916,10.431000,10.765000
4,86,86,4056962,362051,362385,370943,371043,8.558000,8.892000
4,320,320,4140962,708051,708377,720329,720429,11.952000,12.278000
4,182,182,40b6960,813051,813377,825378,825478,12.001000,12.327000
4,293,293,4125960,861051,861377,869882,869982,8.505000,8.831000
5,173,173,40ad961,160051,160385,285795,285895,125.410000,125.744000
5,161,161,40a1962,308051,308385,318816,318916,10.431000,10.765000
5,86,86,4056962,362051,362385,370943,371043,8.558000,8.892000
5,320,320,4140962,708051,708377,720329,720429,11.952000,12.278000
5,182,182,40b6960,813051,813377,825378,825478,12.001000,12.327000
5,293,293,4125960,861051,861377,869882,869982,8.505000,8.831000
6,109,109,406d962,56051,56385,64841,64941,8.456000,8.790000
6,172,172,40ac962,61051,61385,73344,73444,11.959000,12.293000
6,88,88,4058961,52051,52385,166534,166634,114.149000,114.483000
6,355,355,4163960,175051,175385,187322,187422,11.937000,12.271000
6,173,173,40ad961,160051,160385,285801,285901,125.416000,125.750000
6,161,161,40a1962,308051,308385,318847,318947,10.462000,10.796000
6,193,193,40c1963,325051,325385,333698,333798,8.313000,8.647000
6,86,86,4056962,362051,362385,371759,371859,9.374000,9.708000
6,307,307,4133962,648051,648377,660786,660886,12.409000,12.735000
6,313,313,4139960,693051,693377,701835,701935,8.458000,8.784000
6,320,320,4140962,708051,708377,720363,720463,11.986000,12.312000
6,182,182,40b6960,813051,813377,825408,825508,12.031000,12.357000
6,293,293,4125960,861051,861377,869937,870037,8.560000,8.886000
7,90,90,405a962,30051,30385,36787,36887,6.402000,6.736000
7,135,135,4087960,33051,33385,45581,45681,12.196000,12.530000
7,109,109,406d962,56051,56385,64841,64941,8.456000,8.790000
7,162,162,40a2960,54051,54377,69333,69433,14.956000,15.282000
7,172,172,40ac962,61051,61385,74170,74270,12.785000,13.119000
7,228,228,40e4962,82051,82385,86364,86464,3.979000,4.313000
7,312,312,4138961,51051,51385,103574,103674,52.189000,52.523000
7,102,102,4066961,84051,84385,114224,114324,29.839000,30.173000
7,99,99,4063961,107051,107385,125870,125970,18.485000,18.819000
7,69,69,4045963,128051,128384,136880,136980,8.496000,8.829000
7,255,255,40ff963,146051,146385,155022,155122,8.637000,8.971000
7,15,15,400f960,149051,149385,160772,160872,11.387000,11.721000
7,88,88,4058961,52051,52385,166605,166705,114.220000,114.554000
7,355,355,4163960,175051,175385,187381,187481,11.996000,12.330000
7,165,165,40a5963,67051,67385,193214,193314,125.829000,126.163000
7,246,246,40f6960,107051,107385,201252,201352,93.867000,94.201000
7,57,57,4039961,114051,114385,224570,224670,110.185000,110.519000
7,237,237,40ed963,204051,204377,230320,230420,25.943000,26.269000
7,18,18,4012960,226051,226385,246080,246180,19.695000,20.029000
7,78,78,404e962,125051,125377,252481,252581,127.104000,127.430000
