port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
4,2768,2768,4ad0941,160051,160385,276643,276743,116.258000,116.592000
4,2576,2576,4a10942,308051,308385,319915,320015,11.530000,11.864000
4,1376,1376,4560942,362051,362385,371051,371151,8.666000,9.000000
4,4688,4688,5250940,861051,861385,869980,870080,8.595000,8.929000
4,2912,2912,4b60940,813051,813385,874466,874566,61.081000,61.415000
4,5120,5120,5400942,859092,859426,961004,961104,101.578000,101.912000
5,2769,2769,4ad1941,174068,174394,283727,283827,109.333000,109.659000
5,2577,2577,4a11942,318201,318527,332194,332294,13.667000,13.993000
5,1377,1377,4561942,369065,369391,411952,412052,42.561000,42.887000
5,2913,2913,4b61940,819991,820317,880008,880108,59.691000,60.017000
5,4689,4689,5251940,867986,868312,884845,884945,16.533000,16.859000
5,5121,5121,5401942,866133,866459,1050162,1050262,183.703000,184.029000
6,1408,1408,4580941,52051,52385,66294,66394,13.909000,14.243000
6,1744,1744,46d0942,56051,56385,71167,71267,14.782000,15.116000
6,2752,2752,4ac0942,61051,61385,83867,83967,22.482000,22.816000
6,5680,5680,5630940,175051,175385,198549,198649,23.164000,23.498000
6,2770,2770,4ad2941,269304,269638,291805,291905,22.167000,22.501000
6,3088,3088,4c10943,325051,325385,333973,334073,8.588000,8.922000
6,2578,2578,4a12942,325283,325617,345892,345992,20.275000,20.609000
6,1378,1378,4562942,394361,394695,423693,423793,28.998000,29.332000
6,5008,5008,5390940,693051,693385,701895,701995,8.510000,8.844000
6,2914,2914,4b62940,827081,827415,885689,885789,58.274000,58.608000
6,4690,4690,5252940,875040,875374,900743,900843,25.369000,25.703000
6,4912,4912,5330942,648051,648385,982068,982168,333.683000,334.017000
6,5122,5122,5402942,900757,901091,999096,999196,98.005000,98.339000
7,1440,1440,45a0942,30051,30385,36787,36887,6.402000,6.736000
7,2160,2160,4870940,33051,33385,45186,45286,11.801000,12.135000
7,4992,4992,5380941,51051,51385,63423,63523,12.038000,12.372000
7,1409,1409,4581941,59056,59382,73322,73422,13.940000,14.266000
7,1745,1745,46d1942,63015,63341,78144,78244,14.803000,15.129000
7,3648,3648,4e40942,82051,82385,86364,86464,3.979000,4.313000
7,2753,2753,4ac1942,67986,68312,90792,90892,22.480000,22.806000
7,2640,2640,4a50943,67051,67385,95671,95771,28.286000,28.620000
7,1632,1632,4660941,84051,84385,114943,115043,30.558000,30.892000
7,3936,3936,4f60940,107051,107385,125246,125346,17.861000,18.195000
7,912,912,4390941,114051,114385,132221,132321,17.836000,18.170000
7,1584,1584,4630941,107051,107385,141142,141242,33.757000,34.091000
7,240,240,40f0940,149051,149385,155713,155813,6.328000,6.662000
7,4080,4080,4ff0943,146051,146385,161497,161597,15.112000,15.446000
7,5681,5681,5631940,182015,182341,194470,194570,12.129000,12.455000
7,2592,2592,4a20940,180944,181278,199983,200083,18.705000,19.039000
7,1104,1104,4450943,128051,128384,245535,245635,117.151000,117.484000
7,288,288,4120940,226051,226385,250122,250222,23.737000,24.071000
7,2771,2771,4ad3941,276345,276671,296244,296344,19.573000,19.899000
7,3792,3792,4ed0943,304183,304517,334730,334830,30.213000,30.547000
7,384,384,4180941,329051,329385,340321,340421,10.936000,11.270000
7,3089,3089,4c11943,331950,332276,350978,351078,18.702000,19.028000
7,2579,2579,4a13942,332320,332646,362553,362653,29.907000,30.233000
7,672,672,42a0940,357051,357385,367397,367497,10.012000,10.346000
7,1248,1248,44e0942,300167,300501,371941,372041,71.440000,71.774000
7,432,432,41b0942,289051,289385,388557,388657,99.172000,99.506000
7,1379,1379,4563942,415983,416309,447573,447673,31.264000,31.590000
7,2928,2928,4b70942,413051,413385,458634,458734,45.249000,45.583000
7,576,576,4240942,506051,506385,525086,525186,18.701000,19.035000
7,6000,6000,5770942,607646,607980,641255,641355,33.275000,33.609000
7,528,528,4210942,540051,540385,646106,646206,105.721000,106.055000
7,4704,4704,5260940,646051,646385,654700,654800,8.315000,8.649000
7,4913,4913,5331942,655080,655406,667289,667389,11.883000,12.209000
7,5009,5009,5391940,699962,700288,708908,709008,8.620000,8.946000
7,6288,6288,5890941,799051,799385,808102,808202,8.717000,9.051000
7,3456,3456,4d80941,831243,831577,859336,859436,27.759000,28.093000
7,2915,2915,4b63940,879460,879786,892045,892145,12.259000,12.585000
7,4691,4691,5253940,888790,889116,915407,915507,26.291000,26.617000
7,5856,5856,56e0942,884051,884385,921268,921368,36.883000,37.217000
7,768,768,4300941,902051,902385,927113,927213,24.728000,25.062000
7,4368,4368,5110942,548051,548385,942498,942598,394.113000,394.447000
7,5472,5472,5560941,940188,940522,948350,948450,7.828000,8.162000
7,5123,5123,5403942,913816,914142,954152,954252,40.010000,40.336000
7,3264,3264,4cc0943,626593,626927,985458,985558,358.531000,358.865000
7,6144,6144,5800942,953166,953500,1105262,1105362,151.762000,152.096000
7,3600,3600,4e10942,1154733,1155067,1246000,1246100,90.933000,91.267000
7,3696,3696,4e70942,1393051,1393385,1402060,1402160,8.675000,9.009000
7,4752,4752,5290941,1424051,1424385,1436418,1436518,12.033000,12.367000
7,6192,6192,5830942,1610396,1610730,1619446,1619546,8.716000,9.050000
8,2161,2161,4871940,40015,40341,48913,49013,8.572000,8.898000
8,1441,1441,45a1942,37015,37341,54630,54730,17.289000,17.615000
8,4993,4993,5381941,57976,58302,68581,68681,10.279000,10.605000
8,1410,1410,4582941,66092,66426,75512,75612,9.086000,9.420000
8,2754,2754,4ac2942,74971,75305,81751,81851,6.446000,6.780000
8,1746,1746,46d2942,70032,70366,86260,86360,15.894000,16.228000
8,2641,2641,4a51943,75062,75388,93237,93337,17.849000,18.175000
8,3649,3649,4e41942,87504,87830,114956,115056,27.126000,27.452000
8,1633,1633,4661941,90976,91302,120028,120128,28.726000,29.052000
8,1585,1585,4631941,113976,114302,153072,153172,38.770000,39.096000
8,3937,3937,4f61940,114028,114354,158656,158756,44.302000,44.628000
8,4081,4081,4ff1943,153014,153340,168222,168322,14.882000,15.208000
8,241,241,40f1940,156015,156341,175198,175298,18.857000,19.183000
8,1105,1105,4451943,164929,165255,187512,187612,22.257000,22.583000
8,2593,2593,4a21940,187943,188269,198592,198692,10.323000,10.649000
8,5682,5682,5632940,188961,189295,203465,203565,14.170000,14.504000
8,913,913,4391941,121014,121340,220697,220797,99.357000,99.683000
8,289,289,4121940,248656,248982,260929,261030,11.947000,12.273000
8,2772,2772,4ad4941,284671,285005,299657,299757,14.652000,14.986000
8,433,433,41b1942,296055,296381,304166,304266,7.785000,8.111000
8,1249,1249,44e1942,307170,307496,315762,315862,8.266000,8.592000
8,3793,3793,4ed1943,312278,312604,337679,337779,25.075000,25.401000
8,385,385,4181941,336056,336382,361344,361444,24.962000,25.288000
8,3090,3090,4c12943,344528,344862,373549,373649,28.687000,29.021000
8,673,673,42a1940,364015,364341,385060,385160,20.719000,21.045000
8,2580,2580,4a14942,343574,343908,396597,396697,52.689000,53.023000
8,2929,2929,4b71942,419962,420288,426934,427034,6.646000,6.972000
8,1380,1380,4564942,423314,423648,474336,474436,50.688000,51.022000
8,577,577,4241942,512986,513312,535791,535891,22.479000,22.805000
8,4369,4369,5111942,555061,555387,564428,564528,9.041000,9.367000
8,529,529,4211942,547824,548150,620434,620534,72.284000,72.610000
8,4705,4705,5261940,653028,653354,665042,665142,11.688000,12.014000
8,4914,4914,5332942,662180,662514,670562,670662,8.048000,8.382000
8,6001,6001,5771942,639664,639990,676104,676204,36.114000,36.440000
8,5010,5010,5392940,706927,707261,721298,721398,14.037000,14.371000
8,6289,6289,5891941,806014,806340,818511,818611,12.171000,12.497000
8,3457,3457,4d81941,853532,853858,868522,868622,14.664000,14.990000
8,2916,2916,4b64940,886550,886884,895606,895706,8.722000,9.056000
8,4692,4692,5254940,905830,906164,918426,918526,12.262000,12.596000
8,769,769,4301941,909014,909340,924215,924315,14.875000,15.201000
8,5857,5857,56e1942,891015,891341,929976,930076,38.635000,38.961000
8,5124,5124,5404942,937245,937579,946314,946414,8.735000,9.069000
8,5473,5473,5561941,947288,947614,963624,963724,16.010000,16.336000
8,3265,3265,4cc1943,663638,663964,982178,982278,318.214000,318.540000
8,6145,6145,5801942,1007765,1008091,1016369,1016469,8.278000,8.604000
8,3601,3601,4e11942,1177810,1178136,1190554,1190654,12.418000,12.744000
8,3697,3697,4e71942,1399986,1400312,1412161,1412261,11.849000,12.175000
8,4753,4753,5291941,1431014,1431340,1439951,1440051,8.611000,8.937000
8,6193,6193,5831942,1617380,1617706,1629773,1629873,12.067000,12.393000
9,2755,2755,4ac3942,82016,82342,88765,88865,6.423000,6.749000
9,1411,1411,4583941,73097,73423,93354,93454,19.931000,20.257000
9,1747,1747,46d3942,77101,77427,98844,98944,21.417000,21.743000
9,5683,5683,5633940,195967,196293,209243,209343,12.950000,13.276000
9,2773,2773,4ad5941,297806,298132,306732,306832,8.600000,8.926000
9,3091,3091,4c13943,356158,356484,402375,402475,45.891000,46.217000
9,2581,2581,4a15942,355197,355523,415968,416068,60.445000,60.771000
9,1381,1381,4565942,435029,435355,488479,488579,53.124000,53.450000
9,4915,4915,5333942,669229,669555,681624,681724,12.069000,12.395000
9,5011,5011,5393940,713870,714196,727778,727878,13.582000,13.908000
9,2917,2917,4b65940,893614,893940,902720,902820,8.780000,9.106000
9,4693,4693,5255940,912874,913200,952092,952192,38.892000,39.218000
9,5125,5125,5405942,944254,944580,957823,957923,13.243000,13.569000
10,2774,2774,4ad6941,304883,305217,313717,313817,8.500000,8.834000
10,2582,2582,4a16942,369050,369384,460358,460458,90.974000,91.308000
10,1382,1382,4566942,458436,458770,541724,541824,82.954000,83.288000
10,2918,2918,4b66940,900704,901038,909703,909803,8.665000,8.999000
10,4694,4694,5256940,919823,920157,937390,937490,17.233000,17.567000
10,5126,5126,5406942,951299,951633,963783,963883,12.150000,12.484000
11,2775,2775,4ad7941,311912,312238,320740,320840,8.502000,8.828000
11,2583,2583,4a17942,376087,376413,530898,530998,154.485000,154.811000
11,1383,1383,4567942,465500,465826,567777,567877,101.951000,102.277000
11,2919,2919,4b67940,907743,908069,929923,930023,21.854000,22.180000
11,4695,4695,5257940,927608,927934,944650,944750,16.716000,17.042000
11,5127,5127,5407942,958308,958634,977417,977517,18.783000,19.109000
20,2776,2776,4ad8941,318941,319275,338071,338171,18.796000,19.130000
20,2584,2584,4a18942,384354,384688,529289,529389,144.601000,144.935000
20,1384,1384,4568942,489034,489368,543421,543521,54.053000,54.387000
20,3680,3680,4e60940,592051,592385,609317,609417,16.932000,17.266000
20,2920,2920,4b68940,914846,915180,939134,939234,23.954000,24.288000
20,4696,4696,5258940,939238,939572,948222,948322,8.650000,8.984000
20,5128,5128,5408942,965353,965687,987693,987793,22.006000,22.340000
21,2777,2777,4ad9941,325975,326301,351846,351946,25.545000,25.871000
21,2585,2585,4a19942,489027,489353,536349,536449,46.996000,47.322000
21,1385,1385,4569942,541454,541780,557490,557590,15.710000,16.036000
21,3681,3681,4e61940,598986,599312,678497,678597,79.185000,79.511000
21,2921,2921,4b69940,928654,928980,950399,950499,21.419000,21.745000
21,4697,4697,5259940,946267,946593,955271,955371,8.678000,9.004000
21,5129,5129,5409942,982262,982588,994737,994837,12.149000,12.475000
22,880,880,4370943,89051,89385,100688,100788,11.303000,11.637000
22,1748,1748,46d4942,84047,84381,109142,109242,24.761000,25.095000
22,1412,1412,4584941,80854,81188,113629,113729,32.441000,32.775000
22,2756,2756,4ac4942,88957,89291,119327,119427,30.036000,30.370000
22,1216,1216,44c0940,106051,106385,167227,167327,60.842000,61.176000
22,5684,5684,5634940,202913,203247,268524,268624,65.277000,65.611000
22,2778,2778,4ada941,333009,333343,377505,377605,44.162000,44.496000
22,3092,3092,4c14943,363266,363600,383038,383138,19.438000,19.772000
22,6304,6304,58a0943,373216,373550,398506,398606,24.956000,25.290000
22,1312,1312,4520943,429051,429385,453098,453198,23.713000,24.047000
22,2586,2586,4a1a942,534367,534701,546044,546144,11.343000,11.677000
22,1386,1386,456a942,555556,555890,571633,571733,15.743000,16.077000
22,3952,3952,4f70943,588051,588385,604367,604467,15.982000,16.316000
22,3682,3682,4e62940,606020,606354,701014,701114,94.660000,94.994000
22,5012,5012,5394940,720835,721169,729838,729938,8.669000,9.003000
22,64,64,4040941,656051,656385,773597,773697,117.212000,117.546000
22,4916,4916,5334942,676802,677136,783753,783853,106.617000,106.951000
22,2922,2922,4b6a940,941037,941371,956283,956383,14.912000,15.246000
22,4698,4698,525a940,953301,953635,966759,966859,13.124000,13.458000
22,5130,5130,540a942,989173,989507,1001877,1001977,12.370000,12.704000
22,3520,3520,4dc0943,1222136,1222470,1288036,1288136,65.566000,65.900000
23,1442,1442,45a2942,43961,44295,50699,50799,6.404000,6.738000
23,2162,2162,4872940,47030,47364,59074,59174,11.710000,12.044000
23,3650,3650,4e42942,94438,94772,98749,98849,3.977000,4.311000
23,4994,4994,5382941,65031,65365,103398,103498,38.033000,38.367000
23,2642,2642,4a52943,88078,88412,107981,108081,19.569000,19.903000
23,1749,1749,46d5942,91098,91424,120713,120813,29.289000,29.615000
23,881,881,4371943,96065,96391,126457,126557,30.066000,30.392000
23,1413,1413,4585941,88958,89284,131126,131226,41.842000,42.168000
23,2757,2757,4ac5942,95873,96199,137021,137121,40.822000,41.148000
23,1634,1634,4662941,98004,98338,146915,147015,48.577000,48.911000
23,3938,3938,4f62940,121035,121369,172680,172780,51.311000,51.645000
23,242,242,40f2940,162961,163295,177558,177658,14.263000,14.597000
23,4082,4082,4ff2943,162733,163067,183388,183488,20.321000,20.655000
23,1106,1106,4452943,171951,172285,187897,187997,15.612000,15.946000
23,1586,1586,4632941,121031,121365,192769,192869,71.404000,71.738000
23,2594,2594,4a22940,194955,195289,207063,207163,11.774000,12.108000
23,1217,1217,44c1940,113015,113341,239794,239894,126.453000,126.779000
23,914,914,4392941,128045,128379,257403,257503,129.024000,129.358000
23,290,290,4122940,255625,255959,262998,263098,7.039000,7.373000
23,5685,5685,5635940,209877,210203,274438,274538,64.235000,64.561000
23,1250,1250,44e2942,314177,314511,326420,326520,11.909000,12.243000
23,434,434,41b2942,303062,303396,351435,351535,48.039000,48.373000
23,386,386,4182941,346434,346768,356987,357087,10.219000,10.553000
23,3093,3093,4c15943,379218,379544,394436,394536,14.892000,15.218000
23,2779,2779,4adb941,340043,340369,400329,400429,59.960000,60.286000
23,6305,6305,58a1943,396658,396984,405525,405625,8.541000,8.867000
23,3794,3794,4ed2943,327257,327591,442024,442124,114.433000,114.767000
23,2930,2930,4b72942,426954,427288,451849,451949,24.561000,24.895000
23,674,674,42a2940,371101,371435,457602,457702,86.167000,86.501000
23,1313,1313,4521943,435976,436302,464241,464341,27.939000,28.265000
23,2587,2587,4a1b942,541370,541696,550526,550626,8.830000,9.156000
23,1387,1387,456b942,569692,570018,585767,585867,15.749000,16.075000
23,578,578,4242942,526587,526921,610165,610265,83.244000,83.578000
23,3953,3953,4f71943,595063,595389,615924,616024,20.535000,20.861000
23,4706,4706,5262940,660083,660417,672932,673032,12.515000,12.849000
23,530,530,4212942,600593,600927,677775,677875,76.848000,77.182000
23,6002,6002,5772942,646771,647105,684143,684243,37.038000,37.372000
23,4370,4370,5112942,562087,562421,689660,689760,127.239000,127.573000
23,4917,4917,5335942,683740,684066,712436,712536,28.370000,28.696000
23,3683,3683,4e63940,613115,613441,734838,734938,121.397000,121.723000
23,65,65,4041941,662976,663302,751866,751966,88.564000,88.890000
23,5013,5013,5395940,727832,728158,813907,814007,85.749000,86.075000
23,6290,6290,5892941,812994,813328,822150,822250,8.822000,9.156000
23,3458,3458,4d82941,860630,860964,875630,875730,14.666000,15.000000
23,770,770,4302941,916096,916430,930388,930488,13.958000,14.292000
23,5858,5858,56e2942,920240,920574,935231,935331,14.657000,14.991000
23,5474,5474,5562941,954259,954593,961009,961109,6.416000,6.750000
23,4699,4699,525b940,960330,960656,972504,972604,11.848000,12.174000
23,3266,3266,4cc2943,980520,980854,1006318,1006418,25.464000,25.798000
23,5131,5131,540b942,996205,996531,1011174,1011274,14.643000,14.969000
23,2923,2923,4b6b940,948082,948408,1016961,1017061,68.553000,68.879000
23,6146,6146,5802942,1014758,1015092,1028671,1028771,13.579000,13.913000
23,3602,3602,4e12942,1190973,1191307,1257578,1257678,66.271000,66.605000
23,3521,3521,4dc1943,1263150,1263476,1293785,1293885,30.309000,30.635000
23,3698,3698,4e72942,1406996,1407330,1416050,1416150,8.720000,9.054000
23,4754,4754,5292941,1438043,1438377,1450472,1450572,12.095000,12.429000
23,6194,6194,5832942,1624390,1624724,1633451,1633551,8.727000,9.061000
24,2163,2163,4873940,53994,54320,62854,62954,8.534000,8.860000
24,1443,1443,45a3942,50925,51251,74327,74427,23.076000,23.402000
24,4995,4995,5383941,74462,74788,87510,87610,12.722000,13.048000
24,2758,2758,4ac6942,102904,103238,109439,109539,6.201000,6.535000
24,2643,2643,4a53943,99096,99422,114302,114402,14.880000,15.206000
24,882,882,4372943,106700,107034,125811,125911,18.777000,19.111000
24,1414,1414,4586941,95955,96289,130298,130397,34.009000,34.343000
24,3651,3651,4e43942,99890,100216,135805,135905,35.589000,35.915000
24,1750,1750,46d6942,98105,98439,147556,147656,49.117000,49.451000
24,1635,1635,4663941,117914,118240,155964,156064,37.724000,38.050000
24,3939,3939,4f63940,136237,136563,181979,182079,45.416000,45.742000
24,4083,4083,4ff3943,169787,170113,186826,186926,16.713000,17.039000
24,1587,1587,4633941,152175,152501,193046,193146,40.545000,40.871000
24,243,243,40f3940,170002,170328,214937,215037,44.609000,44.935000
24,2595,2595,4a23940,201954,202280,219501,219601,17.221000,17.547000
24,1218,1218,44c2940,136961,137295,248909,249009,111.614000,111.948000
24,915,915,4393941,201720,202046,266819,266919,64.773000,65.099000
24,291,291,4123940,262663,262989,274921,275021,11.932000,12.258000
24,5686,5686,5636940,216823,217157,280640,280740,63.483000,63.817000
24,435,435,41b3942,310066,310392,321305,321405,10.913000,11.239000
24,1107,1107,4453943,184096,184422,328274,328374,143.852000,144.178000
24,1251,1251,44e3942,321180,321506,332766,332866,11.260000,11.586000
24,2780,2780,4adc941,348297,348631,379334,379434,30.703000,31.037000
24,387,387,4183941,353439,353765,390843,390943,37.078000,37.404000
24,2931,2931,4b73942,433865,434191,440819,440919,6.628000,6.954000
24,3795,3795,4ed3943,334232,334558,445535,445635,110.977000,111.303000
24,1314,1314,4522943,444119,444453,453204,453304,8.751000,9.085000
24,6306,6306,58a2943,403638,403972,467478,467578,63.506000,63.840000
24,675,675,42a3940,378065,378391,502192,502292,123.801000,124.127000
24,3094,3094,4c16943,386338,386672,507059,507159,120.387000,120.721000
24,2588,2588,4a1c942,548503,548837,560998,561098,12.161000,12.495000
24,579,579,4243942,533637,533963,593495,593595,59.532000,59.858000
24,1388,1388,456c942,583794,584128,598004,598104,13.876000,14.210000
24,4371,4371,5113942,569097,569423,603532,603632,34.109000,34.435000
24,3954,3954,4f72943,602112,602446,614913,615013,12.467000,12.801000
24,531,531,4213942,631112,631438,666071,666171,34.633000,34.959000
24,3684,3684,4e64940,648478,648812,672681,672781,23.869000,24.203000
24,4707,4707,5263940,667092,667418,687170,687270,19.752000,20.078000
24,6003,6003,5773942,653831,654157,698448,698548,44.291000,44.617000
24,4918,4918,5336942,690840,691174,703335,703435,12.161000,12.495000
24,66,66,4042941,669938,670272,709090,709190,38.818000,39.152000
24,6291,6291,5893941,819997,820323,832515,832615,12.192000,12.518000
24,5014,5014,5396940,784030,784364,837079,837179,52.715000,53.049000
24,3459,3459,4d83941,870134,870460,884911,885011,14.451000,14.777000
24,771,771,4303941,923210,923536,935805,935905,12.269000,12.595000
24,5859,5859,56e3942,927204,927530,940337,940437,12.807000,13.133000
24,5475,5475,5563941,961279,961605,977460,977560,15.855000,16.181000
24,2924,2924,4b6c940,955161,955495,983218,983318,27.723000,28.057000
24,4700,4700,525c940,967364,967698,988942,989042,21.244000,21.578000
24,3267,3267,4cc3943,987502,987828,996241,996341,8.413000,8.739000
24,5132,5132,540c942,1003240,1003574,1018188,1018288,14.614000,14.948000
24,6147,6147,5803942,1021741,1022067,1030378,1030478,8.311000,8.637000
24,3603,3603,4e13942,1197976,1198302,1247142,1247242,48.840000,49.166000
24,3522,3522,4dc2943,1287386,1287720,1298045,1298145,10.325000,10.659000
24,3699,3699,4e73942,1413980,1414306,1426233,1426333,11.927000,12.253000
24,4755,4755,5293941,1445074,1445400,1454019,1454119,8.619000,8.945000
24,6195,6195,5833942,1631374,1631700,1643821,1643921,12.121000,12.447000
25,2759,2759,4ac7942,109907,110233,120526,120626,10.293000,10.619000
25,883,883,4373943,113785,114111,131846,131946,17.735000,18.061000
25,1415,1415,4587941,102969,103295,141647,141747,38.352000,38.678000
25,1751,1751,46d7942,105074,105400,161657,161757,56.257000,56.583000
25,1219,1219,44c3940,175006,175332,257368,257467,82.036000,82.362000
25,5687,5687,5637940,267343,267669,286636,286736,18.967000,19.293000
25,2781,2781,4add941,355390,355716,367769,367869,12.053000,12.379000
25,1315,1315,4523943,451190,451516,460185,460285,8.669000,8.995000
25,6307,6307,58a3943,410587,410913,481300,481400,70.387000,70.713000
25,3095,3095,4c17943,399248,399574,512783,512882,113.209000,113.535000
25,2589,2589,4a1d942,555502,555828,570394,570494,14.566000,14.892000
25,1389,1389,456d942,590866,591192,609405,609505,18.213000,18.539000
25,3955,3955,4f73943,609124,609450,626042,626142,16.592000,16.918000
25,3685,3685,4e65940,670720,671046,679647,679747,8.601000,8.927000
25,4919,4919,5337942,702820,703146,714816,714916,11.670000,11.996000
25,67,67,4043941,706347,706673,720553,720653,13.880000,14.206000
25,5015,5015,5397940,818558,818884,838261,838361,19.377000,19.703000
25,4701,4701,525d940,974342,974668,994686,994786,20.018000,20.344000
25,2925,2925,4b6d940,962206,962532,1000416,1000516,37.884000,38.210000
25,5133,5133,540d942,1010252,1010578,1025176,1025277,14.598000,14.924000
25,3523,3523,4dc3943,1294387,1294713,1316718,1316818,22.005000,22.331000
26,2782,2782,4ade941,365958,366292,374770,374870,8.478000,8.812000
26,2590,2590,4a1e942,562605,562939,576208,576308,13.269000,13.603000
26,1390,1390,456e942,597918,598252,626231,626331,27.979000,28.313000
26,3686,3686,4e66940,677740,678074,686635,686735,8.561000,8.895000
26,4702,4702,525e940,981309,981643,1006556,1006656,24.913000,25.247000
26,2926,2926,4b6e940,969285,969619,1012267,1012367,42.648000,42.982000
26,5134,5134,540e942,1023197,1023531,1080301,1080401,56.770000,57.104000
27,2783,2783,4adf941,372980,373306,381796,381896,8.490000,8.816000
27,2591,2591,4a1f942,569608,569934,582050,582150,12.116000,12.442000
27,1391,1391,456f942,604990,605316,632272,632372,26.956000,27.282000
27,3687,3687,4e67940,684733,685059,693603,693703,8.544000,8.870000
27,4703,4703,525f940,988338,988664,1000810,1000910,12.146000,12.472000
27,2927,2927,4b6f940,994223,994549,1017960,1018060,23.411000,23.737000
27,5135,5135,540f942,1078575,1078901,1087448,1087548,8.547000,8.873000
36,704,704,42c0943,197051,197385,215967,216067,18.582000,18.916000
36,2816,2816,4b00940,377051,377385,417802,417902,40.417000,40.751000
36,5264,5264,5490943,499580,499914,557022,557122,57.108000,57.442000
36,3688,3688,4e68940,691753,692087,713751,713851,21.664000,21.998000
36,1904,1904,4770940,1221051,1221385,1233445,1233545,12.060000,12.394000
37,705,705,42c1943,204065,204391,223078,223178,18.687000,19.013000
37,2817,2817,4b01940,384050,384376,396192,396292,11.816000,12.142000
37,5265,5265,5491943,506613,506939,570152,570252,63.213000,63.539000
37,3689,3689,4e69940,698746,699072,768476,768576,69.404000,69.730000
37,1905,1905,4771940,1228043,1228369,1251724,1251824,23.355000,23.681000
38,884,884,4374943,120822,121156,129709,129809,8.553000,8.887000
38,1752,1752,46d8942,125718,126052,141203,141303,15.151000,15.485000
38,1416,1416,4588941,115967,116301,155769,155869,39.468000,39.802000
38,2760,2760,4ac8942,116914,117248,160642,160742,43.394000,43.728000
38,3664,3664,4e50941,177051,177385,183855,183955,6.470000,6.804000
38,706,706,42c2943,211085,211419,234474,234574,23.055000,23.389000
38,1220,1220,44c4940,250599,250933,267152,267252,16.219000,16.553000
38,5688,5688,5638940,274336,274670,334468,334568,59.798000,60.132000
38,3096,3096,4c18943,406283,406617,435328,435428,28.711000,29.045000
38,6308,6308,58a4943,417567,417901,481064,481164,63.163000,63.497000
38,2818,2818,4b02940,391094,391428,508520,508620,117.092000,117.426000
38,1316,1316,4524943,458207,458541,514063,514163,55.522000,55.856000
38,1264,1264,44f0941,474855,475189,524201,524301,49.012000,49.346000
38,5266,5266,5492943,528315,528649,571060,571160,42.411000,42.745000
38,1504,1504,45e0940,609051,609385,681951,682051,72.566000,72.900000
38,3956,3956,4f74943,618746,619080,689751,689851,70.671000,71.005000
38,4920,4920,5338942,709792,710126,734714,734814,24.588000,24.922000
