nodes,traffic,paper_label,load_m,offered_mflit_s_per_port,delivered_mflit_s_per_port,mean_latency_ns,latency_eligible,source_file,source_design,source_case,source_run_id,latency_source_file,latency_source_design,latency_source_case,latency_source_run_id
64,UR,Mesh,5,3.672047,3.67168,7.350447120000001,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m5_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m5_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,10,6.823978,6.823296,7.42143558,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m10_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m10_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,20,14.846452,14.844967,7.5680283600000005,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m20_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m20_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,40,31.804674,31.801493,7.90036076,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m40_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m40_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,60,44.740007,44.735533,8.25683874,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m60_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m60_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,80,58.398116,58.392276,8.6522545,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m80_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m80_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,100,75.731873,75.7243,9.1595587,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m100_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m100_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,120,86.892448,86.883759,9.825016040000001,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m120_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m120_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,140,102.660972,102.650706,10.5284318,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m140_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m140_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,160,127.03252,127.019817,11.88906414,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m160_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m160_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,180,144.568838,144.554381,12.98759746,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m180_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m180_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,200,153.607943,153.555717,15.024817180000001,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m200_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m200_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,220,168.518119,168.484415,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m220_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,240,177.315025,177.297293,32.693829380000004,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m240_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m240_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,260,204.141625,204.121211,86.79779212,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m260_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m260_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,280,199.247641,199.227716,203.82376574,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m280_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m280_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,UR,Mesh,300,226.383657,222.376666,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m300_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,320,236.384266,228.578858,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m320_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,340,230.729474,225.524217,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m340_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,360,266.729259,239.00542,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m360_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,380,276.646601,234.087288,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m380_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,400,289.030707,230.866167,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m400_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,420,302.224371,230.699952,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m420_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,440,346.298759,230.33023,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m440_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,460,335.012864,229.993032,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m460_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,480,350.650808,230.503815,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m480_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,500,369.910038,229.137074,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m500_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,600,422.983216,222.27768,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m600_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,700,547.477225,212.760599,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m700_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,Mesh,800,604.215004,204.538863,,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m800_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,,,,
64,UR,PROP,5,3.672047,3.67168,6.20785034,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m5_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m5_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,10,6.823978,6.823296,6.3815734,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m10_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m10_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,20,14.846452,14.844967,6.733243880000001,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m20_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m20_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,40,31.804674,31.801493,7.53988998,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m40_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m40_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,60,44.740007,44.735533,8.3609451,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m60_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m60_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,80,58.398116,58.392276,9.24290126,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m80_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m80_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,100,75.731873,75.7243,10.32558428,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m100_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m100_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,120,86.892448,86.883759,11.34338514,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m120_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m120_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,140,102.660972,102.650706,12.033034879999999,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m140_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m140_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,160,127.03252,127.019817,14.097142439999999,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m160_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m160_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,180,144.568838,144.554381,14.76297528,True,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m180_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m180_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,UR,PROP,200,153.607943,153.558789,,False,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m200_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,,,,
64,UR,PROP,220,168.518119,168.484415,,False,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m220_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200,,,,
