nodes,topology,mode,traffic,offered_mflit_s_per_port,metric,value,value_unit,eligibility,source_file,source_design,source_case,source_run_id
64,Mesh,UR (Async),UR,3.672047,mean_flit_latency,7.350447120000001,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m5_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,6.823978,mean_flit_latency,7.42143558,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m10_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,14.846452,mean_flit_latency,7.5680283600000005,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m20_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,31.804674,mean_flit_latency,7.90036076,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m40_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,44.740007,mean_flit_latency,8.25683874,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m60_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,58.398116,mean_flit_latency,8.6522545,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m80_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,75.731873,mean_flit_latency,9.1595587,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m100_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,86.892448,mean_flit_latency,9.825016040000001,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m120_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,102.660972,mean_flit_latency,10.5284318,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m140_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,127.03252,mean_flit_latency,11.88906414,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m160_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,144.568838,mean_flit_latency,12.98759746,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,FM64,TOPO-UR_n64_s202701_m180_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
