nodes,section,paper_label,x_name,x_value,load_m,delivered_mflit_s_per_port,mean_latency_ns,latency_eligible,derivation,source_file,source_design,source_case,source_run_id
256,global_ur,Mesh,offered_mflit_s_per_port,3.0392683192505796,5,3.0389643924186545,12.2276111,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m5_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,11.334948639080727,20,11.33381514421682,12.686102660000001,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m20_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,20.81557071299158,40,20.81348915592028,13.42606888,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m40_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,29.472234797042404,50,29.466340350082994,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m50_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,33.949678428645925,60,33.94628346080306,14.39575348,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m60_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,35.96915285451197,70,35.96555593922652,15.084454280000001,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m70_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,43.52852685535993,80,43.52417400267439,15.89714722,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m80_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,49.37120829120324,120,49.36627117037411,32.75127538,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m120_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,49.761146496815286,90,49.75119426751592,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m90_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,57.682368576491434,100,57.67660033963379,18.8636375,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m100_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,64.99584026622296,110,64.9711418469218,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m110_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,80.94177372565271,140,80.91749119353501,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m140_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,89.34698078682526,160,89.33804608874657,165.7469366,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m160_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,97.07380715705766,180,97.03497763419483,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m180_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,102.79605263157895,200,102.75493421052632,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m200_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,126.41585760517799,240,112.52781148867314,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m240_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,163.44142259414227,280,111.08786610878661,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m280_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,188.16233140655106,320,109.32984104046243,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m320_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,229.50940070505288,400,105.28055229142186,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m400_FM256_top0,
256,global_ur,Mesh,offered_mflit_s_per_port,321.7668863261944,600,100.61007001647447,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,FM256,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m600_FM256_top0,
256,global_ur,PROP,offered_mflit_s_per_port,3.0392683192505796,5,3.0389643924186545,10.33095248,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m5_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,11.334948639080727,20,11.33381514421682,12.00485652,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m20_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,20.81557071299158,40,20.81348915592028,14.8068721,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m40_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,29.472234797042404,50,29.466340350082994,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m50_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,33.949678428645925,60,33.94628346080306,18.08272212,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m60_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,35.96915285451197,70,35.96555593922652,20.0232234,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m70_PROP_temp256_m16_top0,
