nodes,section,paper_label,fanout,load_m,mean_completion_latency_ns,useful_delivery_rate_mdelivery_s,source_file,source_design,source_case,source_run_id
64,fanout64_m5,Native,2,5,8.32758499999979,0.8109819148437847,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F2_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_fanout_m5
64,fanout64_m5,Repeated,2,5,15.590372499999804,0.8106213970716075,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F2_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_fanout_m5
64,fanout64_m5,Native,32,5,9.466347499999795,13.064652654652498,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F32_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_f32_probe_m5
64,fanout64_m5,Repeated,32,5,402.35863499999977,12.883722344445802,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F32_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_f32_probe_m5
64,f16_64,Native,16,5,9.239907499999815,5.514670401936752,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F16_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_f16_main
64,f16_64,Repeated,16,5,148.60242249999976,5.483182421531273,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F16_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_f16_main
64,f16_64,Native,16,20,14.26761999999998,20.866093099499547,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F16_n64_s202701_m20_PROP_temp64_top16,20260914_prop_temp64_mc_f16_main
64,f16_64,Repeated,16,20,287.7258475,20.164152331298634,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F16_n64_s202701_m20_source_repeated_unicast_top16,20260914_prop_temp64_mc_f16_main
256,f16_256_cross_tier,Native,16,5,13.3809225,,256/03_f16_cross_tier/f16_2tile_m5_m20_summary.csv,Native,MC-F16-2TILE_compact256_repair_20260918_123846_m5_native_PROP_temp256_m16_top0,
256,f16_256_cross_tier,Repeated,16,5,167.552785,,256/03_f16_cross_tier/f16_2tile_m5_m20_summary.csv,Repeated,MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0,
256,f16_256_cross_tier,Native,16,20,39.308095,,256/03_f16_cross_tier/f16_2tile_m5_m20_summary.csv,Native,MC-F16-2TILE_compact256_repair_20260918_123846_m20_native_PROP_temp256_m16_top0,
256,f16_256_cross_tier,Repeated,16,20,380.00192,,256/03_f16_cross_tier/f16_2tile_m5_m20_summary.csv,Repeated,MC-F16-2TILE_compact256_repair_20260918_123846_m20_repeated_PROP_temp256_m16_top0,
