nodes,experiment,paper_label,mode,x_name,x_value,metric,value,unit,eligibility,source_file,source_design,source_case,source_run_id
1,node_ppa,FAT,,geometry,async_fat_1x2,active_power,0.001499,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_fat_1x2,,20260912_205700_cmr_fat_l1_hop_rpsdel050
1,node_ppa,Mesh,,geometry,async_flatmesh_1x1,active_power,0.001564,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_flatmesh_1x1,,20260912_205700_cmr_flatmesh_c1p1_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_2x4,active_power,0.002315,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_2x4,,20260912_205700_cmr_pfat_l2_c2p4_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_4x8,active_power,0.004526,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_4x8,,20260912_205700_cmr_pfat_l3_c4p8_rpsdel050
1,node_ppa,PROP,,geometry,async_prop_2x2,active_power,0.002033,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_prop_2x2,,20260912_205700_cmr_prop_2x2_hop_rpsdel050
1,node_ppa,Thin,,geometry,async_thin_1x1,active_power,0.001578,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_thin_1x1,,20260912_205700_cmr_thin_l1_hop_rpsdel050
1,node_ppa,TopMesh,,geometry,async_topmesh_2x2,active_power,0.002023,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_topmesh_2x2,,20260912_205700_cmr_topmesh_c2p2_rpsdel050
1,node_ppa,FAT,,geometry,async_fat_1x2,area,9188.592,um^2,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_fat_1x2,,20260912_205700_cmr_fat_l1_hop_rpsdel050
1,node_ppa,Mesh,,geometry,async_flatmesh_1x1,area,7273.224,um^2,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_flatmesh_1x1,,20260912_205700_cmr_flatmesh_c1p1_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_2x4,area,23001.552,um^2,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_2x4,,20260912_205700_cmr_pfat_l2_c2p4_rpsdel050
