load_setpoint_mflit_per_port_s,offered_mflit_per_port_s,delivered_mflit_per_port_s,backlog_flits,observed_flit_mean_latency_ns,cohort_mean_latency_ns,cohort_latency_status,near_lossless,paper_latency_eligible,source_file,source_design,source_case,source_run_id
5,3.672047,3.67168,4,7.350208,7.350447120000001,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m5_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
10,6.823978,6.823296,4,7.421213,7.42143558,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m10_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
20,14.846452,14.844967,4,7.567908,7.5680283600000005,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m20_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
40,31.804674,31.801493,4,7.900176,7.90036076,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m40_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
60,44.740007,44.735533,4,8.256786,8.25683874,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m60_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
80,58.398116,58.392276,4,8.652514,8.6522545,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m80_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
100,75.731873,75.7243,4,9.1596,9.1595587,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m100_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
120,86.892448,86.883759,4,9.825034,9.825016040000001,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m120_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
140,102.660972,102.650706,4,10.528879,10.5284318,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m140_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
160,127.03252,127.019817,4,11.889458,11.88906414,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m160_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
180,144.568838,144.554381,4,12.988373,12.98759746,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m180_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
200,153.607943,153.555717,5,15.026315,15.024817180000001,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m200_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
220,168.518119,168.484415,7,20.851154,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m220_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
240,177.315025,177.297293,4,32.696135,32.693829380000004,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m240_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
260,204.141625,204.121211,4,86.805593,86.79779212,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m260_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
280,199.247641,199.227716,4,203.843186,203.82376574,PASS,True,True,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m280_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
300,226.383657,222.376666,843,248.133793,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m300_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
320,236.384266,228.578858,1568,336.830861,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m320_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
340,230.729474,225.524217,1069,453.578436,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m340_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
360,266.729259,239.00542,4963,430.289767,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m360_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
380,276.646601,234.087288,7413,473.751568,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m380_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
400,289.030707,230.866167,9695,519.747382,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m400_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
420,302.224371,230.699952,11432,530.27003,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m420_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
440,346.298759,230.33023,16281,487.51935,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m440_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
460,335.012864,229.993032,15256,535.080498,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m460_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
480,350.650808,230.503815,16671,525.803062,,superseded_right_censored,False,False,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m480_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
