nodes,experiment,case,design,load,reason,source_path
64,global_ur_latency,TOPO-UR_n64_s202701_m220_FM64_top0,FM64,220,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m300_FM64_top0,FM64,300,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m320_FM64_top0,FM64,320,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m340_FM64_top0,FM64,340,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m360_FM64_top0,FM64,360,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m380_FM64_top0,FM64,380,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m400_FM64_top0,FM64,400,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m420_FM64_top0,FM64,420,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m440_FM64_top0,FM64,440,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m460_FM64_top0,FM64,460,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m480_FM64_top0,FM64,480,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m500_FM64_top0,FM64,500,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m600_FM64_top0,FM64,600,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m700_FM64_top0,FM64,700,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m800_FM64_top0,FM64,800,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m180_PFAT64_top8,PFAT64,180,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m200_PFAT64_top8,PFAT64,200,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
