kind,port,pkt_seq,flit,offer_ps,req_ps,ack_ps,egress_req_ps,capture_ps,matched
TX,0,19,830c30f,3710000,3710200,3710200,-1,-1,1
TX,0,19,030c30f,3730000,3730200,3730200,-1,-1,1
TX,0,19,430c30f,3750000,3750200,3750200,-1,-1,1
TX,0,50,8304306,9950000,9950200,9950200,-1,-1,1
TX,0,50,0304306,9970000,9970200,9970200,-1,-1,1
TX,0,50,4304306,9990000,9990200,9990200,-1,-1,1
TX,0,70,8104106,13530000,13530200,13530200,-1,-1,1
TX,0,70,0104106,13550000,13550200,13550200,-1,-1,1
TX,0,70,4104106,13570000,13570200,13570200,-1,-1,1
TX,0,86,800c00e,16910000,16910200,16910200,-1,-1,1
TX,0,86,000c00e,16930000,16930200,16930200,-1,-1,1
TX,0,86,400c00e,16950000,16950200,16950200,-1,-1,1
TX,0,92,8304304,17730000,17730200,17730200,-1,-1,1
TX,0,92,0304304,17750000,17750200,17750200,-1,-1,1
TX,0,92,4304304,17770000,17770200,17770200,-1,-1,1
TX,0,111,8304307,21310000,21310200,21310200,-1,-1,1
TX,0,111,0304307,21330000,21330200,21330200,-1,-1,1
TX,0,111,4304307,21350000,21350200,21350200,-1,-1,1
TX,0,113,820c201,21650000,21650200,21650200,-1,-1,1
TX,0,113,020c201,21670000,21670200,21670200,-1,-1,1
TX,0,113,420c201,21690000,21690200,21690200,-1,-1,1
TX,0,121,830c30d,22570000,22570200,22570200,-1,-1,1
TX,0,121,030c30d,22590000,22590200,22590200,-1,-1,1
TX,0,121,430c30d,22610000,22610200,22610200,-1,-1,1
TX,0,129,8204205,24530000,24530200,24530200,-1,-1,1
TX,0,129,0204205,24550000,24550200,24550200,-1,-1,1
TX,0,129,4204205,24570000,24570200,24570200,-1,-1,1
TX,0,130,810c10e,24610000,24610200,24610200,-1,-1,1
TX,0,130,010c10e,24630000,24630200,24630200,-1,-1,1
TX,0,130,410c10e,24650000,24650200,24650200,-1,-1,1
TX,0,134,8204206,24950000,24950200,24950200,-1,-1,1
TX,0,134,0204206,24970000,24970200,24970200,-1,-1,1
TX,0,134,4204206,24990000,24990200,24990200,-1,-1,1
TX,0,144,820c20c,26550000,26550200,26550200,-1,-1,1
TX,0,144,020c20c,26570000,26570200,26570200,-1,-1,1
TX,0,144,420c20c,26590000,26590200,26590200,-1,-1,1
TX,0,177,8208209,32350000,32350200,32350200,-1,-1,1
TX,0,177,0208209,32370000,32370200,32370200,-1,-1,1
TX,0,177,4208209,32390000,32390200,32390200,-1,-1,1
TX,0,185,8304305,34030000,34030200,34030200,-1,-1,1
TX,0,185,0304305,34050000,34050200,34050200,-1,-1,1
TX,0,185,4304305,34070000,34070200,34070200,-1,-1,1
TX,0,200,8104104,37550000,37550200,37550200,-1,-1,1
TX,0,200,0104104,37570000,37570200,37570200,-1,-1,1
TX,0,200,4104104,37590000,37590200,37590200,-1,-1,1
TX,0,201,8100101,37630000,37630200,37630200,-1,-1,1
TX,0,201,0100101,37650000,37650200,37650200,-1,-1,1
TX,0,201,4100101,37670000,37670200,37670200,-1,-1,1
TX,0,267,830830b,46810000,46810200,46810200,-1,-1,1
