port,pkt_seq,tail_flit,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,network_latency_ns
0,0,4004000,230200,272000,272200,41.800000
0,15,420c003,2930200,2972000,2972200,41.800000
0,35,4300003,7890200,7932000,7932200,41.800000
0,48,4000000,9590200,9630400,9630600,40.200000
0,74,4000002,14250200,14292000,14292200,41.800000
0,78,4000002,15370200,15412000,15412200,41.800000
0,102,4000002,19850200,19892000,19892200,41.800000
0,114,4000002,21730200,21772000,21772200,41.800000
0,117,4100001,22030200,22075800,22076000,45.600000
0,127,4000003,24190200,24232000,24232200,41.800000
0,164,4000000,30170200,30212000,30212200,41.800000
0,173,4000001,31910200,31950400,31950600,40.200000
0,175,4000003,32050200,32092000,32092200,41.800000
0,206,4000002,38690200,38732000,38732200,41.800000
0,212,4000000,39590200,39632000,39632200,41.800000
0,228,4000000,41610200,41650400,41650600,40.200000
0,234,4000002,41930200,41972000,41972200,41.800000
0,263,4000003,45830200,45872000,45872200,41.800000
0,294,4000002,52210200,52252000,52252200,41.800000
0,304,4000000,53550200,53592000,53592200,41.800000
0,320,4000000,55850200,55892000,55892200,41.800000
0,326,4000002,56810200,56852000,56852200,41.800000
0,332,4000000,58050200,58092000,58092200,41.800000
0,361,4000001,64270200,64312000,64312200,41.800000
0,376,4000000,67710200,67752000,67752200,41.800000
0,382,4000002,68830200,68872000,68872200,41.800000
0,389,4000001,69570200,69610400,69610600,40.200000
0,398,4000002,70670200,70712000,70712200,41.800000
0,413,410c001,73530200,73572000,73572200,41.800000
0,424,4008000,75090200,75130400,75130600,40.200000
0,427,4000003,75550200,75592000,75592200,41.800000
0,430,4000002,76010200,76052000,76052200,41.800000
0,444,420c000,79030200,79072000,79072200,41.800000
0,485,4000001,85950200,85990400,85990600,40.200000
0,486,4000002,85950200,85992800,85993000,42.600000
0,511,4000003,89690200,89732000,89732200,41.800000
0,517,4000001,91250200,91292000,91292200,41.800000
0,527,4000003,93390200,93432000,93432200,41.800000
0,534,4000002,94950200,94992000,94992200,41.800000
0,550,4000002,98250200,98292000,98292200,41.800000
0,554,4000002,98970200,99012000,99012200,41.800000
0,572,4000000,102750200,102792000,102792200,41.800000
