group,case_name,injected_packets,delivered_packets,injected_flits,delivered_flits,missing_expected_flits,unexpected_flits,timeout_hit,rx_overflow,measure_cycles,delivered_throughput,avg_packet_latency_ns,max_packet_latency_ns,p95_latency_ns,p99_latency_ns,pass_fail
VCTM_16,VCTM-MC1-NM-1f-r0p02,1,1,1,1,0,0,0,0,1032,0.000969,3.000,3.000,3.000,3.000,PASS
VCTM_16,VCTM-MC1-NM-1f-r0p10,1,1,1,1,0,0,0,0,1027,0.000974,3.000,3.000,3.000,3.000,PASS
VCTM_16,VCTM-MC1-NM-1f-r0p20,1,1,1,1,0,0,0,0,1027,0.000974,3.000,3.000,3.000,3.000,PASS
VCTM_16,VCTM-MC1-NM-1f-r0p30,1,1,1,1,0,0,0,0,1027,0.000974,3.000,3.000,3.000,3.000,PASS
VCTM_16,VCTM-MC1-NM-3f-r0p02,1,1,3,3,0,0,0,0,1044,0.002874,40.200,40.200,40.200,40.200,PASS
VCTM_16,VCTM-MC1-NM-3f-r0p10,1,1,3,3,0,0,0,0,1037,0.002893,41.800,41.800,41.800,41.800,PASS
VCTM_16,VCTM-MC1-NM-3f-r0p20,1,1,3,3,0,0,0,0,1030,0.002913,41.800,41.800,41.800,41.800,PASS
VCTM_16,VCTM-MC1-NM-3f-r0p30,1,1,3,3,0,0,0,0,1029,0.002915,40.200,40.200,40.200,40.200,PASS
VCTM_16,VCTM-MC1-NM-5f-r0p02,1,1,5,5,0,0,0,0,1038,0.004817,81.800,81.800,81.800,81.800,PASS
VCTM_16,VCTM-MC1-NM-5f-r0p10,1,1,5,5,0,0,0,0,1033,0.004840,81.800,81.800,81.800,81.800,PASS
VCTM_16,VCTM-MC1-NM-5f-r0p20,1,1,5,5,0,0,0,0,1032,0.004845,80.200,80.200,80.200,80.200,PASS
VCTM_16,VCTM-MC1-NM-5f-r0p30,1,1,5,5,0,0,0,0,1031,0.004850,81.800,81.800,81.800,81.800,PASS
VCTM_16,VCTM-MC1-RU-1f-r0p02,1,1,1,1,0,0,0,0,1032,0.000969,3.000,3.000,3.000,3.000,PASS
VCTM_16,VCTM-MC1-RU-1f-r0p10,1,1,1,1,0,0,0,0,1027,0.000974,3.000,3.000,3.000,3.000,PASS
VCTM_16,VCTM-MC1-RU-1f-r0p20,1,1,1,1,0,0,0,0,1027,0.000974,3.000,3.000,3.000,3.000,PASS
VCTM_16,VCTM-MC1-RU-1f-r0p30,1,1,1,1,0,0,0,0,1027,0.000974,3.000,3.000,3.000,3.000,PASS
VCTM_16,VCTM-MC1-RU-3f-r0p02,1,1,3,3,0,0,0,0,1044,0.002874,40.200,40.200,40.200,40.200,PASS
VCTM_16,VCTM-MC1-RU-3f-r0p10,1,1,3,3,0,0,0,0,1037,0.002893,41.800,41.800,41.800,41.800,PASS
VCTM_16,VCTM-MC1-RU-3f-r0p20,1,1,3,3,0,0,0,0,1030,0.002913,41.800,41.800,41.800,41.800,PASS
VCTM_16,VCTM-MC1-RU-3f-r0p30,1,1,3,3,0,0,0,0,1029,0.002915,40.200,40.200,40.200,40.200,PASS
VCTM_16,VCTM-MC1-RU-5f-r0p02,1,1,5,5,0,0,0,0,1038,0.004817,81.800,81.800,81.800,81.800,PASS
VCTM_16,VCTM-MC1-RU-5f-r0p10,1,1,5,5,0,0,0,0,1033,0.004840,81.800,81.800,81.800,81.800,PASS
